Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,"in rage 1, 1, b or f+3, 2","+1, 7, +1, 6, F, 2, -F, F+3, 5, -F, 1, +2*, 3, +2-",m(Throw),,False,False
2,1 or f+1,+1,h,+1,False,False
3,"1, 1","+1, 9, +1, ","h, h",-3,False,False
4,"1, 2","+1, 10, +2*, 4, +2-, ","h, m",-17~-16,True,False
5,2 or f+2,+2,Sm,-9~-8,False,False
6,3 or b+3,+3,h,-8,False,False
7,4,+4,h,-13~-12,True,False
8,"4, 3","+4, 10, +3*, 3, +3-","h, h",-5~-4,False,False
9,1+2 or WS+1+2,+1+2,h,-20,True,False
10,"1+2, f, f (Cancel)","+1+2, 5, f, 5, f",h,-5,False,False
11,"1+2, b, b (Cancel)","+1+2, 5, b, 5, b",h,-15,True,False
12,"1+2, *","+1+2*, 88, +1+2-",h,-11,True,False
13,"1+2*, f, f (Cancel)","+1+2*, 5, f, 5, f, +1+2-",h,+4,False,False
14,"1+2*, b, b (Cancel)","+1+2*, 5, b, 5, b, +1+2- ",h,-6,False,False
15,"1+2, (Hold long as possible)*","+1+2*, 60, +1+2-",h!,CS,False,False
16,"1+2 (Hold long as possible)*, f, f (Cancel)","+1+2*, 45, f, 5, f +1+2-",h,CS(21),False,False
17,"1+2 (Hold long as possible)*, b, b (Cancel)","+1+2*, 45, b, 5, b +1+2-",h,CS(11),False,False
18,f+3,f+3,m,-9,False,False
19,f+4,f+4,h,-9~-8,False,False
20,f+1+2,f+1+2,mm,-8s,False,False
21,f+1+2 (Second hit miss),f+1+2,m,?,False,False
22,f+3+4,f+3+4,m (TJ)(TPORT),-9~-8,False,False
23,d/f+1,d/f+1,m,-4~-3,False,False
24,"d/f+1, 1","df+1, 9, +1","m, h",-3,False,False
25,"d/f+1, 2","df+1, 10, +2","m, mm",-13s,False,False
26,"d/f+1, 2 (Third hit miss)","d/f+1, 5, +2","m, m",?,False,False
27,d/f+2,d/f+2,m,-7~-6,False,False
28,"d/f+2, 1","df+2, 11, +1","m, m",-18~-17,True,False
29,"d/f+2, 4","d/f+2, 5, +4","m, m",-11,True,False
30,"d/f+2, 4, 3","df+2, 12, +4, 17, +3","m, m, m",-17~-16,True,False
31,d/f+3,d/f+3,m,-9,False,False
32,d/f+4,d/f+4,m,-16,True,False
33,d/b or d+1 or FC+1,d+1,Sm (TC),-5,False,False
34,"d/b or d+1, 2 or FC+1, 2","d+1, 9, +2","Sm (TC), Sm (TC)",-13,True,False
35,d/b or d+2 or FC+2,d+2,Sm (TC),-4,False,False
36,d/b or d+3 or FC+3 (Close),d+3,l (TC),-11,True,False
37,d/b or d+3 or FC+3,d+3,l (TC),-11,True,False
38,d/b or d+4 or FC+4,d+4,l (TC),-27,True,False
39,b+1,b+1,h,-14~-13,True,False
40,b+2,b+2,m,-9~-8,False,False
41,b+4,b+4,l,-13~-12,True,False
42,"f, F+2","F, 5, -F, 5, F, 5, -F, f+2",m,-14,True,False
43,"f, F+2:1","F, 5, -F, 5, F, 5, -F, f+2, 18, +1","m, m",-13~-12,True,False
44,"f, F+4","F, 5, -F, 5, F, 5, -F, f+4",m,0~+1,False,False
45,"f, f, f+1","F, 5, -F, 5, F, 4, -F, 3, F, 2, -F, f+1",h,+1~+2,False,False
46,"f, f, f+3","F, 5, -F, 5, F, 4, -F, 3, F, 2, -F, f+3",m (TJ),+3~+8,False,False
47,WR+4,"f, 4, F, 32, -F, +4*, 5, +4-",l (TJ),-24~-18,True,False
48,WS+1,"D, 21, -D, 1, +1*, 8, +1-",h,-5,False,False
49,WS+2,"D, 20, -D, 1, +2",m,-15~-14,True,False
50,WS+3,"D, 21, -D, 1, +3",m,-7,False,False
51,WS+4,WS+4,m,-9~-8,False,False
52,"WS+4, 4","D, 21, -D, 1, +4, 11, +4*, 4, +4-","m, m",-15~-14,True,False
53,Vertical jump 1,"U, 10, -U, 20, +1",m (TJ),-25~+2,False,False
54,Vertical jump 2,"U, 11, -U, 20, +2",m (TJ),-18~+7,False,False
55,Vertical jump 3,"U, 11, -U, 20, +3",m (TJ),-25~+2,False,False
56,Vertical jump 4,"U, 11, -U, 19, +4",m (TJ),-18~+7,False,False
57,Forward jump 1 Backward jump 1,"U, 1, F, 11, -U, 1, -F, 10, +1",m (TJ),-23~+4,False,False
58,Forward jump 2 Backward jump 2,"U, 1, F, 11, -U, 1, -F, 10, +2",m (TJ),-18~+9,False,False
59,Forward jump 3 Backward jump 3,"U, 1, F, 11, -U, 1, -F, 10, +3",m (TJ),-26~+2,False,False
60,Forward jump 4 Backward jump 4,"U, 1, F, 11, -U, 1, -F, 10, +4",m (TJ),-20~+9,False,False
61,Forward jump Top of jump d+3,"U, 1, F, 14, -U, 1, -F, 7, d+3",m (TJ),-6~+1,False,False
62,qcf+1 or qcf+2,qcf+1,Sm,-13~,False,False
63,"qcf+1, 1+2f, f","qcf+1, 5, +1+2, 15, f, 5, f",Sm,+7?~,False,False
64,hcb+1,"F, 2, DF, 2, -f, 2, B, 2, -D, +1, -B",Sm,-9~,False,False
65,hcb+2,"F, 2, DF, 2, -f, 2, B, 2, -D, +2, -B",Sm x 3,-1~,False,False
66,"f, d, d/f+1",dp+1,Sm,-26,True,False
67,"f, d, d/f+1, 1+2, f, f","dp+1, 5, +1+2, 15, f, 5, f",Sm,+1,False,False
68,"f, d, d/f+2",dp+2,Sm x 3,-34 (~16?a),False,False
69,"f, d, d/f+2, 1+2f, f (Only first hit)","dp+2, 5, +1+2, 15, f, 5, f",Sm,0~,False,False
70,"f, d, d/f+2, 1+2f, f (Only two first hits)","dp+2, 5, +1+2, 15, f, 5, f",Sm x 2,+?,False,False
71,"f, d, d/f+3(or 4)",dp+3,(Special) (TJ)(DFLIP),,False,False
72,DFLIP n,dp+3,l,-24~-18,True,False
73,DFLIP 1,"dp+3, 30, +1",h,-4~+7,False,False
74,DFLIP 2,"dp+3, 30, +2",m,-9~-5s,False,False
75,DFLIP 3,"dp+3, 30, +3",m,-10~+1,False,False
76,DFLIP 4,"dp+3, 30, +4*, 4, +4-",Sm,+4~+7g,False,False
77,DFLIP 1+3 or 2+4,"dp+3, 20, +1+3",h(Throw),,False,False
78,qcb+3,qcb+3,h (TJ),-15,True,False
79,qcb+4,qcb+4,"Sm (TJ), h x 3",-14,True,False
80,Jump qcf+1 or 2,"U, 11, -U, 10, qcf+1",Sm,-21~,False,False
81,Jump qcb+3 or 4,"U, 5, -U, 5, qcb+3",Sm,-9~+2,False,False
82,"f, d, d/f+3+4 or b, d, d/b+3+4",dp+3+4,(Special),,False,False
83,qcf+1+2,qcf+1+2,"Sm, Sm",+1~,False,False
84,hcb+1+2,"F, 2, DF, 2, -f, 2, B, 2, -D, +1+2, -B",Sm x 3,+9~,False,False
85,"f, d, d/f+1+2",dp+1+2,Sm x 3,-34,True,False
86,"f, d, d/f+1+2 (On counter)",dp+1+2,"Sm, (throw)",,False,False
87,qcb+3+4,qcb+3+4,Sm x 4,-22,True,False
88,Jump qcf+1+2,"U, 5, -U, 5, qcf+1+2","Sm, Sm",+3~,False,False
89,Jump qcb+3+4,"U, 5, -U, 5, qcb+3+4",Sm,-4~+9,False,False
90,TPORT(f+3+4) qcf+1+2,"f+3+4, 5, qcf+1+2","m (TJ), Sm x 2(TPORT)",-5~-1,False,False
91,TPORT(f+3+4) qcb+3+4,"f+3+4, 5, qcb+3+4","m (TJ), Sm x 3(TPORT)",-15,True,False
92,TPORT(f+3+4) qcb+3+4 (Third hit miss),"f+3+4, 5, qcb+3+4","m (TJ), Sm x 2(TPORT)",-25,True,False
93,TPORT(f+3+4) qcb+3+4 (second and third hit miss),"f+3+4, 5, qcb+3+4","m (TJ), Sm(TPORT)",-35,True,False
94,"qcf, qcf+1+2","qcf, 2, qcf+1+2",Sm x 5,+2~,False,False
