Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage b+1+2 in rage WS+b+1+2 in rage DES b+1+2,b+1+2,"h x 6, (DES)",+1,False,False
2,in rage f+2+3,f+2+3,m (TJ)m,0~+1,False,False
3,"in rage f+2+3, 3+4","f+2+3, 41, +3+4, 4, -+, 1, -3, ","m (TJ)m, (SBT)",+5~+6,False,False
4,"in rage f+2+3, f+3+4","f+2+3, 41, f+3+4, 4, -+, 1, -3, ","m (TJ)m, (DBT)",+5~+6,False,False
5,1,+1,h,+1,False,False
6,"1, 1","+1*, 4, +1-, 5, +1*, 3, +1-, ","h, h",-3,False,False
7,"1, 1, 1+2","+1*, 3, +1-, 5, +1*, 3, +1-, 11, +1+2*, 2, +1+2-","h, h, (DES)",-3,False,False
8,"1, 2","+1, 5, +2","h, h",-2,False,False
9,"1, 2, 2","+1, 4, +2*, 4, +2-, 7, +2*, 3, +2-","h, h, l",-11~-10,False,False
10,"1, 2, 2*","+1, 4, +2*, 4, +2-, 7, +2*, 30, +2-","h, h, l",-10~-9,False,False
11,"1, 2, 4","+1, 9, +2, 11, +4*, 5, +4-","h, h, h",-5~-4,False,False
12,2,+2,h,-6,False,False
13,"2, 3","+2, 6, +3*, 4, +3-","h, m",-10~-9,False,False
14,"2, 3, 3","+2, 6, +3*, 4, +3-, 6, +3*, 5, +3-","h, m, m (TJ)",-11~-9,False,False
15,"2, 3, 4","+2, 6, +3*, 4, +3-, 6, +4*, 5, +4-","h, m, l (TJ)",-19~-16,True,False
16,"2, 4","+2, 9, +4*, 3, +4-","h, h",-5~-4,False,False
17,3,+3,m,-12~-11,True,False
18,"3, 2","+3, 4, +2*, 5, +2-","m, m x 5, (DES)",-9,False,False
19,4,"+4*, 5, +4-",h,-5~-4,False,False
20,1+2,+1+2,m (TJ),-5~-4,False,False
21,f+2,f+2,m,-4~-3,False,False
22,"f+2, 1","f+2, 11, +1*, 3, +1-","m, m, (DES)",-14,True,False
23,"f+2, 1+2","f+2, 12, +1+2","m, (DES)",-4~-3,False,False
24,"f+2, 3","f+2, 9, +3*, 6, +3-","m, h (TJ)",-8,False,False
25,"f+2, 3, f","f+2, 9, +3*, 6, +3-, 5, F, 10, -F","m, h (TJ), (Special)",-12,True,False
26,"f+2, 3, 3","f+2, 9, +3*, 6, +3-, 13, +3*, 5, +3-","m, h (TJ), m",-10~-9,False,False
27,f+3,f+3,h,-14~-13,True,False
28,"f+3, 2","f+3, 7, +2*, 7, +2-","h, h, (DES)",-4~-2,False,False
29,"f+3, 1+2","f+3, 12, +1+2*, 3, +1+2-","h, m, (DES)",-13~-12,True,False
30,f+4,f+4,m,-12,True,False
31,"f+4, 1","f+4, 11, +1*, 4, +1-","m, h",-9~-8,False,False
32,"f+4, 1, 4","f+4, 11, +1*, 4, +1-, 12, +4*, 3, +4-","m, h, m",-14~+12 (-12),False,False
33,f+1+2,f+1+2,m,-12~-11,True,False
34,"f+1+2, 3+4","f+1+2, 15, +3+4, 3, -+, 1, -3","m, (Special) (TJ)(SBT)",-16~-15,True,False
35,"f+1+2, f+3+4","f+1+2, 20, F+3+4, 5, -F","m, (Special) (TJ)(DBT)",-16~-15,True,False
36,d/f+1,d/f+1,m,-6,False,False
37,"d/f+1, 1","df+1, 7, +1","m, h",+1~+2,False,False
38,"d/f+1, 1, 2","df+1, 7, +1, 17, +2*, 5, +2-","m, h, h x 7, (DES)",+6,False,False
39,"d/f+1, 4","df+1, 11, +4*, 5, +4-","m, m",-9~-8,False,False
40,d/f+2,d/f+2,m,-9~-8,False,False
