Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,In rage b+3+4,,m (throw),-22,True,False
2,"In rage f, N, d, d/f+1+2",,h!,+24g,False,False
3,1,,h,+1,False,False
4,"1,2",,"h, h",-1,False,False
5,"1, 2, 1",,"h, h, m",-5,False,False
6,2,,l,+1,False,False
7,"2, 1",,"l, m",-2,False,False
8,3,+3,h,-14,True,False
9,4,,h,-5,False,False
10,1+2,+1+2,m,-10,True,False
11,"1+2, B","+1*+2*, 3, +1-, , 1, +2-, B, 31, -B, ",m (BT),-10,True,False
12,"1+2, 2",,"m, h",-3,False,False
13,"1+2, 3","+1*+2*, 4, +1-, , 2, +2-, , 8, +4*, 7, +4-, ","m, m",-13,True,False
14,3+4,,m (TJ),-7,False,False
15,"3+4, 1",,"m, m (TJ) (throw)",0,False,False
16,"3+4, 1",,"m, m (TJ)",0,False,False
17,"3+4, 2","+3*+4*, 4, +3-, +4-, , 9, +2*, 4, +2-, ","m, m (TJ)",-18,True,False
18,1+4,,m!,KND,False,False
19,f+2,f+2,m,-11,True,False
20,"f+2, 1",,"m, h",-9,False,False
21,f+3,,m,-3,False,False
22,"f+3, 4",,"m, m ",-7,False,False
23,"f+3, 4, 3",,"m, m, h",-7,False,False
24,f+4,,m,+2s,False,False
25,f+1+2,f+1+2,m,-13,True,False
26,f+1+4 or f+1~4,f+1+4,m,-20,True,False
27,d/f+1,,m  ,-1,False,False
28,d/f+2,df+2,m,-12,True,False
29,"d/f+2, 1",,"m, h",-12g,False,False
30,d/f+3,,m,-5,False,False
31,d/f+4,,m,-4,False,False
32,d/f+1+2,,m,-7,False,False
33,d/f+3+4,df+3+4,m (TC) (throw),-18,True,False
34,d/b or d+1,,sm (TC),-5,False,False
35,"d+1, 4 or FC+1, 4","D, 2, +1*, 3, +1-, , 2, -D, , 3, +4*, 3, +4-, ","sm, m",-10,True,False
36,d+2,,m,-2,False,False
37,"d+2, 4","D, 3, +2*, 4, -D, +2-, , 1, +4*, 5, +4-, ","m, m",-14,True,False
38,"d+2, 4, 3",,"m, m, m",-11s,False,False
39,d+3,d+3,l,-12,True,False
40,d+4,d+4,l (TC),-13,True,False
41,d+1+2,,m (TJ),-8,False,False
42,d+3+4 or FC+3+4 or FC+d/f+4,d+3+4,l (TC),-16,True,False
43,"d+3+4, 1",,"l, h",-9,False,False
44,"d+3+4, 3","D, 2, +3*+4*, 3, +3-, +4-, , 2, -D, , 5, +3*, 5, +3-, ","l, m",-16,True,False
45,d+1+4 or d+2+3,,l (special), ,False,False
46,"d+1+4 or d+2+3, 1+2",,m (TC) (throw),-19s,False,False
47,d/b+2,db+2,m,-11,True,False
48,"d/b+2, 3","DB, 4, +2*, 4, +2-, +3*, 1, -D, -B, , 4, +3-, ","m, m",-16,True,False
49,"d/b+2, 4",,"m, h",-9,False,False
50,d/b+3,db+3,l (TC),-26,True,False
51,d/b+4,db+4,"l (TC, TJ)",-20,True,False
52,d/b+1+2,,m,+3,False,False
53,"d/b+1+2, D",,(special), ,False,False
54,b+1,,h,-7,False,False
55,"b+1, 2","B, 2, +1*, 2, +1-, , 4, -B, , 4, +2*, 3, +2-, ","h, m",-12,True,False
56,b+2,,m,-9,False,False
57,"b+2, 1","B, 4, +2*, 4, +2-, , 1, -B, , 2, +1*, 10, +1-,","m, m",-12,True,False
58,"b+2, 1, 2",,"m, m, h",-7,False,False
59,b+3,b+3 ,h,-10,True,False
60,b+4,b+4,m,-11,True,False
61,b+4 (when hit) 1+2,,m (throw), ,False,False
62,b+1+2,,m,+1,False,False
63,b+1+4,b+1+4,m,-13,True,False
64,b+2+3,,m!,JG,False,False
65,u/b+1,,h,-6,False,False
66,u or u/f+1,,m (TJ),-12,True,False
67,u/b or u or u/f+2,,m (TJ),-18s,False,False
68,u/b+3,ub+3,m (TJ),-19,True,False
69,u or u/f+3,,m (TJ),-8,False,False
70,u/b+4,ub+4,m (TJ),-19,True,False
71,u+4,u+4,m (TJ),-13,True,False
72,u/f+4,uf+4,m (TJ),-13,True,False
73,u/f+1+2,,m (TJ),+2s,False,False
74,u/f+1+2 (hold),,m! (TJ),KND,False,False
75,u/f+3+4,,m (TJ),-7,False,False
76,"u/f, N, 4","FU, 8, -F, -U, , 3, +4*, 2, +4-, ",m (TJ),-11,True,False
77,"u/f, N, 1+2",,m (TJ),+2s,False,False
78,"u/f, N, 1+2 (hold)",,m! (TJ),KND,False,False
