Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage d/f+1+2, ,m,-22,True,False
2,"in rage f, F+1+2", ,m,+11~+12g,False,False
3,1, ,h,-2,False,False
4,"1, 1", ,"h, m",-7,False,False
5,"1, 2", ,"h, m",-8~-7,False,False
6,"1, 2, 3", ,"h, m, m",-2~0,False,False
7,"1, 2, 3, *, n (two spins)", ,"h, m, m",+6~+7,False,False
8,"1, 2, 3, * (three spins)", ,"h, m, !",KND,False,False
9,"1, 2, 3, B (Cancel)", ,"h, m",-18~-17,True,False
10,"1, 2, 4", ,"h, m, m",-12~-11,True,False
11,"1, 3", ,"h, l",-11,True,False
12,"1, 4", ,"h, l (TC)(LCT)",-11~-9,False,False
13,2, ,h,-11,True,False
14,"2, 1", ,"h, h",-3~-2,False,False
15,"2, 1, 1+2", ,"h, h, hh",-9~-8,False,False
16,"2, 3", ,"h, m (TJ)",-19~-18,True,False
17,3, ,m,-7,False,False
18,"3, 1", ,"m, m?",-11~-10,False,False
19,4, ,h,-7,False,False
20,3~4, ,l (TC),-26,True,False
21,1+2, ,m,-9~-8,False,False
22,3+4, ,mm (TJ),-6~-4,False,False
23,"3+4, (d/b, d or d/f)", ,mm (TJ),-6~-4,False,False
24,1+4 (First hit only), ,l,-19,True,False
25,1+4, ,lh,-3(-19s),False,False
26,"1+4, 2", ,"lh, h",-2,False,False
27,"1+4, 2, 1", ,"lh, h, h",-2,False,False
28,"1+4, 2, 4", ,"lh, h, m",-9,False,False
29,"1+4, 2, d+4", ,"lh, h, l",-23,True,False
30,"1+4, 3", ,"lh, m",-2~0,False,False
31,"1+4, 3, b (Cancel)", ,lh,-20(37s),False,False
32,2+3, ,h(Absorbs 1 h/m hit),0~+1,False,False
33,f+2, ,m?,-18~-17,True,False
34,"f+2, d/b or d or D/F (Cancel)", ,(Special)?,,False,False
35,f+3, ,m,-2~0,False,False
36,"f+3, *, n (two spins)", ,m,+6~+7,False,False
37,"f+3, * (three spins)", ,!,KND,False,False
38,f+4, ,h,+3~+5,False,False
39,f+1+2, ,h,-9,False,False
40,d/f+1, ,m,-3~-2,False,False
41,"d/f+1, 2", ,"m, h(, (throw))",-1,False,False
42,"d/f+1, 4", ,"m, m",-12~-11,True,False
43,d/f+2, ,m,-6~-5,False,False
44,d/f+3, ,m,-8~-7,False,False
45,d/f+4, ,m,-9,False,False
46,d+2, ,m,-4s,False,False
47,d+1+2 or FC+d/b or d+1+2, ,l (TC),-18,True,False
48,d+3+4, ,lh (TJ),-6(-25s),False,False
49,d/b+1, ,m (TC),-9,False,False
50,"d/b+1, 2", ,"m (TC), l",-13~-12,True,False
51,d/b+2, ,m,-13~-12,True,False
52,d/b+3, ,l,-12,True,False
53,b+1, ,"l (TC)(, (throw))",-10~-9,False,False
54,b+2, ,m,-4s,False,False
55,"b+2, 1", ,"m, m",-7,False,False
56,"b+2, 4", ,"m, l(LCT)",-11~-9,False,False
57,"b+2, 1+2", ,"m, h",-9,False,False
58,"b+2, 1+2, d (Cancel)", ,m,-6s,False,False
59,"b+2, 1+2, 4", ,"m, h, m",-13~-12,True,False
60,b+3, ,m (TJ),-19~-18,True,False
61,"b+3, 2", ,"m, m?",-20~-19,True,False
62,"b+3, 2, (d/b, d or d/f) (Cancel)", ,"m, (Special)?",-33~-32,True,False
63,"b+3, 4", ,"m (TJ), l (TC)(LCT)",-11~-9,False,False
64,b+4, ,m,-8~-7,False,False
65,"b+4, 2", ,"m, m",-12~-11,True,False
66,"b+4, 2, 3", ,"m, m, m",-16~-13,True,False
67,b+1+4, ,hl,-8~-7,False,False
68,"b+1+4 (First hit only, Second hit miss)", ,h,-25,True,False
69,"b+1+4, 3", ,"hl, l?",-13~-12,True,False
70,"b+1+4, 4", ,"hl, m",-14~-13,True,False
71,u/f+2, ,h (throw),-7,False,False
72,u/f+2 (No throw), ,h,-7,False,False
73,u/b or u or u/f+3, ,m (TJ),-3~-2,False,False
74,u/b+4, ,m (TJ),-15~-14,True,False
75,u or u/f+4, ,m (TJ),-13~-12,True,False
76,"f, F+1", ,m,+4~+5,False,False
77,"f, F+2", ,m,-13~-12,True,False
78,"f, F+2, 1", ,"m, h",-5~-4,False,False
79,"f, F+2, 3", ,"m, m",-8~-7,False,False
80,"f, F+2, 1+2", ,"m, m",-13~-12,True,False
81,"f, F+3", ,m?,-9~-8,False,False
82,"f, F+4", ,h (TJ),-3~-2,False,False
83,"u/b, b", ,(Special) (TJ),,False,False
84,"u/b, b, 3 or f, f, f+3", ,m (TJ),0~+4,False,False
