Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage d/f+1+2, ,m,-22,True,False
2,in rage f+2+3, ,"m (TJ), m (TJ)",+2~+3s,False,False
3,"in rage f+2+3, f", ,"m (TJ), m (TJ), (Special) (TC)(BAL)",+12~+13s,False,False
4,1, ,h,+1,False,False
5,"1, 1", ,"h, h",-1,False,False
6,"1, 1, 2", ,"h, h, h",-12,True,False
7,"1, 2", ,"h, h",-3,False,False
8,"1, 2, 1+2", ,"h, h, m",-13~-12,True,False
9,"1, 3", ,"h, l",-16~-15,True,False
10,"1, 3, 3", ,"h, l, m",-14~-13,True,False
11,"1, 4", ,"h, h",-6,False,False
12,"1, d+4", ,"h, l",-12,True,False
13,2, ,h,0,False,False
14,"2, 1", ,"h, m",-4~-2,False,False
15,"2, 1, 4", ,"h, m, m (TJ)",-4~-3,False,False
16,3, ,h,-9~-8,False,False
17,"3, 4", ,"h, m (TJ)",-10~-5s,False,False
18,4, ,h,-9,False,False
19,"4, 3", ,"h, m",-8~-7,False,False
20,"4, 3, 3+4", ,"h, m, m (TJ)",-5~0s,False,False
21,1+2, ,m,-13~-12s,False,False
22,"1+2, 1+2", ,"m, m",-20~-19,True,False
23,"1+2, F", ,"m, (Special) (TC)(BAL)",+4~+5s,False,False
24,"1+2, F (After stance ends)", ,"m, (Special) (TC)(BAL)",-19~-18s,False,False
25,"1+2, B", ,"m, (Special) (TC)(BAL)",-36~-35s,False,False
26,f+2, ,h,-8,False,False
27,"f+2, 3", ,"h, m",-15~-14,True,False
28,f+3, ,m,-4~+2,False,False
29,"f+3, 4", ,"m, m",-11~-10,False,False
30,f+4, ,h,-6~-5,False,False
31,f+1+2, ,m,-13~-9,False,False
32,d/f+1, ,m,-3~-2,False,False
33,"d/f+1, 2", ,"m, m",-12,True,False
34,d/f+2, ,m,-8~-7,False,False
35,d/f+3, ,m,-7,False,False
36,"d/f+3, 1", ,"m, h",-3,False,False
37,"d/f+3, 1, 1", ,"m, h, m",-10,True,False
38,"d/f+3, 2", ,"m, h",-9~-8,False,False
39,"d/f+3, 4", ,"m, l",-12~-11,True,False
40,"d/f+3, 4, 4", ,"m, l, h",-13~-12,True,False
41,d/f+4, ,m,-9~-8,False,False
42,d/f+3+4, ,mm,-13,True,False
43,"d/f+3+4, 4", ,"mm, m (TJ)",-4~-2,False,False
44,d+1, ,m,-11~-10,False,False
45,d+2, ,m,-9,False,False
46,"d+2, 1", ,"m, m",-10~-9,False,False
47,"d+2, 1, 2", ,"m, m, m",-12~-10,False,False
48,"d+2, 1, 2, 2", ,"m, m, m, m",-21,True,False
49,"d+2, 3", ,"m, m",-4,False,False
50,"d+2, 4", ,"m, m (TJ)",-13,True,False
