Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage d/f+1+2 or FC+d/f+1+2, ,m,-22,True,False
2,in rage b+1+2, ,m,+6~+7s,False,False
3,1, ,h,+1,False,False
4,"1, 2", ,"h, h",-2,False,False
5,"1, 2, 1", ,"h, h, m",-6,False,False
6,"1, 2, 3", ,"h, h, l",-12,True,False
7,"1, 2, 4", ,"h, h, h",-3,False,False
8,"1, 4", ,"h, h",-7,False,False
9,"1, 4, 2", ,"h, h, h",-7,False,False
10,"1, 4, 2, 1", ,"h, h, h, h",0,False,False
11,"1, 4, 2, 1, 2", ,"h, h, h, h, h",-9,False,False
12,"1, 4, 2, 1, u or d (Cancel)", ,"h, h, h",-10,True,False
13,"1, 4, 2, 4", ,"h, h, h, m (TJ)",-5~-4,False,False
14,"1, 4, 2, 1, 4", ,"h, h, h, h, m (TJ)",-5~-4,False,False
15,"1, 4, 3", ,"h, h, m",-10,True,False
16,"1, 4, 3, 3", ,"h, h, m, h",-7,False,False
17,2, ,h,+1,False,False
18,"2, 3", ,"h, m",-10,True,False
19,3, ,m,-4,False,False
20,"3, 2", ,"m, m",-10,True,False
21,"3, 2, 1", ,"m, m, m",-9,False,False
22,"3, 2, 1, 2", ,"m, m, m, m",-10,True,False
23,"3, 2, 1, 4", ,"m, m, m, l",-11,True,False
24,"3, 3", ,"m, h",-6,False,False
25,"3, 3, 2", ,"m, h, h",-7~-6,False,False
26,"3, 3, 4", ,"m, h, m",-12,True,False
27,4, ,h,-7,False,False
28,"4, 3", ,"h, m",-10~-9,False,False
29,"4, 3, 4", ,"h, m, m",-12,True,False
30,"4, 3, 4* (Very long hold)", ,"h, m, m",-9~-8,False,False
31,"4, 3, f+4", ,"h, m, h",-5~-4,False,False
32,1+2, ,m,-7~-6,False,False
33,"1+2, 2", ,"m, m",-14,True,False
34,3+4, ,m,-13,True,False
35,f+2, ,m,-10,True,False
36,"f+2, 1", ,"m, m",-10,True,False
37,"f+2, 1, 4", ,"m, m, m",-13~-12,True,False
38,f+3, ,m,0~+2,False,False
39,f+4, ,m,-9,False,False
40,"f+4, 1", ,"m, m",-13~-12s,False,False
41,f+1+2, ,h,+8~+9,False,False
42,f+1+4, ,!,-12,True,False
43,d/f+1, ,m,-5,False,False
44,"D/F+1, 1", ,"m, m",-10,True,False
45,"D/F+1, 1, 1", ,"m, m, m",-10,True,False
46,"D/F+1, 1, 1, 1", ,"m, m, m, m",-10,True,False
47,"d/f+1, 2", ,"m, m",-15,True,False
48,d/f+2, ,m,-6,False,False
49,"d/f+2, 1", ,"m, h",-4,False,False
50,"d/f+2, 3", ,"m, m",-13,True,False
51,d/f+3, ,l (TC),-26,True,False
52,d/f+4, ,m,-6~-4,False,False
53,d+2, ,m,-2~-1,False,False
54,"d+2, 3", ,"m, m",-10,True,False
55,d+3, ,l,-11,True,False
56,"d+3, 2", ,"l, h",-7,False,False
57,d+4, ,l,-11,True,False
58,d+1+2 FC+1+2, ,mm (TC),-10,True,False
59,d+1+2 FC+1+2 (Second hit miss), ,m,-28,True,False
60,"d+1+2, 3", ,"mm, l",-13~-12,True,False
