Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage d+1+2, ,m,-22,True,False
2,"in rage f, f, f+1+2", ,m,+5s,False,False
3,"in rage f, f, f+1+2 , d/b+1+2", ,"m, m(Throw)",Throw(KND),False,False
4,1, ,h,+1,False,False
5,"1, 1", ,"h, h",-4,False,False
6,"1, 1, 3", ,"h, h, m",-9~-8,False,False
7,"1, 2", ,"h, m",-9,False,False
8,"1, 2, 1", ,"h, m, m",-14~-13,True,False
9,"1, 3", ,"h, h",-7~-6,False,False
10,"1, 3, 2", ,"h, h, m",-12~-11,True,False
11,"1, 3, 2~1+2", ,"h, h, h(Throw)",,False,False
12,"1, 3, 2~1+2 B (Cancel)", ,"h, h, (Special)",-32~-31,True,False
13,2, ,h,0,False,False
14,"2, 1", ,"h, h",-2,False,False
15,"2, 1, 3", ,"h, h, h",-9~-8,False,False
16,"2, 1, 4", ,"h, h, l",-12,True,False
17,3, ,m,-9~-8,False,False
18,"3, 1", ,"m, h",-2~-1,False,False
19,"3, 1, 2", ,"m, h, m",-12~-10,False,False
20,4, ,h,-9,False,False
21,"4, 1", ,"h, h",-6~-5,False,False
22,"4, 3", ,"h, m",-12~-11,True,False
23,"4, 4", ,"h, m (TJ)",+3~+4,False,False
24,1+2, ,m,-14,True,False
25,3+4, ,h (TJ),-14~-13,True,False
26,"3+4, Any button", ,"h (TJ), (Special)",-24~-23g,False,False
27,f+2, ,h,-8~-7,False,False
28,"f+2, 4", ,"h, m",-7~-6,False,False
29,f+3, ,m,-6,False,False
30,"f+3, D/F", ,"m, (Special)",-1,False,False
31,"f+3, 2", ,"m, h",-9~-8,False,False
32,"f+3, 3", ,"m, m(, (throw))",-12,True,False
33,"f+3, 3 ", ,"m, m",-12~-9,False,False
34,f+4, ,h,-7~-6,False,False
35,"f+4, 4", ,"h, h",-11~-10,False,False
36,"f+4, 4, 3", ,"h, h, h",-5~-4,False,False
37,"f+4, d+4", ,"h, l",-12,True,False
38,f+1+2, ,h,-9~-8,False,False
39,d/f+1, ,m,-2,False,False
40,"d/f+1, 4", ,"m, h",-7~-6,False,False
41,d/f+2, ,m,-12~-11,True,False
42,d/f+3 (Close), ,"m(, (throw))",-6,False,False
43,d/f+3, ,m,-6~-3,False,False
44,d/f+4, ,m,-9,False,False
45,d/f+1+2 or FC+d/f+1+2, ,(Special)(lReturns move),,False,False
46,d+1, ,m,0~+1s,False,False
47,d+2, ,l (TC),-13~-12,True,False
48,d+3, ,l,-16~-15,True,False
49,"d+3, 4", ,"l, m",-11,True,False
50,d+4, ,l,-15~-14,True,False
51,"d+4, 1", ,"l, h",-11~-10,False,False
52,"d+4, 1, 3", ,"l, h, h",-16~-15,True,False
53,"d+4, 4", ,"l, h",-15~-14,True,False
54,d/b+2, ,m,-7~-6,False,False
55,"d/b+2, 1", ,"m, m",-10~-9,False,False
56,"d/b+2, 1, 2", ,"m, m, m",-14,True,False
57,d/b+3 (Close), ,l (TC),-26?,False,False
58,d/b+3, ,l (TC),-26?,False,False
59,d/b+3~1+2, ,l(Throw),,False,False
60,b+1, ,m,-10,True,False
61,"b+1, 2", ,"m, m",-13~-12,True,False
62,b+2, ,m,-3,False,False
63,"b+2, 1", ,"m, h",-5~-3,False,False
64,"b+2, 1, 3", ,"m, h, l (TC)",-26,True,False
65,"b+2, 1, 3 (Far)", ,"m, h, l (TC)",-26,True,False
66,"b+2, 1, 3~1+2 (Cancel)", ,"m, h, l(Throw)",,False,False
67,"b+2, 1, 3~1+2, d (Cancel)", ,"m, h, (Special)",-36~-34,True,False
68,b+3, ,h,-9~-8,False,False
69,b+4, ,m,-4,False,False
70,"b+4, 2", ,"m, m",-7,False,False
71,"b+4, 2, D", ,"m, m",-7,False,False
72,"b+4, 2, 1", ,"m, m, h",+1~+2,False,False
73,"b+4, 2, 1+2", ,"m, m, m(Throw)",,False,False
74,"b+4, 2, 1+2, 1 or 2 or 3 or 4 (Cancel)", ,"m, m, (Special)",-50,True,False
75,"b+4, 3", ,"m, h",-9~-8,False,False
76,b+1+2, ,m,+6~+7,False,False
77,b+3+4, ,h(Absorbs 1 h/m hit),-2~-1,False,False
78,b+2+3, ,!,KND,False,False
79,u/b+2, ,h,-5,False,False
80,u/f+1, ,h,-9,False,False
81,u or u/f+2, ,m (TJ),-5~-4,False,False
82,u/f+3, ,m (TJ),-7~-3,False,False
83,u/b+4, ,m (TJ),-17~-16,True,False
84,u+4, ,m (TJ),-13~-12,True,False
85,u/f+4, ,m (TJ),-9~-8,False,False
86,u/f+3+4, ,"h(Throw)?,  (TJ)",,False,False
87,"f, F+2", ,m,-12~-11,True,False
88,"f, F+2~1+2", ,h(Throw),,False,False
89,"f, F+3", ,h,+3~+5,False,False
90,"f, F+4", ,m,-1~+1,False,False
91,qcb+2, ,m,-15~-14,True,False
92,"f, f, f+2", ,m,+5~+7,False,False
93,"f, f, f+4", ,"m(, (throw))",-7~-6,False,False
94,WR+3, ,"l(, (throw))",-15,True,False
95,WR+3 (Far), ,l,-15~-14,True,False
96,WS+1, ,m,-3~-2,False,False
97,"WS+1, 2", ,"m, h",-7~-6,False,False
98,"WS+1, 3", ,"m, m",-12~-11,True,False
99,WS+2, ,m,-12~-11,True,False
100,WS+3, ,m,-9~-8,False,False
101,WS+4, ,m,-5~-4,False,False
102,WS+1+2, ,m,-15~-14,True,False
103,SS+2, ,m,-10~-9,False,False
104,"SS+2, 3", ,"m, h(, (throw))",-9,False,False
105,"SS+2, 1+2", ,"m, hm",-4~-3,False,False
106,"SS+2, 1+2, 4", ,"m, hm, h",-10~-9,False,False
107,"SS+2, 1+2, 1+2", ,"m, hm, m(Throw)",,False,False
108,"SS+2, 1+2, 1+2, 1 or 2 or 3 or 4 (Cancel)", ,"m, hm, (Special)",-51~-50,True,False
109,SS+3+4, ,(Special) (TC),,False,False
110,BT d+3, ,m,-11,True,False
111,Face down Grounded 1+2, ,(Special),,False,False
112,"Face down Grounded 1+2, 1+2", ,"(Special), m(Throw)",,False,False
113,Opponent Down d+3+4, ,On grounded opponent(l),-11,True,False
114,qcf, ,(Special),,False,False
115,qcf+1, ,h,-3~-2,False,False
116,qcf+2, ,m,-14,True,False
117,qcf+3, ,l (TC),-15,True,False
118,qcf+3 (Far), ,l (TC),-14~-13,True,False
119,qcf+4, ,m,-10~-9,False,False
120,"qcf+4 When hit 1, 3, 4, 2", ,Chained,,False,False
121,"qcf+4 When hit 2, 4, 3, 1", ,Chained,,False,False
122,qcf+1+2, ,m,-15~-14,True,False
