Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage b+3+4, ,m (TJ),-23,True,False
2,"in rage f, F+3+4", ,"mm, (RLX)",+12~+13,False,False
3,1, ,h,+1,False,False
4,"1, 2", ,"h, h",-4,False,False
5,"1, 2, f", ,"h, h, (HSP)",-4,False,False
6,"1, 2, 4", ,"h, h, (Special) (TJ)",-26(20a),False,False
7,"1, 3", ,"h, m, (HSP)",-14~-10,False,False
8,"1, 3, D", ,"h, m, (RLX)",-12~-10,False,False
9,2, ,h,0,False,False
10,3, ,h,-9~-7,False,False
11,"3, 4", ,"h, m",-4~-2,False,False
12,3~4, ,"ll (TC), (RLX)",-24,True,False
13,3~4 (First hit only), ,"l (TC), (RLX)",-24,True,False
14,3~4B, ,"ll (TC), (HSP)",,False,False
15,"3~4, 3", ,"ll (TC), m, (RLX)",-14~-13,True,False
16,"3~4, 4", ,"ll (TC), l (TC)",-7~-5,False,False
17,"3~4, 3+4", ,"ll (TC), m",-17~-10,False,False
18,4, ,m,-9,False,False
19,4~3, ,m,-28~25,False,False
20,"4~3, 3", ,"m, m, (RLX)",-5~-4,False,False
21,"4~3, 4", ,"m, m (TJ)",-2~0,False,False
22,1+2, ,hh,0~+1,False,False
23,1+2~3, ,"h, m",-23~-20,True,False
24,3+4, ,m,-9~-5,False,False
25,"3+4, B (Cancel)", ,(Special) (TC)(HSP),,False,False
26,"3+4, 3 (Cancel)", ,"m (TC), (Special)",-1~+1,False,False
27,f+2, ,h,-9,False,False
28,"f+2, 1", ,"h, h",-9~-8,False,False
29,"f+2, 1, 4", ,"h, h, m",-14~-13,True,False
30,f+3, ,"m, (HSP)",-3~-1,False,False
31,f+4, ,m,-23~-18,True,False
32,"f+4, B", ,"m, (HSP)",-1~+1,False,False
33,"f+4, 3", ,"m, m",-11~-8,False,False
34,"f+4, 3, 3+4", ,"m, m, mm",-14~-13,True,False
35,"f+4, 3+4", ,"m, ll (TC), (Special)",-24,True,False
36,f+3+4, ,mm,-4~-1,False,False
37,d/f+1, ,m,-2~-1,False,False
38,"d/f+1, F", ,"m, (HSP)",-8~-7,False,False
39,"d/f+1, 1", ,"m, h",-4,False,False
40,d/f+2, ,m,-9~-8,False,False
41,d/f+3, ,"m, (HSP)",-10~-7,False,False
42,"d/f+3, D", ,"m, (RLX)",-12~-9,False,False
43,d/f+4, ,l,-14,True,False
44,d/f+3+4, ,m,-23~-20,True,False
45,d+2, ,m,-9~-8,False,False
46,"d+2, 3", ,"m, m, (RLX)",-5~-2,False,False
47,"d+3~3 or f, f+3~3", ,"m, (RLX)",-14~-13,True,False
48,d+3~4, ,l (TC),-13~-11,True,False
49,d+4, ,l (TC),-16~-15,True,False
50,"d+4, 3", ,"l (TC), m",-13~-12s,False,False
51,d/b+2, ,l (TC),-18,True,False
52,"d/b+2, 3", ,"l (TC), m",-23~-22,True,False
53,d/b+3, ,l (TC),-18~-12,True,False
54,"d/b+3, B", ,"l (TC), (HSP)",-18~-12,True,False
55,"d/b+3, 3", ,"l (TC), m",-15~-8,False,False
56,"d/b+3, n+3", ,"l (TC), m (TC), (RLX)",-5~-4,False,False
57,"d/b+3, 4", ,"l (TC), h",-3~+1,False,False
58,"d/b+3, d/b+4", ,"l (TC), l (TC)",-7~-5,False,False
59,"d/b+3, d/b+4, B", ,"l (TC), l (TC), (HSP)",-9~-7,False,False
60,"d/b+3, d/b+4~3", ,"l (TC), m, (RLX)",-14~-13,True,False
61,"d/b+3, d/b+4, 4", ,"l (TC), l (TC), l (TC)",-14~-12,True,False
62,"d/b+3, d/b+4, 4, B", ,"l (TC), l (TC), l (TC), (HSP)",-20~-18,True,False
