Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage b+3+4, ,m (TJ),-22,True,False
2,1 or BT 1 or 2, ,h,+1,False,False
3,"1, 1", ,"h, h",-3,False,False
4,"1, 2", ,"h, h",-1,False,False
5,"1, 2, 3", ,"h, h, m (TJ)",-22~-21,True,False
6,"1, 2, 4", ,"h, h, h",-4~-3,False,False
7,2 or f+2, ,h,-3,False,False
8,"2, 2", ,"h, m",-12,True,False
9,3, ,h,-8,False,False
10,4 or BT 3 or 4, ,h,-5,False,False
11,1+2, ,m,-17~-16,True,False
12,3+4, ,l (TJ),-27,True,False
13,f+3, ,m,-9~-8,False,False
14,f+1+2, ,m,-13,True,False
15,d/f+1, ,m,-3,False,False
16,"d/f+1, 2", ,"m, m",-13,True,False
17,"d/f+1, 4", ,"m, h",-9,False,False
18,d/f+2, ,m,-9~-8,False,False
19,"d/f+2, 3", ,"m, m (TJ)",-18~-17,True,False
20,d/f+3, ,m (TJ),-8~-7,False,False
21,d/f+4, ,m,-8,False,False
22,d/b or d+1 or FC+1 or BT d+1 or d+2, ,Sm,-5,False,False
23,d/b or d+2 or FC+2, ,Sm (TC),-7,False,False
24,d/b or d+3 or FC+3 (Close), ,l (TC),-16,True,False
25,d/b or d+3 or FC+3, ,l (TC),-16,True,False
26,d/b or d+4 or FC+4 or BT d+3 or d+4, ,l (TC),-27,True,False
27,d+1+2 or FC+d/b or d+1+2 Grounded face upd+1+2, ,(Special) (TC),,False,False
28,d/b+1+2, ,! (TJ),KND,False,False
29,b+1, ,m,-8,False,False
30,"b+1, 2", ,"m, m",-13~-11,True,False
31,"b+1, 2, 4", ,"m, m, m (TJ)",-13~-12s,False,False
32,b+2, ,h,-4,False,False
33,"b+2, 3", ,"h, m",-9~-8,False,False
34,b+3, ,h,-9,False,False
35,"b+3, 1", ,"h, h",-4~-3,False,False
36,"b+3, 4", ,"h, m",-14~-13,True,False
37,b+4, ,Sm,-14,True,False
38,b+1+2, ,hm,-13~-12,True,False
39,"f, F+2 When hit , b", ,m,-9,False,False
40,"f, f+2 When hit or MG 2 When hit ", ,(Special),,False,False
41,"f, F+3", ,h,-10~-9,False,False
42,"f, F+3, 4", ,"h, h (TJ)",-7~-6,False,False
43,"f, F+4", ,m (TJ),-16~-15,True,False
44,"f, F+4, 2", ,"m (TJ), m",-14~-13,True,False
45,"f, F+4, 2, qcf+1 (SSL)", ,"m (TJ), m, Sm(DW)",-10~+10,False,False
46,"f, F+4, 2, qcf+2 (SSR)", ,"m (TJ), m, Sm(DW)",-13~+17,False,False
47,"f, F+4, 2, qcf+1, f or d/f+3+4 (SSL)", ,"m (TJ), m, Sm, (MG)",+2,False,False
48,"f, F+4, 2, qcf+2, f or d/f+3+4 (SSR)", ,"m (TJ), m, Sm, (MG)",+2~+32,False,False
49,"f, F+4, 2, qcf+1+2", ,"m (TJ), m, SmSm",+5,False,False
50,"f, F+1+2", ,mh (TJ)l,-14,True,False
51,"f, f, f+1 or WR+1", ,h,+2~+4,False,False
52,"f, f, f+3 or WR+3", ,m,0~+4,False,False
53,WS+1, ,m,-7,False,False
54,WS+2, ,m,-9~-8,False,False
55,WS+3, ,m (TJ),-22~-21,True,False
56,WS+4, ,m,-5~-4,False,False
57,FC+D (One second), ,,,False,False
58,Jump 1 BT u or u/f+1, ,m,-25~0,False,False
59,Jump 2 BT u or u/f+2, ,m,-17~+8,False,False
60,Jump 3 BT u or u/f+3, ,m,-25~0,False,False
61,Jump 4 BT u or u/f+4, ,m,-18~+7,False,False
62,Grounded face up 1+2, ,(Special) (TC),,False,False
63,2+3+4, ,(Special),,False,False
64,f+4, ,(MG),,False,False
65,MG 1, ,h,-4,False,False
66,"MG 1, 2", ,"h, h",-8,False,False
67,"MG 1, 2, 1+2", ,"h, h, m",-13~-12,True,False
68,MG 2, ,"m(, (Special))(DS)",-9,False,False
69,MG 3, ,h,-10~-9,False,False
70,"MG 3, 4", ,"h, h (TJ)",-7~-6,False,False
71,MG 4, ,l,-24~-17,True,False
72,MG 1+2, ,! (TJ),KND,False,False
73,qcf+1 (SSL), ,Sm,-9~+11,False,False
74,qcf+2 (SSR), ,Sm,-13~+17,False,False
75,"f, d, d/f+1 (SSL)", ,Sm,-22 (12~8a),False,False
76,"f, d, d/f+2 (SSR)", ,Sm x 3,-36 (19~8a),False,False
77,qcb+1, ,Sm,-11~-10,False,False
78,qcb+2, ,Sm,-13~-12,True,False
79,qcb+3 (SSL), ,m (TJ),-19~-10,False,False
80,qcb+4 (SSR), ,m (TJ),-1~+6,False,False
81,Jump qcb+3 (SSL), ,m (TJ),-14~-5,False,False
82,Jump qcb+4 (SSR), ,m (TJ),-1~+6,False,False
83,"qcf+1, f or d/f+3+4 (SSL)", ,"Sm, (MG)",+2~,False,False
84,"qcf+2, f or d/f+3+4 (SSR)", ,"Sm, (MG)",+2~+32,False,False
85,qcf+1+2, ,SmSm,+10g,False,False
86,"f, d, d/f+1+2", ,Sm x 5,-34,True,False
87,qcb+1+2, ,SmSm,-14~-13,True,False
88,qcb+3+4, ,"m (TJ), m",-13~-12,True,False
89,Jump qcb+3+4, ,"m (TJ), m",-13~-12,True,False
90,"Two meter bars qcf, qcf+1+2", ,Sm,-7,False,False
