Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage d+1+2, ,m,-22,True,False
2,in rage b+1+2*, ,m,+3~+4 (wl+9),False,False
3,1, ,h,+1,False,False
4,"1, 1", ,"h, m",-11~-10,False,False
5,"1, 1, 2", ,"h, m, m",-14~-13,True,False
6,"1, 1, 2, 1", ,"h, m, m, m",-14~-13,True,False
7,"1, 2", ,"h, h",-1,False,False
8,"1, 2, 2", ,"h, h, h",-13,True,False
9,"1, 2, 2, b", ,"h, h, h",-11,True,False
10,"1, 3", ,"h, h",-5~-4,False,False
11,2, ,h,-3,False,False
12,"2, 4", ,"h, m",-12,True,False
13,"2, 4, 1", ,"h, m, m",-13,True,False
14,"2, 4, 1, b (Cancel)", ,"h, m",-13,True,False
15,3, ,h,-11,True,False
16,"3, 3", ,"h, h",-10,True,False
17,"3, 3, 4", ,"h, h, l",-12~-11,True,False
18,"3, 3, 4, b (Cancel)", ,"h, h",-17,True,False
19,4, ,h,-8,False,False
20,2~1, ,m,-3~-2s,False,False
21,"2~1, 1", ,"m, m",-12~-11,True,False
22,3~4, ,m (TJ),-12~-10s,False,False
23,"3~4, b", ,m (TJ),-7~-5s,False,False
24,"3~4, 3", ,"m (TJ), l",-26~-14,True,False
25,4~3, ,m (TC),-4~+5,False,False
26,1+2, ,m(Absorbs 1 h/m hit),-13~-12,True,False
27,1+4, ,lh,-31s,False,False
28,1+4 (Second hit only), ,h,-2~-1,False,False
29,f+2, ,m,-8~-7,False,False
30,"f+2, 1", ,"m, m",-5,False,False
31,"f+2, 1, 2", ,"m, m, m",-19~-18,True,False
32,f+3, ,m,-3,False,False
33,"f+3, 4", ,"m, m (TJ)",-16~-15,True,False
34,f+4, ,h (TJ),-9~-8,False,False
35,"f+4, B", ,h (TJ),-5~-4,False,False
36,"f+4, 3", ,"h (TJ), m",-10~-7,False,False
37,"f+4, 4 (Close)", ,"h (TJ), l (TC)",-12,True,False
38,"f+4, 4", ,"h (TJ), l (TC)",-12~-10,False,False
39,f+1+2, ,h,-9~-8,False,False
40,d/f+1, ,m,0,False,False
41,d/f+2, ,m,-9,False,False
42,"d/f+2, 2", ,"m, m",-6~-5,False,False
43,d/f+3, ,m,-7~-6,False,False
44,d/f+4, ,m,-6,False,False
45,d/f+3+4, ,m,-8~-4,False,False
46,d+2, ,l (TC),-12~-11,True,False
47,d+4, ,l,-11~-10,False,False
48,"d+4, 1+2", ,"l, m",-10,True,False
49,d/b+1, ,m,-12,True,False
50,"d/b+1, 2", ,"m, m",-12~-11,True,False
51,"d/b+1, F", ,"m, (STC)",-16,True,False
52,"d/b+1, F (After stance ends)", ,"m, (STC)",-41,True,False
53,"d/b+1, B", ,"m, (KNP)",-9,False,False
54,"d/b+1, B (After stance ends)", ,"m, (KNP)",-35,True,False
55,"d/b+1, 4", ,"m, h",-2~-1,False,False
56,d/b+2, ,l (TC),-11~-10,False,False
