Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage d/b+1+2 or FC+d/b+1+2, ,h!,KND,False,False
2,"in rage hcb, f+3+4", ,m,-22~-18,True,False
3,When first part hits 1, ,"m, h",,False,False
4,"When first part hits 1, 2", ,"m, h, m",,False,False
5,"When first part hits 1, 2, 4", ,"m, h, m, m",,False,False
6,"When first part hits 1, 2, 4, 1", ,"m, h, m, m, m",,False,False
7,"When first part hits 1, 2, 4, 1, 4", ,"m, h, m, m, m, l",,False,False
8,"When first part hits 1, 2, 4, 1, 4 , 1", ,"m, h, m, m, m, l, m",,False,False
9,"When first part hits 1, 2, 4, 1, 4 , 1, 3", ,"m, h, m, m, m, l, m, h",,False,False
10,"When first part hits 1, 2, 4, 1, 4 , 1, 3, 2", ,"m, h, m, m, m, l, m, h, h",,False,False
11,"When first part hits 1, 2, 4, 1, 4 , 1, 3, 2, 1+2", ,"m, h, m, m, m, l, m, h, h, !",,False,False
12,1 or BT 1 or 2, ,h,+1,False,False
13,"1, 1+2", ,"h, (MAX )",-2,False,False
14,"1, 1", ,"h, h",-1,False,False
15,"1, 1, 2", ,"h, h, h",-12,True,False
16,"1, 2", ,"h, m",-7,False,False
17,"1, 2, 1", ,"h, m, m",-19~-18,True,False
18,"1, 2, 1, 1", ,"h, m, m, h",-15,True,False
19,"1, 2, 3", ,"h, m, h",+1~+3,False,False
20,"1, 2, 3, 1+2", ,"h, m, h, (MAX )",+5~+7,False,False
21,2, ,Sm,-13,True,False
22,"2, 1+2", ,"Sm, (MAX )",+2,False,False
23,3, ,h,-8~-7,False,False
24,"3, 3", ,"h, m",-13~-12,True,False
25,4 or BT 3 or 4, ,h,-3~-2,False,False
26,1+2, ,m,-14,True,False
27,f+1, ,m,-17~-16,True,False
28,"f+1, 1+2", ,"m, (MAX )",+2~+3,False,False
29,f+2, ,mh,-14~-13,True,False
30,f+2 (Second hit only), ,h,-14~-13,True,False
31,"f+2, 1+2", ,"mh, (MAX )",+2~+3,False,False
32,"f+2When con, nects1", ,"mh, h",-9,False,False
33,f+3, ,h,+1~+3,False,False
