Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage 1+2, ,m (TJ),-42~-41,True,False
2,in rage f+3+4*, ,! (GOL),+81,False,False
3,1, ,h,+1,False,False
4,"1, 2", ,"h, h",-17,True,False
5,2, ,h,-5,False,False
6,"2, 1", ,"h, h",-7,False,False
7,"2, 1, 3+4", ,"h, h, (SG)",-4,False,False
8,3, ,m,-9~-8,False,False
9,4, ,m,-9~-8,False,False
10,f+2, ,h,-9~-7,False,False
11,"f+2, 1", ,"h, h",-3~-2,False,False
12,"f+2, 1, 1", ,"h, h, m",-12~-11,True,False
13,"f+2, f+1", ,"h, h",-9~-8,False,False
14,"f+2, d+1", ,"h, m",-13~-12s,False,False
15,"f+2, d+1, 3+4", ,"h, m, (SG)",-2s,False,False
16,f+3, ,m,-9,False,False
17,"f+3, 2", ,"m, m",-13,True,False
18,"f+3, 2, F", ,"m, m, (GOL)",-27,True,False
19,"f+3, 2*", ,"m, m",+15g,False,False
20,"f+3, 2*, F", ,"m, m, (GOL)",+18,False,False
21,f+4, ,m,-14,True,False
22,"f+4, F", ,"m, (GOL)",-18,True,False
23,f+4*, ,m,+26g,False,False
24,"f+4*, F", ,"m, (GOL)",+18,False,False
25,f+1+2, ,h,-9,False,False
26,f+1+2(CH in front), ,"h, (throw)",,False,False
27,d/f+1, ,m,-9,False,False
28,d/f+2, ,m,-7,False,False
29,"d/f+2, 1", ,"m, m",-13~-12,True,False
30,d/f+3, ,m,-9,False,False
31,"d/f+3, 1", ,"m, h",-4,False,False
32,"d/f+3, 1+2", ,"m, m",-16,True,False
33,"d/f+3, 1+2, 1+2", ,"m, m, h",-1~0,False,False
34,d/f+4, ,m,-3,False,False
35,"d/f+4, 1+2", ,"m, m",+1~+2s,False,False
36,d/f+1+2, ,mm,-20~-19,True,False
37,"d/f+1+2, 1+2", ,"mm, m",-18~-17s,False,False
38,d+2, ,m,-14,True,False
39,d+3, ,l,-12,True,False
40,"d+3, 2", ,"l, m",-12s,False,False
41,d+1+2, ,m,-13~-12,True,False
42,d+3+4, ,(Special),,False,False
43,d/b+2, ,l (TC),-14~-13,True,False
44,d/b+3, ,l (TC),-28,True,False
45,d/b+4, ,l (TC),-13,True,False
46,d/b+1+2, ,m,-8~-5,False,False
47,b+1, ,m,-15~-13,True,False
48,b+2, ,m,-13,True,False
49,"b+2, F", ,"m, (GOL)",-18,True,False
50,b+2*, ,m,+15g,False,False
51,"b+2*, F", ,"m, (GOL)",+18,False,False
52,b+3, ,m,-9~-7,False,False
53,b+4, ,m,-9~-7s,False,False
54,b+1+2, ,m,+1~+2s,False,False
55,u/f+1, ,m (TJ),-9~-8s,False,False
56,u/b+3, ,m (TJ),-10~-8,False,False
57,u+3, ,m (TJ),-10~-8,False,False
58,u/f+3, ,m (TJ),-3~-1,False,False
59,u/f+4, ,m (TJ),-13~-12,True,False
60,u/f (On the way up) n+4, ,m (TJ),-11,True,False
61,u/f+1+2, ,m (TJ),-19~+10,False,False
62,u/f+3+4, ,m (TJ),-3~+2s,False,False
63,"f, F+2", ,m,-8~-7,False,False
64,"f, F+3", ,m,-9,False,False
65,"f, F+4", ,m,-8,False,False
66,"f, F+4, 2", ,"m, m",-13~-12,True,False
67,"f, F+1+2", ,m,-16,True,False
68,"f, F+1+2, 1+2", ,"m, h",-1~0,False,False
69,"f, f, f+2", ,m,+7~+10g,False,False
70,WS+1, ,m,-7~-6,False,False
71,WS+2, ,m,-5~-4,False,False
72,"WS+2, 3", ,"m, m",-13,True,False
73,"WS+2, 4", ,"m, m",-14,True,False
74,"WS+2, 4, F", ,"m, m, (GOL)",-27,True,False
75,"WS+2, 4*", ,"m, m",+27g,False,False
76,"WS+2, 4*, F", ,"m, m, (GOL)",+19,False,False
77,WS+3, ,m,-13~-11,True,False
78,WS+4, ,m,-12~-11,True,False
79,"WS+4, 2", ,"m, m",-14,True,False
80,FC+d/f+2, ,l (TC),-19~-18,True,False
81,SS+2, ,h,-12~-11,True,False
82,Face down Grounded 2, ,l?,-16~-14,True,False
83,Face down Grounded 1+2, ,m,0~+1,False,False
84,f+3+4 or From special move, ,(GOL),,False,False
85,GOL 1 (After two step), ,m,-2~-1,False,False
86,GOL 1 (After three step), ,m,-2~-1,False,False
87,GOL 2 (After two step), ,h!,KND,False,False
88,GOL 2 (After three step), ,h!,KND,False,False
89,GOL 1+2 (After two step), ,m (TJ),+4~+10,False,False
90,GOL 1+2 (After three step), ,m (TJ),+4~+10,False,False
91,d/b+3+4 (to SG), ,(Special)(SG),,False,False
92,SG 1, ,m,-13~-12,True,False
93,SG 2, ,m,-8~-6,False,False
94,SG u/b, ,(Special) (TJ),,False,False
