Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage LFS or RFS d+3+4,,m,-7,False,False
2,in rage d+3+4,,lm,-4~-3,False,False
3,"in rage d+3+4, 4",,"lm, m (TJ)(RFF)",+6s~+8s,False,False
4,"in rage u/f+3, 4, 3+4",,"m (TJ), m, hh",+4~+5,False,False
5,"in rage LFS u/f+3, 4, 3+4",,"m (TJ), m, hh",+4~+5,False,False
6,1,,h,+1,False,False
7,"1, 1",,"h, h",-2,False,False
8,"1, 1, 3","+1*, 2, +1-, , 6, +1*, 5, +1-, , 1, +3*, 5, +3-","h, h, l",-12,True,False
9,"1, 1, 3, 3","+1*, 2, +1-, , 6, +1*, 5, +1-, , 1, +3*, 5, +3-, , 8, +3*, 5, +3-, ","h, h, l, h",-14,True,False
10,"1, 2",,"h, h",-1,False,False
11,"1, 2, 3",,"h, h, (Special)",+3,False,False
12,"1, 2, 4",,"h, h, (Special)",+3,False,False
13,"1, 2, f+3",,"h, h, m",-8,False,False
14,"1, 2, f+4",,"h, h, h (TJ)",0,False,True
15,2,,h,0,False,False
16,"2, 3",,"h, (LFS)",+3,False,False
17,"2, 4",,"h, (RFS)",+3,False,False
18,"2, f+3",,"h, m",-8,False,False
19,"2, f+4",,"h, h (TJ)",0,False,True
20,3,,h,-7,False,False
21,"3, 3","+3*, 3, +3-, , 5, +3*, 3, +3-, ","h, m",-13,True,False
22,"3, 3, F",,"h, m, (LFS)",+2,False,False
23,"3, 3, 3","+3*, 4, +3-, , 7, +3*, 2, +3-, , 6, +3*, 3, +3-, ","h, m, m",-14,True,False
24,"3, 3, 4",,"h, m, h, (RFS)",+8~+12,False,True
25,"3, 3, d/f or f+4",,"h, m, h",-4~+2y,False,True
26,3~4,,mm (TJ),-3,False,False
27,4,,h,-6~-5,False,False
28,"4, 3",,"h, m(LFF)",-6,False,False
29,"4, 3, f (Cancel)",,"h, (LFS)",-6~-5,False,False
30,"4, 4",,"h, h, (RFS)",-1,False,True
31,"4, f+4",,"h, h(RFF)",-5,False,True
32,"4, 4, 3",,"h, h, m(RFF)",-15~-9s,True,False
33,"4, 4, 4",,"h, h, h, (RFS)",-1,False,True
34,"4, 4, f+4",,"h, h, h(RFF)",-6,False,True
35,"4, 4, 4, 4",,"h, h, h, h(RFF)",+2~+5,False,True
36,"4, 4, 4, 3",,"h, h, h, m(RFF)",-15~-9s,True,False
37,1+2,,(RFF),,False,False
38,3+4,,(RFF),,False,False
39,f+2,,m(RFF),-2,False,False
40,f+3,,(Special),,False,False
41,f+3~n+3,"F, 2, +3*, 3, -F, +3-, , 6, +3*, 3, +3-, ",m,-16,True,False
42,"f, n+4",,(Special),,False,False
43,f+4,,"h, (RFS)",+8~+12,False,False
44,f+1+2,,m,-9,False,False
45,d/f+1,,m,0~+1,False,False
46,d/f+2,,m,-7~-6,False,False
47,d/f+3,df+3,m,-14~-13,True,False
48,"d/f+3, 4","FD, 2, +3*, 3, -F, , 1, -D, +3-, , 3, +4*, 3, +4-","m, m",-14~-13,True,False
49,"d/f+3, f (Cancel)",,(LFS),,False,False
50,d/f+4,,m(RFF),-8~-7,False,False
51,d/f+1+2,,m,-3~-2,False,False
52,d/f+3+4,,"m(,  (Sky)(throw))",-11~-10,True,False
53,d+3,d+3,l,-13,True,False
54,"d+3, 4",,"l, h, (RFS)",+8~+12,False,False
55,d+4,d+4,l (TC),-17,True,False
56,"d+4, 4",,"l (TC), h",-8,False,True
57,d/b+3,db+3,l (TC),-13,True,False
58,d/b+4,db+4,l,-12,True,False
59,"d/b+4, f",,"l, (RFS)",-1,False,False
60,"d/b+4, 4",,"l, h",-3~-1,False,True
61,d/b+3+4,,!,KND,False,False
62,"d/b+3+4, b, b (Cancel)",,(LFS),,False,False
63,b+1,b+1,m,-13,True,False
64,b+2,,h,-9~-7,False,False
65,b+3,b+3,m,-19~-17,True,False
66,b+4,,h(RFF),-9~-8,False,False
