Move ID,Move,Command,hitLevel,BlockFrame,Punishable,Duckable
1,in rage b+1+2, ,m,-32,True,False
2,"in rage b, d/b, d, d/f+1, 2", ,"l (TC), m",-9(wl~3),False,False
3,1, ,h,-2,False,False
4,"1, 1", ,"h, m",-14~-13s,False,False
5,"1, 2", ,"h, h",-2,False,False
6,2, ,h,+1,False,False
7,"2, 1", ,"h, m",-2,False,False
8,"2, 1, 2", ,"h, m, m",-12~-11,True,False
9,3, ,h,-13,True,False
10,4, ,h,-4,False,False
11,f+4, ,h,-4,False,False
12,1+2, ,mh,-9~-8,False,False
13,3+4 or floor brake 3+4, ,! (TJ),KND,False,False
14,"3+4, 3+4", ,! (TJ),KND,False,False
15,"3+4, 3+4, 3+4", ,! (TJ),KND,False,False
16,"3+4, 3+4, 3+4, 3+4", ,! (TJ),KND,False,False
17,"3+4, 3+4, 3+4, 3+4 , 3+4", ,! (TJ),KND,False,False
18,f+1, ,m,-6~-5,False,False
19,"f+1, 2", ,"m, h",-6~-5,False,False
20,"f+1, 2, 2", ,"m, h, m",+6~+7,False,False
21,"f+1, 2, 2*", ,"m, h, m",-11,True,False
22,f+2, ,h,-12,True,False
23,f+3, ,m,-7~-6,False,False
24,"f+3, 1+2", ,"m, m",-9~-8s,False,False
25,f+4~1, ,h!,CS,False,False
26,"f+4~1, 2", ,m,+8~+9,False,False
27,f+1+2, ,m,-19~-18,True,False
28,f+3+4 or FC+d/f+3+4, ,m (TC),-12~-7,False,False
29,d/f+1, ,m,-4~-3,False,False
30,"d/f+1, 1", ,"m, m",-10~-9,False,False
31,"d/f+1, 2", ,"m, h",-12,True,False
32,"d/f+1, 2, 1", ,"m, h, h",-10,True,False
33,"d/f+1, 2, 1, 2", ,"m, h, h, hh",-18~-17,True,False
34,d/f+2, ,m,-14~-13,True,False
35,"d/f+2, 1", ,"m, m",-6~-5,False,False
36,"d/f+2, 1, 2", ,"m, m, m",-8~-7,False,False
37,"d/f+2, 1, 2, 1", ,"m, m, m, h",-4~-3,False,False
38,"d/f+2, 1, 2, d/f+1", ,"m, m, m, m",-2~-1,False,False
39,"d/f+2, 1, 2, d+1", ,"m, m, m, l (TC)",-11~-9,False,False
40,d/f+3, ,m,-9,False,False
41,"d/f+3, 2", ,"m, h",-7~-6,False,False
42,d/f+4, ,m,-4,False,False
