Move ID,Move,Command,BlockFrame
1,in rage b+1+2, ,-9
2,"in rage f, n, d, d/f+1+2", ,-7~-6
3,"in rage f, n, d, d/f+1+2, D/F", ,+14~+15g
4,"in rage f, n, d, d/f+1+2, 3", ,+8~+13g
5,"in rage f, n, d, d/f+1+2, 3, 1", ,+9(wl+15g)
6,1, ,+1
7,"1, 2", ,-2
8,"1, 2, 3", ,0~+2
9,"1, 2, 4", ,-4~-2
10,"1, 3", ,-6
11,"1, 3, F", ,-7
12,"1, 3, B", ,-6
13,"1, 3, 2", ,-1
14,"1, 3, 2, 1", ,-7
15,"1, 3, 2, 1, 4", ,-13~-12
16,"1, 3~3", ,+6~+8
17,"1, 3~3d/f+3", ,-14
18,"1, d+3", ,-12~-11
19,"1, d+3, 4", ,-13
20,2, ,0
21,"2, 1", ,-3~-2
22,"2, 1, 4", ,-9~-7
23,"2, 1, 4~4", ,-31
24,"2, 4", ,-9~-6
25,3, ,-7
26,"3, 1", ,-1
27,"3, 1, F (to ZEN)", ,+4
28,"3, 1, 4", ,-13
29,4, ,-9~-8
30,4~3 or WS+4~3, ,-14~-4
31,1+2, ,-14
32,3+4, ,-9
33,f+2, ,-5~-4
34,f+3, ,-8
35,f+3~3, ,+6~+9
36,"f+3~3, d/f+3", ,-14
37,f+4, ,-8~-7
38,"f+4, F", ,-1~0
39,f+1+2, ,-9~-8
40,f+1+2 (Second hit whiff), ,-27
41,d/f+1, ,-3~-2
42,"d/f+1, 4", ,-9~-6
43,"d/f+1, 4~4", ,-12
44,d/f+2, ,-7~-6
45,d/f+3, ,-16
46,"d/f+3, 3", ,-8
47,"d/f+3, 3, f", ,-7
48,"d/f+3, 3, b", ,-8
49,d/f+4, ,-3~-2
50,d/f+1+2, ,-12~-11
51,d+1, ,-7
52,d+3, ,-13~-12
53,"d+3, 3", ,-16
54,d+4, ,-12~-11
55,d+3+4, ,-19~-17
56,d+3+4 (Second hit miss), ,-30
57,d/b+2, ,-10
58,"d/b+2, 2", ,-12
59,"d/b+2, 2, 3", ,-9~-8
60,"d/b+2, 3", ,-8~-6
61,d/b+3, ,-13~-11
62,d/b+4, ,-13~-12
63,d/b+1+2, ,-25~+5
64,b+2, ,-11~-10
65,"b+2, 1", ,-9~-8
66,b+3, ,-6
67,"b+3, f", ,-2~-1
68,b+4, ,-7~-6
69,u/b+1+2, ,KND
70,u/f+2, ,-7~-6
71,u/b+3, ,-11~-10
72,u or u/f+3, ,-9~-8
73,u+4, ,-13~-11
74,u/f+4, ,-13~-11
75,"f, F+2", ,-8~-7
76,"f, F+3", ,+2~+4
77,"f, F+3, 1", ,+1
78,"f, F+3, 1, 3", ,-6
79,"f, F+3, 1, 3, 2", ,-1
80,"f, F+3, 1, 3 , 2, 1", ,-7
81,"f, F+3, 1, 3 , 2, 1, 4", ,-13~-12
82,"f, F+4", ,+4~+7s
83,"b, f+2", ,-7~-6
84,"b, f+2, 1", ,-5
85,"b, f+2, 1, 2", ,-5~-4
86,"b, f+2, 3", ,-12
87,"b, f+2, 3, f", ,-1
88,WS+1, ,-6~-5
89,"WS+1, 2", ,-8~-7
90,"WS+1, 2, f", ,-9~-8
91,WS+2, ,-12~-11
92,WS+3, ,-9~-7
93,WS+4, ,-3~-2
94,Opponent Down d+2, ,-13~-12
95,1+3+4, ,
96,d+1+2 (to ZEN), ,
97,b+1 (to CDS), ,
98,CDS F, ,
99,ZEN or CDS D/F, ,
100,ZEN or CDS 1, ,-3~-2
101,"ZEN or CDS 1, 2", ,-14~-13
102,ZEN or CDS 2, ,-14~-13
103,ZEN or CDS 3, ,-9~-8
104,ZEN or CDS 4, ,-26
105,ZEN or CDS 1+2, ,-13~-12
106,ZEN or CDS 3+4, ,+8~+13g
107,"f, n, d, d/f", ,
108,"f, n, d, d/f, u/f", ,
109,"f, n, d, D/F+1", ,-13~-12
110,"f, n, d, d/f+1", ,-13~-12
111,"f, n, d, D/F+2", ,-10~-9
112,"f, n, d, d/f+2", ,+5~+6
113,"f, n, d, d/f+3", ,-9~-7
114,"f, n, d, d/f+4", ,-31
115,"f, n, d, d/f+4, 3+4", ,-14~-4
116,"f, n, d, d/f,", ,
