Move ID,Move,Command,BlockFrame
1,in rage d/f+1+2, ,-22
2,"in rage f, n, d, d/f+3+4", ,+8~+10
3,1, ,+1
4,"1, 2", ,-1
5,"1, 2, 2", ,-13
6,"1, 2, 3", ,-11
7,"1, 2, 4", ,+11
8,"1, 2, d+4", ,-16
9,"1, 2, d+4, 4", ,-4~-3
10,"1, 4", ,-4
11,"1, 4, 3", ,-15
12,2, ,+1
13,"2, 3", ,-11
14,"2, 4", ,+11
15,"2, d+4", ,-16
16,"2, d+4, 4", ,-4~-3
17,3, ,-8~-7
18,"3, 2", ,-12~-11
19,"3, 2, f", ,-7~-6
20,"3, 3", ,-1
21,"3, f+3", ,-14~-13
22,4, ,-7
23,1+2, ,
24,3+4, ,-9~-8
25,f+2, ,-8
26,"f+2, 3", ,-11
27,"f+2, 3, 4", ,-4~-3
28,"f+2, 4", ,-13~-12
29,f+3, ,-3
30,f+4, ,-4
31,"f+4, 3", ,-10~-9
32,f+1+2, ,-5~-4
33,"f+3+4 or f, f, f+3+4", ,-7
34,d/f+1, ,-7~-6
35,"d/f+1, 2", ,-6~-5
36,"d/f+1, 4", ,-16
37,"d/f+1, 4, 2", ,-7
38,"d/f+1, 4~4", ,-11
39,d/f+2, ,-13~-12
40,d/f+3, ,-13~-11
41,"d/f+3, 2", ,-12
42,"d/f+3, 2, f", ,-8~-6
43,d/f+4, ,+11
44,d/f+3+4, ,-12
45,d+2, ,-2
46,d+3, ,-17
47,"d+3, 4", ,+11
48,d+4, ,-10
49,d+3+4, ,-13~-11
50,d/b+2, ,-11
51,d/b+4, ,-6
52,"d/b+4, 2", ,-11
53,"d/b+4, 2, 3", ,-16
54,b+1, ,-9~-8
55,"b+1, 1", ,-3
56,"b+1, 2", ,-5
57,"b+1, 2, 4", ,-10
58,"b+1, 2, 4, F", ,-6
59,"b+1, 2, 4, 4", ,-5~-4
60,b+2, ,+1
61,b+2 (Counter hit), ,
62,b+3, ,-6~-5
63,b+4, ,-5
64,"b+4, 3", ,-6
65,"b+4, 3, 4", ,-20~-16
66,"b+4, 3, d+4", ,-13
67,"b+4, 3, d+4~4", ,-11
68,b+1+2, ,-9~-8
69,b+2+3, ,CS
70,u/b or u or u/f+3, ,-9~-8
71,u/b+4, ,-20~-18
72,u+4, ,-13~-11
73,u/f+4, ,-13~-11
74,u/f+3+4, ,-13~-11
75,"f, F+3", ,+6~+8
76,"f, F+4", ,-9~-7
77,"f, f, f+3", ,+6~+9
78,WS+1, ,-4
79,WS+2, ,-9
80,"WS+2, 1", ,-13~-12
81,"WS+2, 1, b", ,-8~-7
82,WS+3, ,-7
83,WS+4, ,-6~-5
84,FC+d/f+4, ,-15
85,"FC+d/f, d, d/f", ,
86,1+2+3, ,
87,From certain moves (to SWS), ,
88,SWS 1, ,-7~-6s
89,SWS 2, ,-6~-5
90,SWS 3, ,-12
91,SWS 4, ,-9
92,SWS F (to CD), ,
93,b+3+4 From certain moves (to SWB), ,
94,SWB 1, ,-9~-8
95,SWB 2, ,-13
96,SWB F (to CD), ,
97,"f, n, d, D/F From certain moves (to CD)", ,
98,"f, n, d, d/f+1", ,-4~-3
99,"f, n, d, d/f+1, 3", ,-9~-8
100,"f, n, d, d/f+2", ,-14~-13
101,"f, n, d, d/f+3", ,-13
102,"f, n, d, d/f+4", ,-6~-5
103,"f, n, d, d/f+1+2", ,+2
