Move ID,Move,Command,BlockFrame
1,In rage d/f+1+2, ,-22
2,In rage f+2+3, ,+2
3,1, ,+1
4,"1, 1", ,-9
5,"1, 1, 1", ,-14
6,"1, 1, 2", ,-9
7,"1, 2", ,-1
8,"1, 2, 3 or 4", ,-9
9,"1, 2, 1", ,-13
10,"1, 2, 1, 1", ,-14
11,2, ,-2
12,"2, B", ,-8
13,(after back spin) 1+2, , 
14,3, ,-14
15,4, ,-12
16,"4, 4", ,-16
17,"4, 4, 1", ,-14
18,"4, 4, 1~2", ,-9
19,"4, 4, 4", ,-6
20,"4, 4, d+4", ,-19
21,4~2, ,-12
22,"4~2, 1", ,-16
23,1+2, ,-5
24,"1+2, 4", ,-12
25,"1+2, 4, b,f+1+2", ,-10
26,"1+2, 4, 4", ,-20
27,1+4, ,-26
28,"1+4, D", ,-18
29,f+2, ,-2
30,"f+2, B", ,-8
31,"f+2, 1", ,-1
32,"f+2, 1, 3", ,+14
33,"f+2, 1, 2", ,-10
34,"f+2, 4", ,-8
35,f+4, ,-10
36,"f+4, 1", ,-14
37,f+1+2, ,-14
38,f+1+4, ,JG
39,d/f+1, ,-5
40,d/f+1 when hit crouching opponent, , 
41,d/f+2, ,-9
42,"d/f+2, 1", ,-18
43,"d/f+2, 3", ,+16
44,"d/f+2, 4", ,-6
45,d/f+3, ,-7
46,"d/f+3, 1+2", ,-13
47,d/f+4, ,-10
48,"d/f+4, 2", ,-13
49,"d/f+4, 2, 3", ,-5
50,"d/f+4, 2, 1", ,-14
51,"d/f+4, 2, b, f+2", ,-14
52,d/f+3+4, ,-7
53,d+1, ,-5
54,d+2, ,-4
55,"d+2, 3", ,-10
56,d+3, ,-12
57,d+4, ,-16
58,"d+4, 1", ,-14
59,"d+4, 1~2", ,-9
60,"d+4, 4", ,-6
61,"d+4, d+4", ,-19
62,d+1+2, ,-14
63,d/b+1, ,-12
64,d/b+2, ,-10
65,"d/b+2, 1", ,-11
66,d/b+3, ,-17
67,d/b+4, ,-12
68,"d/b+4, 1", ,-10
69,b+1, ,-9
70,b+2, ,-10
71,"b+2, 3", ,-12
72,"b+2, 3, 1+2", ,-13
73,b+3, ,-13
74,"b+3, 4", ,-8
75,b+4, ,+1
76,b+1+2, ,-13
77,u/b or u+1, ,-12
78,u/f+1, ,-8
79,u/b or u or u/f+2, ,-12
80,u/b+3, ,-22
81,u+3, ,-20
82,u/f+3, ,-16
83,u/b+4, ,-24
84,u+4, ,-20
85,u/f+4, ,-8
86,"u/f+4, 3", ,-13
87,"u/f+4, 3, 1", ,-6
88,u/f+3+4 , ,-13
89,"u/f, N, 4", ,-18
90,"f, F+1", ,-2
91,"f, F+1, 4", ,-4
92,"f, F+2", ,-14
93,"F, F+3", ,-14
94,"f, F+1+2", ,-7
95,"d, d/f+1", ,-6
96,"d, d/f+1, 3 or 4", ,+2
97,"d, d/f+1, 3 or 4 (no sequential move)", ,-8
98,"d, d/f+1, 2", ,-14
99,qcf+2, ,-8
100,"f, f, f+1 or WR+1", ,+4
101,"f, f, f+1 or WR+2", ,-14
102,"f, f, f+2, 1", ,-13
103,"f, f, f+3 or WR+3", ,0
104,FC+1, ,-5
105,FC+2, ,-4
106,FC+3, ,-17
107,FC+4, ,-15
108,WS+1, ,-13
109,WS+1~2, ,-9
110,WS+2, ,-17
111,"WS+2, 3 or 4", ,+2
112,"WS+2, 1", ,-4
113,"WS+2, 2", ,-16
114,"WS+2, 2, D", ,-18
115,"WS+2, 2*", ,+4
116,"WS+2, 2*, D", ,+4
117,"WS+2, 2, 1+2", ,-16
118,WS+3, ,-7
119,WS+4, ,-15
120,FC+d/f+2, ,-14
121,FC+d/f+4, ,-14
122,"FC+d/f+4, 3", ,-17
123,SS 2, ,-5
124,SS 3, ,-6
125,SS 3+4, ,-21
126,1+3+4, , 
127,2+3+4, , 
128,"b, b, u/b (back against wall)", ,+2
129,BT 1 or 2, ,-8
130,BT 3 or 4, ,-8
131,BT d+1 or d+2, ,-2
132,BT d+3 or d+4, ,-11
133,3+4 or BT 3+4, , 
134,u+3+4 or d+3+4, , 
135,CES 1, ,0
136,CES 2, ,-9
137,CES 3, ,-17
138,"CES 3, 1+2", ,-13
139,CES 4, ,-26
140,"CES 4, 1+2", ,-16
141,CES 1+2, ,-9
142,f+3, , 
143,"f+3, D or D/B", , 
144,f+3~1, ,-3
145,"f+3, 1", ,-13
146,"f+3, 2", ,-8
147,"f+3, 4", ,-13
148,"f+3, u/f+3+4", ,-16
