Move ID,Move,Command,BlockFrame
1,in rage 3+4, ,-22
2,in rage HAR 1+2, ,+5~+6s
3,1, ,+1
4,"1, 1", ,-2~-1
5,"1, 1, F", ,-1~0
6,"1, 1, 1", ,-5~-4
7,"1, 1, 2", ,+7
8,"1, 1, 3", ,0~+1
9,"1, 1, 4", ,-19~-17
10,"1, 2", ,-3
11,"1, 4", ,-12
12,2 or f+2, ,-3
13,"2, 2", ,-12~-11
14,3 or WS+3, ,-5
15,"3, 3", ,-9
16,"3, 3, 3", ,-10
17,"3, 3, 3, 3", ,-11
18,"3, 3, 3, 3, 3", ,-14
19,"3, 4 or WS+3, 4", ,-8
20,4, ,-9
21,"4, 4", ,-10
22,"4, 4, 4", ,-10~-9
23,"4, 4, 4, f", ,-1~0
24,"4, 4, 4, 4", ,-6~-5
25,"4, 4, 4, 4, 4", ,-9
26,f+3, ,0~+1s
27,f+1+2, ,+1s
28,f+3+4, ,-13
29,d/f+1, ,-1
30,"d/f+1, 1", ,-5
31,"d/f+1, 1, f", ,-1
32,d/f+2, ,-7~-6
33,"d/f+2, 2", ,-10
34,"d/f+2, 4", ,+1~+2
35,d/f+3, ,-6~-5
36,"d/f+3, 3", ,-21~-20
37,"d/f+3, 3, d (Cancel)", ,-20~-19
38,d/f+4, ,-9
39,d/f+3+4, ,-14~-13s
40,d+1, ,-7s
41,d+2, ,-11~-10
42,"d+2, F", ,+3~+4
43,d+3, ,-11
44,"d+3, 3", ,-13~-12
45,"d+3, 4", ,-4
46,d/b+3, ,-26
47,d/b+4, ,-26
48,d/b+3+4, ,KND
49,b+1, ,-9
50,"b+1, f", ,+3
51,"b+1, 1", ,-12~-11
52,"b+1, 2", ,-8
53,b+2, ,-16~-15
54,b+3, ,-9
55,b+4, ,-15~-14
56,"b+4, 1+2", ,+1s
57,"b+4, 3+4", ,-12s
58,b+3+4, ,-14~-13
59,b+3+4 (Second hit only), ,-17~-16
60,u/b+4, ,-14~-12
61,u/b or u or u/f+3, ,-13~-11
62,u or u/f+4, ,-15~-14
63,"u/f+4, 4", ,-13~-12
64,"u/f+4, 4, 4", ,-10~-9
65,"u/f+4, 4, 4, 4", ,-10~-11
66,"u/f+4, 4, 4, 4, F", ,-1~0
67,"u/f+4, 4, 4, 4, 4", ,-6~-5
68,"u/f+4, 4, 4, 4, 4, 4", ,-9
69,u/f+3+4, ,-10
70,"f, F+2", ,-5
71,"f, F+2, 4", ,-9~-8
72,"f, F+3", ,-6~-5s
73,"f, F+4", ,-13~-12
74,"f, f, f+3", ,+1s~+3s
75,WS+1, ,-6~-5
76,"WS+1, 1", ,-5~-4
77,"WS+1, 1, f", ,-1~0
78,WS+2, ,-13~-12
79,WS+3, ,-5
80,WS+4, ,-3~-2
81,FC+d/f+4, ,-16
82,Opponent Down d+3+4, ,-20
83,1+2+3, ,
84,f+4, ,
85,"f+4, d", ,
86,HAR 1, ,-3~-2
87,HAR 2, ,-6s
88,HAR 3, ,-25~-24
89,HAR 4, ,-13~-12
90,HAR u/f+3, ,-6~-5s
