Move ID,Move,Command,BlockFrame
1,in rage d+1+2, ,-22
2,"in rage f, F+1+2", ,-12 (wl-6)
3,1, ,+1
4,"1, 1", ,-3~-2
5,"1, 1, 2", ,-17
6,"1, 2", ,-3
7,"1, 2, 2", ,-12
8,2, ,-3
9,"2, 1", ,-5
10,3, ,-8~-7
11,"3, 1", ,-13~-12
12,"3, 2", ,-1~0s
13,4, ,-9~-8
14,1+2, ,-14~-13
15,1+4, ,-29~+10
16,2+3, ,-44~-12
17,f+2, ,-9~-8
18,f+3, ,-8
19,"f+3, f", ,+5
20,f+4, ,-8~-7
21,d/f+1, ,-3~-2
22,"d/f+1, 2", ,-13s
23,d/f+2, ,-24
24,d/f+3, ,-9
25,d/f+4, ,-5
26,d+1, ,-9~-8
27,"d+1, 2", ,-13~-12
28,d+4, ,-13~-12
29,d+3+4, ,-13
30,d/b+2, ,-14s
31,"d/b+2, 3", ,-14~-13s
32,"d/b+2, 3, 4", ,-14~-13s
33,d/b+3, ,-14
34,d/b+4, ,-12
35,d/b+1+2, ,-4~-3
36,b+1, ,-16
37,"b+1, 2", ,-14~-13
38,b+2, ,-9~-8
39,b+3, ,-8
40,b+4, ,-13
41,b+1+2, ,-13
42,b+3+4 or RSS B, ,
43,u/b or u or u/f+2, ,-14
44,u/f+3, ,-12~-11
45,"u/f+3, 4", ,-7~-6
46,"u/f+3, 4, 1", ,-11~-6
47,"u/f+3, 4, 3", ,-11~-10
48,u/b+4, ,-15~-14
49,u+4, ,-13~-12
50,u/f+4, ,-13~-12
51,"f, F+2", ,-13
52,"f, F+4", ,-7~-6
53,"b, f+2", ,-12~-11
54,"b, f+2, 1", ,-14~-13
55,"b, f+2, 1, 4", ,-6~-5
56,"b, f+2, 1, 1+2", ,-14~-13
57,"f, f, f+2", ,-4~-3
58,WS+1, ,-4~-3
59,"WS+1, 2", ,-13~-12
60,WS+2, ,-12~-11
61,WS+3, ,-11~-10
62,WS+4, ,-3~-2
63,"WS+4, 4", ,-6~-5
64,FC+d/b or d+4, ,-15~-14
65,FC+d/f+4, ,-15
66,Opponent Down d+2, ,-13~-12
67,2+3+4, ,
68,"f+3+4 or f, f+3+4 or b+3+4, f", ,
69,RSS 1, ,-9
70,RSS 2, ,-10
71,RSS 3, ,-7~-3
72,RSS 4, ,-31
73,"RSS 4, 2", ,-16~-15
74,RSS 1+2, ,+4
75,RSS f+1+2, ,CS
76,RSS 1+3, ,
