Move ID,Move,Command,BlockFrame
1,in rage d/f+1+2, ,-22
2,in rage d/b+1+2, ,+8~+9s
3,1, ,+1
4,"1, 2", ,-1
5,"1, 2, 2+4", ,
6,"1, 2, d+2+4", ,
7,"1, 2, 1", ,-4~-3
8,"1, 2, 1, 2+4", ,
9,"1, 2, 1, d+2+4", ,
10,2, ,+1
11,"2, 1", ,-2~-1
12,1+2, ,-11~-9
13,"1+2, 1", ,-13
14,"1+2, 3", ,-3~-2
15,1+4, ,KND
16,BT 1+4, ,KND
17,f+2, ,-11~-10
18,"f+2, 1", ,-9~-8
19,"f+2, d+1", ,-13s
20,"f+2, d+1, 2", ,-15
21,f+3, ,-8~-7
22,f+4, ,-9~-7
23,f+1+2, ,-1~0
24,f+1+2*, ,KND
25,f+3+4, ,+7~+9
26,"f, F+3+4", ,+7~+9
27,f+1+4, ,+3~+5
28,f+2+3, ,-12~-5
29,d/f+1, ,-1~+1
30,"d/f+1, 2", ,-10~-9
31,d/f+2, ,-6
32,"d/f+2, 1", ,-4~-3
33,d/f+3, ,-9
34,"d/f+3, 4", ,0
35,d/f+4, ,-14~-13
36,"d/f+4, 3", ,-5
37,"d/f+4, 3, 4", ,-15~-14
38,"d/f+4, 3, 4, B", ,-8~-7
39,"d/f+4, 3, d/b or d+4", ,-13~-11
40,d/f+3+4 (Close), ,Throw(KND)
41,d/f+3+4, ,-18~-11
42,d+1 or FC+d+1, ,-5
43,"d+1, 2", ,-11~-9
44,d+3, ,-12
45,d+1+2, ,-24
46,d+3+4 or FC+d/f+4, ,-25
47,WR+4, ,-25
48,"d+3+4, 4", ,-25
49,"d+3+4, 4, 4", ,-29
50,"d+3+4, 4, 4, 4", ,-26
51,ALI 2, ,-15
52,d+2+3, ,-8~-3
53,d/b+2, ,-5~-4s
54,d/b+3, ,-16
55,d/b+4, ,-20~-18a
56,b+1, ,-8
57,"b+1, 2", ,-13
58,"b+1, 4", ,-9~-7
59,b+2, ,-5
60,"b+2, 1+2", ,+2~+3s
61,"b+2, 4", ,-9
62,b+3, ,-10~-8
63,b+4 (Close), ,+2
64,b+4, ,+2
65,u/b+1, ,-3~0
66,u/b+2, ,-18~-12s
67,u+2, ,-18~-12s
68,u/f+2, ,-18s
69,u/f+3 (First part), ,-10~-9
70,u/f+3 (Second part), ,-20
71,u/b+4, ,-20~-19
72,u+4, ,-13~-12
73,u/f+4, ,-13~-12
74,u/f+1+2, ,+2~+3s
75,u/f+1+2*, ,KND
76,u/f+3+4, ,-16~-15
77,"f, f, N, 2", ,-15
78,"f, f, N, 1+2", ,0
79,"f, F+1", ,-5~-4
80,"f, F+2", ,+2~+3s
81,"f, F+2, 1", ,-1
82,"f, F+4", ,-15
83,"f, F+1+2", ,-5~+14
84,"f, F+1+2 (Far)", ,-25~-22
85,"f, F+2+3 (Close)", ,-17~-13s
86,"f, F+2+3", ,-12~+5s
87,"f, f, f+3", ,0~+5
88,"f, f, f+3+4", ,+17~+23g
89,WS+2, ,-9
90,"WS+2, 2", ,-12~-11
91,WS+4, ,-6~-5
92,WS+1+2, ,-10~-9
93,FC+d/f+1, ,-12~-10
94,FC+d/f+2, ,-14~-13
95,SS+2, ,-5~-3
96,SS+3+4, ,-1~+3
97,BT 3, ,-13
98,BT 1+2, ,KND
99,BT d+4, ,-17~-15
100,3+4 (to JGS), ,
101,b+3+4, ,
102,"3+4, 1 (one spin)", ,-5~-4
103,"3+4, 1 (two spins)", ,-1~0
104,"3+4, 1 (three spins)", ,-1~0
105,"3+4, 1 (four spins)", ,-1~0
106,"3+4, 1 (five spins)", ,-1~0
107,"3+4, 2 (one spin)", ,-9~-8
108,"3+4, 2 (two spins)", ,-2~-1
109,"3+4, 2 (three spins)", ,0~+1s
110,"3+4, 2 (four spins)", ,0~+1s
111,"3+4, 2 (five spins)", ,0~+1s
112,"3+4, 3 (one spin)", ,-5~-4
113,"3+4, 3 (two spins)", ,-1~0
114,"3+4, 3 (three spins)", ,-1~0
115,"3+4, 3 (four spins)", ,-1~0
116,"3+4, 3 (five spins)", ,-1~0
117,"3+4, 3, 2+3 (Close)", ,-17~-13s
118,"3+4, 3, 2+3", ,-12~+5s
119,"3+4, 4 (one spin)", ,+8~+9
120,"3+4, 4 (two spins)", ,KND
121,"3+4, 4 (three spins)", ,KND
122,"3+4, 4 (four spins)", ,KND
123,"3+4, 4 (five spins)", ,KND
124,"3+4, d/f+4 (one spin)", ,-17~-15
125,"3+4, d/f+4 (two spins)", ,+8~+10
126,"3+4, d/f+4 (three spins)", ,+8~+10
127,"3+4, d/f+4 (four spins)", ,+8~+10
128,"3+4, d/f+4 (five spins)", ,+8~+10
129,"3+4, 1+4 or 3+4, 2+3", ,
130,"f, n, d, D/F", ,
131,"f, n, d, D/F+1", ,-12~-10
132,"f, n, d, D/F+4", ,-9~-8
133,"f, n, d, D/F+1+2", ,-5~-2s
134,"f, n, d, D/F+2+3", ,
135,"f, n, d, D/F+1+4", ,
136,"f, n, d, d/f, n", ,
