Move ID,Move,Command,BlockFrame
1,in rage b+1+2, ,-22
2,"in rage f, F+1+2", ,-12~-10
3,1, ,0
4,"1, 2", ,-5
5,2, ,-1
6,"2, 1", ,-3
7,"2, 1, 2", ,-14~-13
8,"2, 1, 3", ,-13
9,3, ,-5
10,4, ,-6
11,1+2, ,-11~-10
12,"1+2, 3+4", ,-9~-8
13,"1+2, F", ,-18~-17
14,"1+2, 1+2", ,-18~-17
15,"1+2, 1+2, 1+2", ,-22~-19s
16,f+1, ,+1
17,"f+1, 1", ,-15~-14
18,"f+1, 1, 1", ,-16~-15
19,f+2, ,-13
20,"f+2, 1", ,-5
21,f+1+2, ,-12~-11
22,f+3+4, ,-23~-21
23,"f+3+4, 1+2", ,-16
24,d/f+1, ,-9~-8
25,"d/f+1, 2", ,-13~-12
26,"d/f+1, 2, 1", ,-4~-3
27,"d/f+1, 2, 1, 2", ,-11~-10
28,d/f+2, ,-9~-8
29,"d/f+2, 1", ,-16~-15
30,d/f+3, ,-9
31,"d/f+3, 2", ,-5~-4
32,d/f+4, ,-4
33,d/f+1+2, ,-7~-4
34,d+1+2, ,-15~-14
35,d/b+1, ,-7~-6
36,"d/b+1, 2", ,-13~-12
37,d/b+2, ,-13
38,"d/b+2, 3+4", ,-17
39,d/b+3, ,-8
40,d/b+4, ,-23~-22
41,d/b+1+2, ,-9~-8
42,d/b+1+2 (Second hit miss), ,-27~-26
43,"d/b+1+2, 1+2", ,-10~-9
44,"d/b+1+2, 1+2, 2", ,-13~-12
45,b+1, ,-13~-12
46,"b+1, 3+4", ,-15~-14
47,b+2, ,-9
48,"b+2, 1", ,-3
49,"b+2, 1, 1+2", ,-11
50,"b+2, 1, 3+4", ,-5
51,B+3~4, ,-19~-17
52,B+3~4 (Second hit miss), ,-39~-38
53,b+3+4 or WS+3+4, ,-28~-27
54,u/b+1+2, ,CS
55,"u/b+1+2, 3+4", ,CS
56,"u/b+1+2, hcb, u/b, u, u/f", ,-39~-14
57,"u/b+1+2, hcb, u/b, u, u/f During roll B (Cancel)", ,-20~+5
58,u+1+2, ,-17~-16
59,"u+1+2, 3+4 (Cancel)", ,
60,u/b or u+1, ,-6~-4
61,u/f+1, ,-6~-4
62,u or u/f+3, ,-13~-12
63,"u or u/f+3, 4", ,-11~-9
64,"u or u/f+3, 4, 1+2", ,-16~-14
65,"u or u/f+3, 4, 1+2, 3+4", ,-14~-13
66,u/f+4, ,-6~-5
67,"u/f+4, n+3+4", ,-1~0
68,"u/f+4, 3", ,+7~+8
69,u/f+1+2, ,-4~+1
70,"u/f+1+2, 3+4", ,-4~+1
71,"f, F+2", ,-19~-17
72,"b, f+2", ,-8~-6
73,"b, F+2+3", ,-12
74,"b, F+2+3* (Hold one period)", ,-12
75,"b, F+2+3* (Hold two periods)", ,-12
76,"b, F+2+3* (Hold three periods)", ,-12
77,"b, F+2+3* (Very long hold)", ,KND
78,"b, d/b, d, d/f+2 (d/b, d/f+2)", ,-8
79,"b, d/b, d, d/f+2, 1", ,-14
80,"b, d/b, d, D/F+2, 2", ,-18~-17
81,"f, f, f+3 or WR+3", ,+9~+10g
82,"f, f, f+1+2 or WR+1+2", ,+2~+7
83,"f, f, f+1+2, 3+4 or WR+1+2, 3+4", ,+2~+7
84,WS+1, ,-7
85,"WS+1, 1", ,-9~-7
86,"WS+1, 2", ,+5~+6
87,WS+2, ,-12~-11
88,WS+3, ,-9~-7
89,WS+4, ,-6~-5
90,WS+1+2, ,-17~-15
91,"WS+1+2, 1+2", ,-22~-19s
92,WS+f+1, ,-6~-5
93,"WS+f+1, 2", ,-8~-7
94,"WS+f+1, 2, f+1", ,-10~-8
95,"WS+f+1, 2, d/f+1", ,-1~0
96,"WS+f+1, 2, d+1", ,-10~-8
97,FC+d/b or d+1, ,-8~-6
98,"FC+d/b or d+1, 1", ,+1~+3
99,"FC+d/b or d+1, 1, 1", ,-12~-11
100,"FC+d/b or d+1, 1, 1, 2", ,-8~-7
101,"FC+d/b or d+1, 1, 1, 2, 1", ,-10~-8
102,"FC+d/b or d+1, 1, 1, 2, d/f+1", ,-1~0
103,"FC+d/b or d+1, 1, 1, 2, d+1", ,-10~-8
104,FC+d/f+1, ,-22~-21
105,"FC+d/f+1, 2", ,-22~-21
106,"FC+d/f+1, 2, 1", ,-11~-10
107,"FC+d/f+1, 2, 1, 2", ,+21
108,FC+d/f+2, ,-13~-12
109,"FC+d/f+2, n+1", ,-10~-8
110,"FC+d/f+2, d/f+1", ,-4~-3
111,"FC+d/f+2, d+1", ,-10~-8
112,"FC+d/f+2, d/f+1, 2", ,-11~-10
113,SS+1+2, ,-9s
114,Face down Grounded 1+2, ,-17~-14
115,Face up Grounded 1+2, ,-18~-16
116,Opponent Down d+1+4, ,+16~+18s
117,"Opponent Down d+1+4, 3+4 (Cancel)", ,
118,1+3+4, ,
119,3+4 or Face down Grounded 3+4 (to HBS), ,
120,HBS 1, ,-11~-7
121,"HBS 1, 2", ,-13~-10
122,HBS 2, ,-15~-12
123,HBS 1+2, ,-15~-12
124,HBS 3+4, ,-12~-7
125,HBS f+1+2, ,
126,HBS d/f+1, ,-5~-3
127,"HBS d/f+1, 1", ,-9~-7
128,HBS d/f+2, ,-17~-16
129,HBS d/b or d or d/f+1+2, ,-9~-5
130,HBS b+1+2, ,-25~-22 (a)
131,"HBS b+1+2, 1+2", ,"-29~-27 (a,s)"
132,"HBS b+1+2, 3+4", ,-24~-21
133,HBS b or f+3+4, ,+7~+12
134,HBS 3 or 4, ,
135,HBS d+3+4, ,
136,HBS d/b, ,
137,HBS u/b or u or u/f, ,
138,HBS F, ,
139,HBS B, ,
140,"HBS f, f", ,
141,"HBS b, b", ,
142,"HBS b, b, 3+4", ,
143,d/b or d or d/f+3+4, ,
144,u/f+3+4 (After stance ends), ,-35~-30s
145,u/f+3+4, ,+10~+15s
146,Grounded face up d+1+2 (After stance ends), ,-20~-17
147,Grounded face up d+1+2, ,+15~+19
148,SIT 1, ,-15~-14
149,SIT 2, ,-15~-14
150,SIT 3+4, ,-21
151,SIT b, ,
152,"SIT b, 3+4", ,
153,SIT f, ,
154,FC+d/f+1+2 or SLD f (to ROL), ,
155,ROL 1, ,+15~+16g
156,ROL 2, ,-17~-15
157,ROL 3, ,-18~-9
158,ROL 4, ,+7~+11
159,ROL 1+2, ,-15~+1
160,ROL 3+4 (to HBS), ,
