Move ID,Move,Command,BlockFrame
1,in rage 1+2, ,-22
2,in rage SEN 1+2, ,+7~+8
3,"in rage SEN 1+2, b+2+3", ,KND
4,1, ,+1
5,"1, 1", ,-8~-7
6,"1, 1, 1", ,-12~-11
7,"1, 2", ,-1
8,"1, 4", ,-12~-11
9,2, ,0
10,"2, 1", ,-7~-6
11,"2, 1, 3", ,-12~-11
12,"2, 1, 4", ,-7~-6
13,3, ,-12
14,"3, D", ,-12
15,4, ,-7~-6
16,f+1, ,-5
17,"f+1, 2", ,-5
18,"f+1, 2, B", ,-8
19,"f+1, 2, 3", ,-9
20,"f+1, 2, 3, B", ,-12
21,f+2, ,-6
22,"f+2, 1", ,-5
23,"f+2, 1, B", ,-6
24,"f+2, 4", ,-12~-11
25,f+4, ,-9
26,"f+4, 1", ,-9~-8
27,"f+4, 1, 2", ,-10
28,"f+4, 1, 2, 1", ,-14~-13
29,f+1+2, ,-13~-12
30,f+1+4, ,-18
31,d/f+1, ,-1
32,d/f+2, ,-8
33,"d/f+2, 1", ,-7~-6
34,d/f+3, ,-7
35,"d/f+3, D", ,-4(-8)
36,"d/f+3, 3", ,-20~-19
37,d/f+4, ,-8~-7
38,d/f+1+2, ,-12
39,d+2, ,0~+1s
40,d+3, ,-14
41,"d+3, 1", ,-7
42,d+1+2, ,-20~-19
43,d/b+1, ,-12
44,"d/b+1, 3", ,-12
45,"d/b+1, 3, D", ,-12
46,d/b+2, ,-8
47,"d/b+2, F", ,-5
48,"d/b+2, 1", ,-8~-7
49,"d/b+2, 3", ,-13
50,"d/b+2, 3* (Very long hold)", ,+8
51,d/b+4, ,-26
52,d/b+1+2, ,-14~-13
53,b+1, ,-9~-7
54,b+2, ,-7
55,"b+2, 1", ,-10
56,"b+2, 3", ,-8~-7
57,b+3, ,-12
58,"b+3, F", ,-5
59,"b+3, 4", ,-8~-7
60,b+4, ,-8
61,b+4(CH in front), ,
62,b+1+2, ,-11~-10
63,b+2+3, ,KND
64,u/b or u or u/f+3, ,-26~-25 (13~6a)
65,u/b+4, ,-9~-7
66,u or u/f+4, ,-9~-7
67,"f, F+2", ,-13~-12
68,"f, F+2 When hit f", ,
69,"f, F+3", ,-8~-7
70,"f, F+4", ,-31
71,"f, F+4, 3", ,-16
72,"f, F+1+2", ,-11~-10
73,"f, F+3+4", ,-16~-15
74,"f, b+2", ,-12
75,"f, b+2, 1", ,-18~-17
76,"f, f, f+3", ,+8~+14g
77,WS+1, ,-12~-11
78,WS+1 When hit f, ,
79,WS+2, ,-9~-8
80,"WS+2, F", ,-5~-4
81,"WS+2, D", ,-12~-11
82,"WS+2, 1", ,-12~-11s
83,WS+3, ,+7
84,WS+4, ,-6~-5
85,FC+d/f+1+2, ,-12~-11
86,SS+2, ,-7~-6
87,Opponent Down d+3+4, ,-14~-13
88,"Opponent Down d+3+4*, F", ,-14~-13
89,1+2+3+4, ,
90,"1+2+3+4, 2", ,-18~-17
91,SEN only from certain moves, ,
92,SEN 1, ,-10~-9
93,SEN 2, ,-13~-12
94,SEN 3, ,-14~-12
95,SEN d/f+1, ,-4~-3s
96,f+3 or Form certain moves, ,
97,DEN F, ,
98,DEN 1, ,-3~-2
99,"DEN 1, F", ,-5~-4
100,"DEN 1, 2", ,-6~-5
101,DEN 2, ,-8~-6
102,DEN 3, ,+4~+7
103,"DEN 4, 3", ,-16
104,DEN 1+2, ,-10~-9
105,DEN 2+3, ,
106,DEN 2+3 (Opponent in air), ,
107,u/b or u or u/f+3+4, ,
108,u/b or u or u/f+3+4*, ,
109,"u/f+3+4, 1", ,-13~-12
110,"u/f+3+4, 4", ,-8~-7
