Move ID,Move,Command,BlockFrame
1,in rage 1+2, ,-26
2,"in rage d/b+4, 3+4", ,-9
3,1, ,+1
4,"1, 1", ,-7
5,"1, 1, 1", ,-7
6,"1, 1, 1, 1", ,-7
7,"1, 1, 1, 1, 1", ,-7
8,"1, 2", ,-1
9,"1, 2, b, f", ,-2
10,"1, 2, 2", ,-8
11,"1, 2, 2, 2", ,-9
12,"1, 2, 2, 2, b, f", ,-4
13,"1, 2, 2, 1+2", ,-13~-10
14,"1, 2, 3", ,-6~-5
15,"1, 2, u/f+3", ,-23
16,"1, 2, u/f+3, 4", ,-9~-8
17,2, ,0
18,f+2, ,0
19,"2, 2", ,-8
20,"2, 2, 2", ,-9
21,"2, 2, 2, b, f", ,-4
22,"2, 2, 1+2", ,-13~-10
23,"2, b+2", ,-4
24,"2, b+2, 1", ,-3~-2
25,"2, b+2, 1, 2", ,-3s
26,"2, b+2, 1, 2, d", ,-3s
27,3, ,-9
28,f+3, ,-13
29,"3, 3", ,-14
30,"3, 4", ,-10
31,4, ,-9
32,f+4, ,-9
33,"4, 3", ,-14~-13
34,"4, 3, b, f", ,+7
35,"4, 3, 4", ,-6
36,"4, 3, 4, b, f", ,+7
37,"4, u+3", ,-1~+1
38,3+4, ,-12
39,"3+4, 4", ,-13~-11
40,f+2~1, ,+5~+6
41,f+1+2, ,+3s
42,"f+1+2, D", ,+3s
43,f+3+4, ,-2~-1
44,f+1+4, ,-14~-13
45,d/f+1, ,-1
46,d/f+2, ,-7~-6
47,d/f+3, ,-12
48,"d/f+3, 3", ,-14
49,"d/f+3, 3, 3", ,-8
50,"d/f+3, 3, 4", ,-17~-16
51,d/f+4, ,-8
52,"d/f+4, 3", ,-18~-16
53,d/f+3+4, ,-15
54,d+1, ,-13~-12
55,"d+1, 3", ,-9~-8
56,d+2 or FC+2, ,-4
57,"d+2, 3", ,-15~-12
58,d+3, ,-14
59,D+3, ,-14
60,"d+3, 3", ,-7
61,d+4, ,-11
62,"d+4, 3", ,-12
63,d+3+4, ,-13
64,"d+3+4, 3", ,-18~-16
65,d/b+2, ,-4
66,"d/b+2, 4", ,-17~-10
67,"d/b+2, 4, D", ,-6~+1
68,d/b+3, ,-12~-10
69,d/b+4, ,-37
70,"d/b+4, 4", ,-9~-7
71,d/b+1+2, ,KND
72,"d/b+1+2, u, u (Cancel)", ,
73,d/b+3+4, ,-9~-2
74,d/b+3+4 (Second hit miss), ,-41~-37
75,d/b+3+4 (First hit whiffs or blocked), ,-9~-2
76,D/B+3+4, ,-27~-23
77,b+1, ,-9
78,"b+1, b, f", ,-7
79,"b+1, 2", ,-14
80,"b+1, 2, b, f", ,-10
81,"b+1, 2, 2", ,-14~-13
82,b+2, ,-8
83,"b+2, 1", ,-1~0
84,"b+2, 2", ,-9
85,"b+2, 2, b, f", ,-4
86,"b+2, 3", ,-12
87,"b+2, 3, 4", ,-7~-5
88,"b+2, 3, 4, b, f", ,-8~+6
89,"b+2, 3, d+4", ,-37
90,b+3, ,-12~-9
91,"b+3, B", ,-11~-8
92,b+4, ,-7
93,"b+4, 3", ,-6~-4
94,"b+4, B", ,-4
95,b+3+4, ,-18~-17
96,"u/f+1 or d/b+1+2, 1 or 1+2+3+4, 1", ,-5
97,"u/f+1, 3", ,-13
98,u/b or u or u/f+3, ,-17
99,"u/b or u or u/f+3, 4", ,-18~-16
100,u/f+4, ,-13~-11
101,u/f+3+4, ,-24
102,u/b or u or U/F+3, ,
103,"u/b or u or U/F+3, 4", ,-9~-8
104,U/B+4 or FC+u/b+4, ,-17~-7
105,U+4 or FC+u+4, ,-17~-7
106,U/F+4 or FC+u/f+4, ,-17~-7
107,"u/b or u or U/F+4, 3", ,-18~-15
108,"f, F+2", ,-7~-5
109,"f, F+2, 1", ,-4~-3
110,"f, F+2, 1, 3", ,-13~-11
111,"f, F+2, 3", ,-17
112,"f, F+3 (Close)", ,-17
113,"f, F+3", ,-17~-14
114,"f, F+4", ,-13~-12
115,"f, F+4, 3", ,-14
116,qcf+1, ,-3
117,"QCF+1, 2", ,-3~-2
118,"QCF+1, 2, 1", ,-3~-2
119,"QCF+1, 2, 1, 2", ,-16~-15
120,"f, f, f+3", ,+7~+15g
121,"f, f, f+3, 1+2(When hit )", ,
122,WS+1, ,-7~-6
123,"WS+1, b, f", ,-5~-4
124,"WS+1, 2", ,-9
125,"WS+1, 2, b, f", ,0
126,WS+2, ,-18~-17
127,WS+3, ,+1
128,"WS+3, b, f", ,+13g
129,WS+4, ,-4~-3
130,"WS+4, b, f", ,+6
131,"WS+4, 3", ,-18~-16
132,FC+3, ,-14
133,"FC+3, 4", ,-18~-16
134,FC+d/b or d+4, ,-15
135,FC+d/f+4, ,-15
136,"FC+4, 3", ,-18~-16
137,FC+U/B+4, ,-31~-28 (20a)
138,FC+U+4, ,-31~-28 (20a)
139,FC+U/F+4, ,-21~-18 (10a)
140,"FC+U/B+4, d", ,-31~-28 (20a)
141,"FC+U+4, d", ,-31~-28 (20a)
142,"FC+U/F+4, d", ,-21~-18 (10a)
143,FC+u/b or u or U/F+3+4, ,-4~-2
144,FC+u/b or u or U/F+3+4 (First hit only), ,-13~-10
145,"FC+d/f, d, D/F+3", ,-23~-19
146,SS+2, ,-5
147,"SS+2, 1", ,-5~-4
148,"SS+2, 1, 2", ,-6~-5
149,"SS+2, 1, 2, 1", ,-20~-19
150,SS+3+4, ,-12~-9
151,SS+3+4 (Second hit miss), ,-21
152,1+2+3+4, ,
153,"1+2+3+4, 1+2*", ,
154,"1+2+3+4, 1+2*, 2", ,-4~-3
155,Grounded face up D+1+2+3+4, ,
156,d+1+2 (to DSS), ,
157,DSS 1, ,-11~-10
158,"DSS 1, f+1", ,-14~-12
159,"DSS 1, 4", ,+7g
160,DSS 2, ,-4~-3
161,DSS 3, ,-3~-1
162,DSS 4, ,-14~-13
163,DSS 1+2, ,-10
164,DSS 1+3, ,
165,DSS 2+4, ,
166,DSS f+1, ,-14~-12
167,DSS f+2, ,0
