Move ID,Move,Command,BlockFrame
1,in rage d+1+2 in rage HMS d+1+2, ,-22
2,in rage d/f+3+4, ,-1~0
3,"in rage d/f+3+4, f, N", ,+2~+3
4,1, ,+1
5,"1, 2", ,-1
6,"1, 2, 2", ,-13~-12
7,"1, 2, 2, 3", ,-3~-1
8,"1, 2, 2, 3, 4", ,-9~-7
9,"1, 2, 4", ,-12
10,"1, 2, 4, 3", ,-14
11,"1, 2, 4 (Hold long as possible)", ,-7
12,"1, 2, f, n", ,-2
13,"1, 3", ,-11
14,"1, 3:3", ,-10
15,"1, 3:3:3", ,-18
16,2, ,+1
17,"2, 1", ,-5~-3
18,"2, 1, 3+4", ,-5
19,"2, 1, 1", ,-12~-11
20,"2, 1, 3", ,-4~-2
21,"2, 1, 4", ,-16~-14
22,"2, 2", ,-13~-12
23,"2, 2, 3", ,-3~-1
24,"2, 2, 3, 4", ,-9~-7
25,3, ,-8
26,"3, 4", ,-8
27,"3, 3", ,-10
28,3~3, ,-10
29,3~3 hit or guard 4, ,Throw(KND)
30,4, ,-9
31,"4, 3", ,-14
32,"4, 3, 3", ,-13~-11
33,"4, 3, 4", ,-9~-7
34,"4, 4", ,-5
35,"4, 4, 4", ,-5
36,"4, u or u/f+3", ,-1~+1
37,1+2, ,-4~-3
38,f+2, ,-9~-8
39,"f+2, 1", ,-10~-9
40,f+3, ,-18
41,"f+3, 3", ,-18
42,"f+3, 3, 3", ,-18~-17
43,"f+3, 3, 3, 3", ,-18~-17
44,"f+3, 3, 3, 3, 3", ,-18~-17
45,"f+3, 3, 3, 3, 3, 4", ,-4~-3
46,"f+3, 3, 3, 3, 3, 4, 3", ,-7~-6
47,f+4, ,-7
48,"f+4, 3", ,-8~-6
49,"f+4, 3, 4", ,-4~-2
50,f+1+2, ,-13~-12
51,f+3+4, ,+4~+6s
52,f+3+4 (Second hit miss), ,-14~-12s
53,d/f+1, ,-1~0
54,d/f+2, ,-7~-6
55,d/f+3, ,-8~-7
56,"d/f+3, 2", ,-6~-5
57,"d/f+3, 2, 3", ,-16~-15
58,d/f+4, ,-9~-8
59,"d/f+4, 3", ,-9~-8
60,d/f+1+2, ,-9~-8
61,"d/f+1+2, 3", ,-3~-1
62,"d/f+1+2, 3, 4", ,-9~-7
63,d+2, ,-6~-5
64,d+3, ,-17
65,"d+3, 4", ,-15
66,d+4, ,-13
67,"d+4, n+4", ,-9
68,"d+4, n+4~3j", ,KND
69,"D+4, 4", ,-15
70,"D+4, 4, 4", ,-15
71,"D+4, 4, 4, 4", ,-20~-19
72,"D+4, 4, 4, 4, 3", ,-11~-10
73,"D+4, 4, 4, 4, 3, d/b (Cancel)", ,-8
74,d+3+4, ,KND
75,"d+3+4, 3+4 (Cancel)", ,
76,d/b+3, ,-12~-11
77,d/b+1+2, ,CS
78,d/b+3+4, ,-13~-11
79,b+1, ,0
80,"b+1, 1", ,-5
81,"b+1, 1, 2", ,-11
82,"b+1, 1, 3+4", ,-1
83,"b+1, 1~f, n (Cancel)", ,-5
84,b+1:1, ,-5
85,"b+1:1, 2", ,-6
86,"b+1:1, 3+4", ,-1
87,"b+1:1~f, n (Cancel)", ,-5
88,b+2, ,-5
89,"b+2, f, n", ,-1
90,"b+2, 4", ,-8~-7
91,"b+2, 4, 3+4", ,-10~-9
92,"b+2, 4, 3", ,-3
93,b+3, ,-14
94,"b+3, 3", ,-12
95,"b+3, 3, f", ,-7
96,b+4, ,-3~-1
97,"b+4, 3", ,-2~0
98,b+1+2, ,
99,b+1+2(when done) 4(When parry successful), ,
100,b+3+4, ,-15
101,"u/b, b", ,
102,u/b+3, ,-13~-9
103,u+3, ,
104,"u+3, D", ,
105,"u+3, 3+4", ,
106,u/f+3, ,-9~-8
107,"u/f+3, 1", ,-12~-11
108,"u/f+3, 4", ,-3~-1
109,u/f+4, ,-13~-12
110,u/f+3+4, ,+5~+7
111,"u/f+3+4, 3+4", ,+8~+10
112,"f, F+3", ,-11~-10
113,"f, F+4", ,-5~-4
114,"d, D/B+4", ,-17~-15
115,"b, B+4", ,+2~+5
116,"b, B+4, 3", ,0~+3
117,"f, f, f+3 or WR+3", ,-9~-8
118,"f, f, f+3, 4", ,+3~+5
119,"f, f, f+3, 4, 3+4", ,+4~+6
120,WS+2, ,-8~-6
121,"WS+2, 3", ,-13~-12
122,"WS+2, 4", ,-6~-5
123,WS+3, ,-21~-19
124,"WS+3, 3", ,-15~-13
125,"WS+3, 3, D+3", ,-19
126,"WS+3, 3, D+3, n+3", ,-19
127,"WS+3, 3, D+3, n+3, 3", ,-16
128,"WS+3, 3, D/F+3", ,-19
129,"WS+3, 3, D/F+3, n+3", ,-16
130,"WS+3, 3, D/F+3, n+3, 3", ,-19
131,"In+f-Kick D+3, ,,", ,-19
132,"In+f-Kick U+3, ,,", ,-19
133,WS+4, ,-6~-5
134,"WS+4, 3", ,-9~-8
135,FC+d/f+4, ,-14~-13
136,"FC+d/f+4, 3", ,-12~-11
137,FC+u/b+4, ,-17~-7
138,FC+u+4, ,-17~-7
139,FC+u/f+4, ,-17~-7
140,"FC+u/b or u or u/f+4, 3", ,-17~-7
141,FC+U/B+4, ,-31~-28
142,FC+u or U/F+4, ,-31~-28
143,"FC+u/b or u or U/F+4, d", ,-31~-28
144,FC+u/b or u or U/F+3+4, ,-4~-2
145,FC+u/b or u or U/F+3+4 (First hit only), ,-24~-21
146,"FC+d/f, d, D/F+3", ,-23~-19
147,SSR+3+4, ,-11~-8
148,"SSR+3+4, 4", ,-19~-16
149,SSL+3+4, ,-2~+1
150,"SSL+3+4, 3", ,-5~-2
151,3+4 or From certain moves (to HMS), ,
152,HMS d or u, ,
153,HMS f, ,
154,HMS d/b or D (Cancel), ,
155,HMS b (Cancel), ,
156,HMS 1, ,0
157,"HMS 1, 1, ...", ,-1
158,"HMS 1, 1, ..., f, n (Cancel)", ,-3
159,"HMS 1, 4", ,-8
160,"HMS 1, 4, 3", ,-8
161,HMS 2, ,-13~-12
162,HMS 3, ,-4~-2
163,HMS 3 Hit when close , ,
164,HMS 4, ,-26
165,HMS 1+2, ,-7~-6
