Move ID,Move,Command,BlockFrame
1,In rage d/f+3+4, ,-22
2,In rage SNK 2+3, ,+9g
3,In rage DRG 2+3, ,+11g
4,"In rage DRG 2+3, F", ,+10g
5,In rage PAN 2+3, ,-14
6,In rage TGR 2+3, ,+15g
7,In rage CRA 2+3, ,0
8,1, ,1
9,"1, 1", ,-6
10,"1, 1, F", ,-5
11,"1, 2", ,-1
12,2, ,0
13,"2, 1", ,-8
14,"2, 1, F", ,-11
15,"2, 1, 3+4", ,-11
16,3, ,-9
17,"3, B", ,-1
18,"3, 3", ,-13
19,3~4, ,3
20,"3~4, 4", ,3
21,"3~4, 4, 4", ,3
22,TOR d, ,5
23,TOR D, ,9
24,4, ,-9
25,4~3, ,-16
26,"4~3, D", ,-17
27,4~4 or FC+4~4, ,-15
28,"4~4 or FC+4~4, D", ,-16
29,"4~4, 3", ,-2
30,"4~4, 3, D", ,-3
31,"4~4, 3, 3", ,-7
32,"4~4, 3, 3, D", ,-13
33,1+2, ,-7
34,"1+2, 1", ,-3
35,"1+2, 2", ,-10
36,f+2, ,0
37,f+3, ,-12
38,"f+3, 1", ,-3
39,"f+3, 1, 2", ,-12
40,f+4, ,-12
41,"f+4, 2", ,0
42,"f+4, 2, 1", ,-12
43,"f+4, 2, 1, 2", ,-12
44,"f+4, 2, 1, 2, 4", ,-9
45,"f+4, 2, 1, 2, 4, u or d", ,-11
46,"f+4, 2, 1, 2, 3", ,-17
47,f+1+2, ,4
48,"f+1+2, F", ,-5
49,d/f+1, ,-4
50,"d/f+1, 1", ,-9
51,"d/f+1, 1, 1", ,-10
52,d/f+2, ,-7
53,"d/f+2, F", ,-9
54,d/f+3, ,-10
55,d/f+4, ,-4
56,d/f+1+2, ,-7s
57,"d/f+1+2, f", ,0
58,d+1, ,-5
59,d+2, ,-3s
60,"d+2, 2", ,-10
61,d+3, ,-14
62,d+4, ,-12
63,"d+4, D", ,-13
64,"d+4, 4", ,-15
65,"d+4, 4, f", ,-29
66,d/b+1, ,-3
67,d/b+2, ,-4
68,d/b+3, ,-17
69,d/b+4 (clean), ,-26
70,d/b+4, ,-26
71,"d/b+4, 4", ,-9
72,"d/b+4 (clean), u or d", ,-26
73,"d/b+4, u or d", ,-26
74,"d/b+4, F (clean)", ,-26
75,"d/b+4, F", ,-26
76,d/b+1+2, ,-12
77,d/b+3+4, ,-21
78,"d/b+3+4, D", ,-23
79,b+3, ,-14
80,b+2, ,-7
81,"b+2, f", ,-9
82,"b+2, 4", ,-9
83,b+4, ,-12
84,"b+4, b", ,-6
85,"b+4, 1", ,-10
86,b+1+2, ,-2
87,u/f+1, ,-3
88,u/b or u+1, ,-12
89,u/b or u or u/f+2, ,-14
90,u/b or u or u/f+2 (down), ,-15
91,u/b+3, ,-7
92,u+3, ,-4
93,u/f+3, ,-2
94,u/b+4, ,-18
95,"u/b+4,f", ,-27
96,"u/b+4, b", ,-28
97,u+4, ,-13
98,u/f+4, ,-13
99,u+1+2, , 
100,"u+1+2, d", , 
101,"u+1+2, 4", ,-11
102,u/b or u+3+4, ,-17
103,u/f+3+4, ,-1
104,"u/f, N, 4", ,-11
105,"f, N", , 
106,"f, N, 1", ,-2
107,"f, N, 1, u", ,-5
108,"f, N, 1, d", ,-11
109,"f, N, 1, 2", ,-12
110,"f, N, 1, 2, u or d", ,-10
111,"f, N, 1, 2, 1", ,-12
112,"f, N, 1, 2, 1, u or d", ,-11
113,"f, N, 1, 2, 1, 2", ,-14
114,"f, N, 1, 2, 1, 2, u or d", ,-13
115,"f, N, 1, 2, 1, 2, 4", ,-9
116,"f, N, 1, 2, 1, 2, 4, u or d", ,-11
117,"f, N, 1, 2, 1, 2, 3", ,-17
118,"f, N, 2", ,2
119,"f, N, 2, 1", ,0
120,"f, N, 2, 1, 2", ,-17
121,"f, N, 2, 1, 2, 1", ,5
122,"f, N, 2, 2", ,-12
123,"f, N, 3", ,3
124,"f, N, 4", ,-11
125,"f, N, 4, 1", ,-1
126,"f, N, 4, 1, F", ,-6
127,"f, N, 4, 1, 2", ,-10
128,"f, N, 4, 1, 2, 3", ,-6
129,"f, N, 4, 1, 2, 3, 4", ,-7
130,"f, N, 4, 1, 2, 3, d+4", ,-12
131,"f, N, 4, 1, 2, 2", ,-12
132,"f, N, 4, 1, 2, 2, F", ,-4
133,"f, N, 4, 1, 2, 2, 2", ,-17
134,"f, N, 4, 1, 2, 2, 2, F", ,-14
135,"f, F+2", ,-12
136,"f, F+3 or f, f, f+3", ,-14
137,"f, F+3,B or f, f, f+3, B", ,-8
138,"f, F+3, 4", ,-13
139,"f, F+4", ,-6
140,"f, F+4, 3+4", ,-3y
141,"f, F+4, 3+4, F", ,-25
142,"f, F+4, 3+4, B", ,-21
143,"f, F+3+4", ,2
144,"f, F+3+4, D", ,1
145,"f, f, f+1", ,+8g
146,FC+1, ,-5
147,FC+2, ,-4
148,FC+d/b or d+3, ,-18
149,FC+d/f+3, ,-17
150,FC+4, ,-15
151,WS+1, ,-3
152,WS+2, ,-5
153,"WS+2, 1", ,-9
154,WS+3, ,-16
155,WS+4, ,-4
156,WS+3+4, ,-15
157,FC+d/f+2, ,-12
158,"FC+d/f+2, 1", ,-13
159,"FC+d/f+2, 1, 4", ,0
160,"FC+d/f+2, 1, 4, B", ,-28
161,SS+1, ,-5
162,"SS+1, F", ,-1
163,"SS+1, u or d", ,-2
164,SS+2, ,-7
165,"SS+2, 2", ,5
166,SS+4, ,-8
167,SS+3+4, ,-4s
168,"SS+3+4, D", ,-46s
169,Grounded 3+4, ,-5
170,1+3+4, , 
171,2+3+4, , 
172,"Back against wall b, b, u/b", ,1
173,f+3+4, , 
174,DRU d, , 
175,DRU F, , 
176,"DRU F,d", , 
177,"DRU F, b", , 
178,DRU b, , 
179,DRU 1, ,-11
180,"DRU 1, F", ,-21
181,DRU 2, ,-7s
182,"DRU 2, b", ,+1s
183,"DRU 2, f", ,-48s
184,"DRU 2, F+4", ,-12
185,"DRU 2, 2", ,5
186,"DRU 2, 2, F", ,2
187,DRU 3, ,-12
188,"DRU 3, F", ,-22
189,"DRU 3, 2", ,-1s
190,"DRU 3, 2, F", ,-8s
191,"DRU 3, 2, 4", ,-21
192,"DRU 3, 2, 4, B", ,-28
193,"DRU 3, 2, 4, F", ,-27
194,DRU 4, ,-12
195,"DRU 4, F", ,-18
196,DRU 1+2, , 
197,"DRU 1+2, 1+2", , 
198,"DRU 1+2, 1+2, 1+2", , 
199,DRU 3+4, ,-12 or -13
200,DRU b+1+2, ,-18
201,DRU u/b+1+2, , 
202,"DRU u/b+1+2, 1", ,-11
203,"DRU u/b+1+2, 1, F", ,-21
204,DRU u/f+1+2, ,-9s
205,d+1+2 or BT d+1+4, , 
206,FCD RLX 3, ,-37
207,FCD RLX 3~4 (clean), ,-26
208,FCD RLX 3~4, ,-26
209,"FCD RLX 3~4, D (clean)", ,-26
210,"FCD RLX 3~4, D", ,-26
211,"FCD RLX 3~4, 4", ,-11
212,FCD RLX 4, ,-15
213,FCD RLX 4~3, ,-16
214,"FCD RLX 4~3, D", ,-17
215,FCD RLX 3+4, ,-7
216,d+1+4 or BT d+1+2, , 
217,SLD RLX 3, ,-20
218,SLD RLX 4, ,-19
219,SLD RLX 4~3, ,-24
220,"SLD RLX 4~3, D", ,-25
221,SLD RLX 3+4, ,-20
222,"SLD RLX 3+4, D", ,-21
223,"SLD RLX d, 3+4", ,-42
224,d+3+4 or BT d+2+3, , 
225,KND RLX 3, ,-37
226,KND RLX 4, ,-13
227,KND RLX 3+4, , 
228,KND RLX 1, ,-10
229,KND RLX 4, ,-29
230,KND RLX F+1+2, ,2
231,KND RLX b+3+4, ,-5
232,d+2+3 or BT d+3+4, , 
233,PLD RLX 3 (clean), ,-26
234,PLD RLX 3, ,-26
235,"PLD RLX 3, 4", ,-11
236,"PLD RLX 3, u or d (clean)", ,-26
237,"PLD RLX 3, u or d", ,-26
238,"PLD RLX 3, F (clean)", ,-26
239,"PLD RLX 3, F", ,-26
240,PLD RLX 4, ,-12
241,PLD RLX  3+4, ,-26
242,b+3+4 or B+3+4, , 
243,BT F, , 
244,BT f, , 
245,BT 1, ,-5
246,"BT 1, 1", ,-7
247,"BT 1, 1, 3", ,-18
248,"BT 1, 1, 3, 2", ,-17
249,"BT 1, 1, 3, 2, F", ,-56
250,BT 2, ,-10
251,BT 3, ,-8
252,BT 4, ,-14
253,"BT 4, B", ,-7
254,"BT 4, 1", ,-8
255,"BT 4, 3", ,-15
256,"BT 4, 4", ,-3s
257,BT 1+2, ,-6
258,"BT 1+2, 2", ,-19
259,BT 3+4, ,-4
260,"BT 3+4, F", ,-12
261,"BT 3+4, 3+4", ,-9
262,"BT 3+4, 3+4, F", ,-12
263,"BT 3+4, 3+4, 3+4", ,-9
264,"BT 3+4, 3+4, 3+4, F", ,-17
265,BT d+1, ,-6
266,BT d+2, ,-2
267,BT d+3, ,-11
268,BT d+4 (clean), ,-26
269,BT d+4 (clean), ,-26
270,"BT d+4, 4", ,-11
271,"BT d+4, u or d (clean)", ,-26
272,"BT d+4, u or d", ,-26
273,"BT d+4, F (clean)", ,-26
274,"BT d+4, F", ,-26
275,BT u/b or u or u/f+2, ,-14
276,BT u/b or u or u/f+2, ,-15
277,b+1+4, , 
278,PHX d/b, , 
279,PHX F, , 
280,PHX 1, ,-10
281,"PHX 1, F", ,-20
282,"PHX 1, D", ,-21
283,"PHX 1, D+2", ,-15
284,PHX 2, ,-12
285,PHX 3, ,-14
286,"PHX 3, B", ,-6
287,"PHX 3, 3", ,-13
288,PHX 4, ,-14
289,PHX 1+2, , 
290,PHX f+4, ,KND
291,PHX b+3, ,-7
292,PHX  b+4, ,4s
293,PHX u or d+2+3, , 
294,3+4, , 
295,b or f+2+3, , 
296,SS+1+4 or SS+2+3, , 
297,SNK u, , 
298,"SNK d, N", , 
299,SNK 1, ,-6
300,"SNK 1, 1", ,-6
301,"SNK 1, 1, 1", ,-6
302,"SNK 1, 1, 1, 1", ,-6
303,"SNK 1, 1, 1, 1, 1", ,-6
304,"SNK 1, ..., 1, F", ,-7
305,"SNK 1, 2", ,-13
306,"SNK 1, 2, 1", ,-10
307,"SNK 1, 2, 1, f", ,-6
308,"SNK 1, 2, 1, 2", ,-8
309,SNK 2, ,-10
310,"SNK 2, F", ,-5
311,"SNK 2, 2", ,-12
312,"SNK 2, 2, F", ,-4
313,"SNK 2, 2, 2", ,-17
314,"SNK 2, 2, 2, F", ,-14
315,SNK 3, ,-7
316,"SNK 3, d", ,-9
317,SNK 4, ,-13
318,SNK 1+2, ,-10
319,"3+4, 1", , 
320,DRG u, , 
321,DRG d, , 
322,DRG d+3+4, , 
323,DRG 2, ,4
324,"DRG 2, F", ,3
325,DRG 3, ,-15
326,"DRG 3, F", ,-20
327,DRG 4, ,-11
328,DRG 1+2, ,-2
329,DRG f+1+2, ,-5s
330,"DRG f+1+2, F", ,-11s
331,"3+4, 2", , 
332,PAN u, , 
333,PAN d, , 
334,PAN f, , 
335,PAN 1, ,-12
336,PAN 1~2, ,-24
337,PAN 2, ,-10
338,PAN 3, ,-12
339,"PAN 3, B", ,-7
340,PAN 4, ,-13
341,"3+4, 3", , 
342,TGR u, , 
343,TGR d, , 
344,TGR f , , 
345,TGR 1, ,+2s
346,TGR 2, ,-14
347,"TGR 2, 2", ,-8
348,TGR 3, ,-12
349,"TGR 3, F", ,-11
350,TGR 4, ,-26
351,TGR 1+2, ,-7
352,"3+4, 4", , 
353,CRA d/b, , 
354,CRA u , , 
355,CRA d/b, , 
356,CRA 1, ,5
357,CRA 2, ,-9
358,CRA 3, ,-5
359,"CRA 3, 4", ,-13
360,"CRA 3, 4, 2", ,-16
361,"CRA 3, 4, 2, 3", ,-12
362,CRA 4, ,-19
363,CRA u/b or u or u/f+4, ,-2
