Move ID,Move,Command,BlockFrame
1,in rage d/f+1+2, ,-22
2,"in rage f, F+2*", ,+6 
3,1, ,+1
4,"1, 2", ,-1
5,"1, 2, B", ,-10
6,"1, 2, 1", ,-5~-4
7,"1, 2, 1, 1", ,-13
8,"1, 2, 1, 4", ,-6~-4
9,"1, 2, 4", ,-13
10,"1, 4", ,-4
11,2, ,-1
12,"2, 1", ,-7~-6
13,"2, 2", ,-13
14,3, ,-8
15,"3, 2", ,-2
16,"3, 2, D", ,-6
17,"3, 2, 3", ,-7~-6
18,"3, 2, 3, B (Cancel)", ,-15
19,"3, 2, 4", ,+8~+9
20,4, ,-7
21,1+2, ,-12
22,2+3, ,-8~-7
23,f+2, ,-5~-3
24,"f+2, 2", ,-12~-11
25,f+3, ,0~+1
26,"f+3, D", ,+1~+2
27,f+1+2, ,-14~-13
28,f+2+3, ,-9~-8
29,d/f+1, ,-1~0
30,"d/f+1, 2", ,-6
31,d/f+2, ,-13~-12
32,d/f+3, ,-9~-7
33,d/f+4, ,-6
34,d/f+2+3, ,-12~-11
35,d+1, ,-3~-2
36,"d+1, D", ,-3~-2
37,d+2, ,+4s
38,d+4, ,-12~-11
39,"d+4, 2", ,-5~-4
40,d/b+2, ,-17~-16
41,"d/b+2, 2", ,-7~-6
42,d/b+3, ,-8~-7
43,d/b+4 (Close), ,-31
44,d/b+4, ,-31
45,"d/b+4, 1", ,-16~-15
46,d/b+1+2, ,-9~-7
47,"d/b+1+2, 1", ,-12~-11
48,"d/b+1+2, D", ,-12~-10
49,b+1, ,-12~-11
50,"b+1, 4", ,+8~+9
51,b+2, ,-11
52,"b+2, 1", ,-4~-3
53,"b+2, 1+2", ,-11~-10s
54,b+3, ,-7~-8
55,"b+3, 1", ,-7
56,"b+3, 1, B", ,-11
57,"b+3, 1, D", ,-8
58,b+4, ,-8
59,"b+4, 1+2", ,-9~-8
60,b+1+4, ,-13
61,b+1+4 (First hit only), ,-15
62,b+1+4 (Second hit only), ,-13
63,b+2+3, ,KND
64,u/f+1, ,-1
65,"u/f+1, 1", ,-9~-8
66,"u/f+1, 2", ,-14~-13
67,u/f+2, ,-14~-11
68,"u/f+2, 1", ,-8~-7
69,u+3, ,-9
70,u/f+3, ,-9
71,u/b+4, ,-19~-18
72,u+4, ,-13~-12
73,u/f+4, ,-13~-12
74,u or u/f+3+4, ,0~+3s
75,"f, F+2", ,-10~-9
76,"f, F+3", ,-7~-4s
77,"f, F+3, D", ,+1~+4s
78,"f, F+4", ,-13~-12
79,"f, F+4, 3", ,-14~-12
80,"f, F+4, 3, 4", ,-12~-10
81,"b, f+1+2", ,-24~-23
82,"b, f+1+2, 1+2", ,-14~-13
83,"b, f+1+2, 1+2, 2", ,-16~-15
84,"b, f+1+2, 1+2, qcf+2", ,-16~-15
85,"f, f, f+3", ,+9~+12g
86,WS+1, ,-8~-7
87,"WS+1, 4", ,-12~-11
88,"WS+1, 4, 1", ,-14
89,WS+2, ,-13~-12
90,WS+3, ,-6~-5
91,"WS+3, 1", ,-10
92,"WS+3, 1, 2", ,-9~-8
93,WS+4, ,-12~-11
94,"WS+4, 1+2", ,-12~-10
95,WS+1+2, ,-15~-13
96,FC+d/f+3, ,-26
97,SS+1+2, ,-10
98,BT 1+2, ,-20
99,Opponent Down d+3+4, ,-13
100,1+2+3+4, ,
101,"1+2+3+4, b+3", ,-7~-6
102,"1+2+3+4, b+3, 1", ,-7
103,"1+2+3+4, b+3, 1, 2", ,-15~-14
104,"1+2+3+4, d/b+4", ,-31
105,"1+2+3+4, d/b+4, 1", ,-14
106,"1+2+3+4, d/b+4, 1, 2", ,-15~-14
107,f+4, ,+8~+9
108,b+3+4, ,
109,"f+4, d/f or KNK d/f (to CD)", ,-5~-4
110,KNK 1, ,-9~-8
111,"KNK 1, 2", ,-9~-8
112,"KNK 1, D", ,-7~-6
113,KNK 2, ,-4~-2
114,KNK 3, ,-13~-12
115,"KNK 3, 4", ,-12~-10
116,KNK 4, ,-12~-11
117,d+1+2 or FC+d/b or d+1+2, ,
118,BOK 1, ,-4
119,"BOK 1, 2", ,-14~-13
120,BOK 2, ,-9~-8
121,BOK 3, ,+9
122,BOK 4, ,+8
123,BOK 1+2, ,-9
124,qcf or KNK D/F, ,
125,qcf+1, ,-13~-12
126,qcf+2, ,-9
127,"qcf+2, B", ,-9
128,"qcf+2, 1", ,-6~-5
129,qcf+3+4, ,-6~-4
130,"qcf+3+4 (First hit only, Second hit miss)", ,-17
131,"d, D/F, n", ,
