Move ID,Move,Command,BlockFrame
1,in rage 3+4, ,-22
2,in rage d/f+2+3, ,+9~+10
3,1, ,+1
4,"1, 2", ,-1
5,"1, 2, 3", ,-13
6,"1, 2, 4", ,-9~-4
7,2, ,0
8,"2, 3", ,-13
9,"2, 4", ,-2~+2
10,3, ,-11~-10
11,"3, 1", ,-13~-12
12,"3, 2", ,-5
13,"3, 2, F", ,-2
14,"3, 2, 3", ,-9~-6
15,4, ,-4
16,"4, 1", ,-1
17,"4, 1, 3", ,-11~-9
18,1+2, ,-12
19,f+2, ,-9~-8
20,"f+2, 3", ,-15~-14
21,f+3, ,-6~-4
22,f+4, ,-9
23,f+1+2, ,-6~-5
24,f+3+4, ,-4~-2
25,f+3+4 (First hit only), ,-25~-23
26,f+3+4 (Second hit only), ,-4~-2
27,f+3+4~3, ,-8~-5
28,"f+3+4~3, 4", ,-20~-16
29,d/f+1, ,-1
30,d/f+2, ,-11~-10
31,"d/f+2, B", ,-11~-10
32,d/f+3, ,+3~+5s
33,d/f+4, ,-8~-7
34,"d/f+4, 4", ,-15~-14
35,d/f+3+4, ,-4~+1
36,"d/f+3+4, 3+4", ,-7~-6
37,"d/f+3+4, 3+4 (Third hit miss)", ,-18~-16
38,d+1, ,-11~-10
39,"d+1, D", ,-11~-10
40,"d+1, 2", ,-8~-7
41,"d+1, 2, B", ,-8~-7
42,"d+1, 2, 4", ,-9~-7
43,d+2, ,-7~-6
44,"d+2, 2", ,-10~-9
45,"d+2, 2, 3", ,-3~-1
46,"d+2, 2, 4", ,-17
47,d+3, ,-12~-11
48,d+3+4, ,-21~-17
49,d/b+3, ,-9~-6
50,d/b+4, ,-24
51,d/b+3+4, ,-18~-17
52,b+1, ,-6~-5
53,"b+1, F", ,+1~+2
54,"b+1, 4", ,-11~-10
55,b+2, ,-11
56,"b+2, 1", ,-4~-3
57,"b+2, 1, B", ,-4~-3
58,"b+2, 1, 1+2", ,-12~-11
59,b+3 or BT b+3, ,
60,b+4 or BT b+4, ,
61,"b+3 or 4, f", ,
62,"b+3, 3 or b+4, 3", ,-15~-14
63,"b+3, 4 or b+4, 4", ,-6~0
64,b+1+2, ,-14~-13
65,b+1+4, ,KND
66,u/b or u or u/f+2, ,-12~-11
67,u/b or u+3, ,-16~-15
68,"u/b or u+3, f", ,-13~-12
69,"u/b or u+3, 3", ,-12
70,"u/b or u+3, 3, F", ,-3
71,"u/b or u+3, 3, 3+4", ,-8
72,u+3+4, ,-8~-5
73,u+3+4 (Far), ,-8~-5
74,u/f+3, ,-13~-11
75,u/f+4, ,-12~-8
76,"u/f+4, 3", ,-9
77,u/f+3+4, ,-9~-6
78,"u/f+3+4, 3", ,-9
79,"u/f+3+4, 3+4", ,-21~-17
80,"f, F+2", ,-17
81,"f, F+3", ,-12
82,"f, F+3, F", ,-3
83,"f, F+3, 3+4", ,-8~-7
84,"f, F+3, 3+4 (Only two first hits)", ,-20~-19
85,"f, F+4", ,-12~-11
86,"f, F+4, B", ,-12~-11
87,"f, F+1+2 (one spin)", ,-9~-8
88,"f, F+1+2* (two spins)", ,+5~+6
89,"f, F+1+2* (Very long hold)", ,KND
90,"f, F+3+4", ,-6~0
91,"f, f, f+3", ,0~+7
92,WS+1, ,-11~-10
93,"WS+1, 2", ,-3~-2
94,"WS+1, 2, 4", ,-14~-13
95,WS+2, ,-12~-10
96,"WS+2, B", ,-12~-10
97,WS+3, ,-21~-20
98,"WS+3, 4", ,+4~+7s
99,WS+4, ,-8~-7
100,FC+d/f+1, ,-9~-8
101,"FC+d/f+3 or d, D/F+3", ,-18~-9
102,SS+3, ,-9~-8
103,SS+1+2, ,-2~-1
104,qcf or From certain moves, ,
105,qcf+1, ,-12~-11
106,"qcf+1, 2", ,-14~-13
107,"qcf+1, 2, B (Cancel)", ,-19~-18
108,qcf+2, ,-10~-9
109,"qcf+2, 1", ,-11~-10
110,qcf+3, ,-21~-20
111,"qcf+3, 4", ,+4~+7s
112,qcf+4, ,-8~-7
113,qcf+3+4, ,+6~+7
114,b+3+4 (to BT), ,
115,BT 1, ,-8
116,"BT 1, 2", ,-3
117,BT 2, ,-5~-3
118,BT 3, ,-8
119,BT 4, ,-11~-10
120,"BT 4, 3+4", ,-10~-8
121,BT 1+2, ,-10~-9s
122,BT 3+4, ,-4~-1
123,"BT 3+4, 2", ,-11~-9
124,BT d+3, ,-17~-15
125,"BT d+3, 4", ,-13~-11
126,BT d+4, ,-11
127,BT d+3+4, ,-26
128,"BT d+3+4, F", ,-26
129,BT b+3, ,
130,BT b+4, ,
