Move ID,Move,Command,BlockFrame
1,in rage 3+4, ,-27
2,in rage d/f+3+4 or FC+d/f+3+4 or BT+d/f+3+4, ,+3~+5s
3,in rage d/f+3+4B, ,-4~-2s
4,"in rage d/f+3+4, When hit 1+2", ,
5,1 or BT 1 or 2, ,+1
6,"1, 2", ,-4
7,"1, 2, 1", ,-11
8,"1, 2, 2", ,-4~-3
9,"1, 2, 1+2", ,-2~-1
10,2, ,-4
11,"2, 2", ,-12
12,2:3, ,-11
13,3, ,-7
14,"3,B", ,-7
15,"3, 4", ,-14
16,4, ,-9
17,1+2 or BT 1+2, ,-2~-1
18,f+2, ,-4
19,"f+2, 1", ,-11
20,"f+2, 2", ,-4~-3
21,"f+2, 1+2", ,-2~-1
22,f+3, ,-9~-8
23,f+4, ,-4
24,"f+4, b", ,-4
25,"f+4, 4", ,-13
26,"f+4, 4, b", ,-9
27,f+1+2, ,+7~+9
28,f+3+4, ,-11~-8
29,"f+3+4, 3", ,-17~-16s
30,d/f+1, ,-1~0
31,d/f+2, ,-13
32,WS+2, ,-13
33,"WS+2 or d/f+2 When hit, 4:3:1", ,
34,d/f+3, ,-9
35,"d/f+3, 2", ,-6~-5
36,"d/f+3, 3", ,-14~-13
37,d/f+4, ,-12
38,d+2, ,0
39,d+3+4 or d/b+3+4, ,-13
40,"d+3+4, 3+4", ,-13~-12
41,d+3+4:d+3+4, ,-34
42,"d+3+4:d+3+4, F", ,-57
43,"d+3+4:d+3+4, F, 3+4", ,-8~-4
44,d/b+1, ,-13
45,d/b+4, ,-14
46,"d/b+4, 4", ,-1
47,d/b+1+2, ,-16~-15
48,b+1, ,-11~-9
49,b+2, ,-4
50,b+3, ,-11
51,"b+3, B", ,-8
52,b+4, ,-8
53,b+3+4, ,
54,b+1+2, ,-8~-6
55,u/b+4, ,TFU
56,u+3+4, ,-9
57,u/f+3(u+3 or u/b+3), ,-15~-14
58,u/f+4, ,-13~-12
59,u/f+3+4, ,-5~-3
60,"u/f+3+4, 3", ,-11
61,"u/f+3+4, 3+4", ,-3~-1
62,"u/f+3+4, 3+4, 4", ,-16~-14s
63,"f, F+3", ,-6
64,"f, f, f+3", ,+6~+9
65,WS+1, ,-5~-4
66,"WS+1, 4", ,-16
67,WS+2 , ,-13
68,WS+3, ,-12~-11
69,WS+4, ,-3
70,FC+d/f+1, ,-14~-13
71,FC+d/f+2, ,-7~-6
72,FC+d/f+4, ,-17~-16
73,SS+4, ,-9~-8 (11b)
74,1+2+3, ,
75,1+2+4, ,
76,d/b+3, ,-11
77,d/b+3 (After stance ends), ,-32
78,"d/b+3, b", ,-25
79,d/b+3~4, ,-13
80,TWISTL 1, ,+1
81,TWISTL 2, ,-4
82,TWISTL 3, ,+4~+10
83,TWISTL 4, ,-18
84,TWISTL d/b+4, ,-16
85,TWISTL d/b+4j, ,-13
86,TWISTR d/b+3j, ,-11
87,"f, F+4 or from special move", ,-1
88,SCT 4, ,-4~-3
89,"SCT 4, 4", ,+4~+5
90,SCT 3+4, ,-3~+1
91,"SCT 3+4, 4", ,-16~-14s
92,SCT d/b+4, ,-16
93,BT 1 or 2, ,+1~+2
94,BT 3, ,-44~-43 (~20a)
95,"BT 3, 3+4", ,-6~-4
96,BT 4, ,-10~-8s
97,BT d/b or d or d/f+4, ,-16
98,"BT d+4, 4", ,-1
99,BT d+3+4, ,-18
100,BT 3+4, ,-3~+1
101,"BT 3+4, 4", ,-16~-14s
102,BT f+3+4, ,
103,"BT f+3+4, 3+4", ,-45
104,"BT f+3+4, 3+4, 3+4", ,-8~-4
