Move ID,Move,Command,BlockFrame
1,In rage b+1+2, ,-22
2,In rage f+2+3, ,+7g
3,In rage f+2+3 (far), ,-10
4,1, ,+1
5,"1, 2", ,-1
6,"1, 2, 3+4", ,-3
7,"1, 2, 3+4, 3+4", ,-2
8,"1, 2, 3", ,-16
9,"1, 2, 3, 1+2", ,0s
10,"1, 2, f+1", ,+4
11,"1, d+2", ,-9
12,2, ,0
13,"2, 1", ,+3
14,"2, d+1+2", ,-12
15,3, ,-14
16,4, ,-5
17,1+2, ,-9
18,f+2, ,-7
19,"f+2, 1", ,-7
20,"f+2, d+1", ,-13s
21,"f+2, d+1, 2", ,-15
22,f+3, ,-8
23,"f+3, 2", ,-9
24,f+4, ,8s
25,f+1+2, ,-10
26,f+3+4, ,KND
27,"f+3+4, 3+4", , 
28,f+1+4, ,-18
29,d/f+1, ,-12
30,d/f+2, ,-7
31,"d/f+2, 1", ,-13
32,d/f+3, ,-10
33,"d/f+3, 1", ,+2
34,"d/f+3, 1, 2", ,-1
35,"d/f+3, 1, 2, 3+4", ,-3
36,"d/f+3, 1, 2, 3+4, 3+4", ,-2
37,"d/f+3, 1, 2, 3", ,-16
38,"d/f+3, 1, 2, 3, 1+2", ,0
39,"d/f+3, 1, 2, f+1", ,+4
40,"d/f+3, 1, d+2", ,-9
41,"d/f+3, 1+2", ,0s
42,"d/f+3, d/f+1", ,-12
43,"d/f+3, d/f+1, 2", ,-3s
44,d/f+4, ,-9
45,"d/f+4, 2", ,-5
46,d/f+1+2, ,-11
47,d+1, ,0s
48,d+2, ,-7s
49,"d+2, 4", ,-9
50,d+3, ,-12
51,d+4, ,-16
52,d+1+2, ,-12
53,d/b+1, ,-5
54,d/b+2, ,-8
55,d/b+3, ,-12
56,"d/b+3, 1", ,-6
57,"d/b+3, 1, 1", ,-8
58,"d/b+3, 1, 1, 3+4", ,-20
59,"d/b+3, 1, 1, 3+4", ,-21
60,"d/b+3, 4", ,-13
61,"d/b+3, 4, 1+2", , mid throw
62,d/b+4, ,-26
63,d/b+1+2, ,-22
64,b+1, ,-8s
65,"b+1, 2", ,-14s
66,b+2, ,-9
67,b+3, ,0
68,b+4, ,-9
69,b+3+4, ,-14
70,b+2+3, ,KND
71,"b+2+3, 1+2", ,mid throw
72,u/b or u or u/f+1, ,-12
73,u/b or u or u/f+2, ,-12
74,u/b or u or u/f+3, ,-2
75,u/b+4, ,-16
76,u or u/f+4, ,-9
77,u/b+1+2, ,-6s
78,"u/b+1+2, 3+4", ,-7s
79,"u/b+1+2, 3+4, 3+4", ,-6s
80,u/f+1+2, ,-6
81,u/b or u or u/f+3+4, ,-3s
82,"u/f, N, 4", ,-11
83,"f, F+2", ,-1
84,"f, F+3", ,-7
85,"f, F+3, 2", ,-14
86,"f, F+4", ,-10
87,"b, f+1+2", ,-12
88,qcf+1, ,-10
89,"qcf+1, 2", ,-7
90,"qcf+1, 2*", ,+23g
91,qcf+2, ,-12
92,"f, f, f+3", ,+6
93,FC+1, ,-5
94,FC+2, ,-4
95,FC+3, ,-17
96,FC+4, ,-15
97,FC+1+2, ,-4
98,WS+1, ,-7
99,"WS+1, 3+4", ,-7
100,"WS+1, 3+4, 3+4", ,-8
101,"WS+1, 2", ,-7
102,WS+2, ,-8
103,WS+3, ,-13
104,WS+4, ,-9
105,WS+1+2, ,-4
106,FC+d/f+2, ,-3
107,FC+d/f+4, ,-26
108,SS+2, ,-3
109,"SS+2, 3+4", ,+2
110,"SS+2, 3+4, 3+4", ,+1
111,SS+4, ,-6
112,SS+1+2, ,+1
113,(opponent grounded) d/b+4, ,-14
114,(grounded face down) 2, ,-7
115,(grounded face down) d+2, ,-24
116,"(back to wall) b, b, u/b", ,0s
117,BT 1 or 2, ,-8
118,BT 3 or 4, ,-8
119,BT d+1 or d+2, ,-2
120,BT d+3 or d+4, ,-11
121,3+4, , 
122,d/f+3+4, , 
123,d/b+3+4, , 
124,VTS 3+4, , 
125,VTS u or d, , 
126,VTS f+1, ,-4
127,"VTS f+1, 2", ,-13s
