Move ID,Move,Command,BlockFrame
1,in rage d/b+3+4, ,-22
2,in rage f+3+4, ,+5~+8
3,"in rage f+3+4, When hit 2", ,
4,"in rage f+3+4, When hit d+2", ,
5,1, ,+1
6,"1, 2", ,-1
7,"1, 2, 3+4", ,-10
8,2, ,-1
9,"2, 3", ,-12
10,"2, 4", ,-9~-7
11,3, ,-8~-7
12,"3, 3", ,-8~-7
13,"3, 3, 4", ,-9
14,"3, 3, 4, b (Cancel)", ,-16~-15
15,4, ,-8
16,"4, 1", ,-2~-1
17,3~4, ,-9~-4
18,"3~4, f", ,-39~-34
19,4~3, ,-9
20,"4~3, F", ,-39
21,"4~3, 1", ,-13~-12
22,"4~3, 3", ,-4~0
23,"4~3, 4", ,-14~-13
24,1+2, ,-9
25,f+2, ,-10~-9
26,"f+2, 3", ,-10~-9
27,f+3, ,-10
28,"f+3, B", ,-6
29,"f+3, 2", ,-14
30,f+4, ,-9~-8
31,f+1+2, ,-14~-12
32,d/f+1, ,-1~0
33,d/f+2, ,-11~-9
34,"d/f+2, 3", ,-3~-2
35,"d/f+2, 4", ,-15~-14
36,d/f+3, ,-9~-8
37,d/f+4, ,-15~-14
38,"d/f+4, 4", ,-15~-14
39,"d/f+4, 4, 3", ,-6~-3
40,"d/f+4, 4, U", ,-34~-31
41,d/f+1+2, ,-12
42,"d/f+1+2, B (Cancel)", ,
43,d+3, ,-12~-11
44,d+4, ,-13
45,d/b+2, ,-4~-3
46,"d/b+2, 1", ,-1~0
47,d/b+3, ,-12~-11
48,d/b+4, ,-14~-13
49,b+1, ,+5~+6s
50,b+2, ,-14~-12
51,"b+2, 2", ,-3
52,"b+2, 2, 3", ,-19~-18
53,"b+2, 2, 1+2", ,-30~-29
54,"b+2, 4", ,-7~-6
55,"b+2, 4, 2", ,-9~-8
56,"b+2, 4, U", ,-23~-22
57,b+3, ,+1~+3
58,b+4, ,-11~-10
59,"b+4, 4", ,-9~-8
60,"b+4, b+4", ,+1~+6s
61,"b+4, (b+4, 3)", ,-11
62,"b+4, (b+4, 3), 4", ,-11~-10
63,"b+4, (b+4, 3), 4, 2", ,-13
64,"b+4, (b+4, 3), f+4", ,-11~-10
65,"b+4, (b+4, 3), f+4, 2", ,-13
66,"b+4, (b+4, 3), f+4~3", ,-6~-3
67,"b+4, (b+4, 3), f+4, U", ,-63~-62
68,"b+4, (b+4, 3), 3+4", ,-25~-21
69,b+1+2, ,-10~-9
70,"b+1+2, 2", ,+1~+2s
71,"b+1+2, 3", ,-28~-25
72,u/b+1, ,-6
73,"u/b+1, 2", ,-13~-12
74,u/b or u+3, ,-2~0
75,"u/b or u+3, 3", ,-15~-14
76,"u/b or u+3, 4", ,+8~+9y
77,"u/b or u+3, d+3", ,-15~-14
78,"u/b or u+3, D+3", ,-29~-28
79,"u/b or u+3, d+3, 3", ,-6~-3
80,"u/b or u+3, d+3, U", ,-40~-39
81,u/f+3, ,-4~-3
82,u/b or u+4, ,-5~-1
83,u/f+4, ,-5~-1
84,"u/b or u or u/f+4, 4", ,-15~-12
85,u/f+3+4, ,-17~-15
86,"u/f+3+4, 4", ,-14~-13
87,"u/f+3+4, 4, 2", ,-13
88,"u/f+3+4, f+4", ,-14~-13
89,"u/f+3+4, f+4, 2", ,-13
90,"u/f+3+4, f+4~3", ,-6~-3
91,"u/f+3+4, f+4, U", ,-58~-57
92,"u/f+3+4, 3+4", ,-26~-22
93,"f, F+2", ,-13~-12
94,"f, F+3", ,-14~-11
95,"f, F+4", ,-10~-8
96,"b, B+2", ,-10~-9
97,"u/b, b", ,
98,"u/b, b, n+3+4", ,KND
99,WS+1, ,-14~-13
100,WS+2, ,-8~-7
101,WS+3, ,-8
102,WS+4, ,-7~-6
103,WS+3+4, ,-14~-11
104,FC+d/f+3+4, ,-23
105,FC+d/f+3+4 When hit 4, ,
106,"FC+d/f, d, D/F", ,
107,1+2+3+4, ,
108,"When ki-charged b, f+1+2", ,
109,"Parry after various moves like d, d+2 or d+1+2 voice change, b, f, u, d+3+4", ,KND
110,"Parry after various moves like d, d+2 or d+1+2 voice change, b, f, u, d+3+4 (First part)", ,0~+4?
111,"Parry after various moves like d, d+2 or d+1+2 voice change, b, f, u, d+3+4 (Second part)", ,+5~+10?
112,3+4 (to HAZ), ,
113,HAZ 1, ,-14~-13
114,HAZ 2, ,KND
115,HAZ 3, ,-9~-7
116,HAZ 4 (First part), ,-9~-5
117,HAZ 4 (Second part), ,-4~+1
118,HAZ 1+2, ,-13~-12
119,HAZ f, ,
120,HAZ u, ,
121,b+3+4 (to BT), ,
122,BT 1, ,-1~0
123,"BT 1, 4", ,-9~-8
124,BT 2, ,+1
125,"BT 2, 1", ,-1
126,"BT 2, 1, B", ,-5
127,"BT 2, 2", ,-9~-8
128,BT 3, ,-11
129,"BT 3, 4", ,-0~+2
130,"BT 3, 4, 3", ,-6~-3
131,"BT 3, 4, 4", ,-9~-7
132,"BT 3, 4, 4, F", ,-36~-34
133,"BT 3, 4, U", ,-28~-27
134,BT 4, ,-8
135,BT 1+2, ,-13~-12 pc6
136,BT 3+4, ,-20~-19
137,BT 3+4 (Second hit only), ,-20~-19
138,BT f+1, ,-13
139,BT f+2, ,-5~-4
140,"BT f+2, 3", ,-7~-6
141,"BT f+2, 4", ,-7~-6
142,"BT f+2, 4, 2", ,-9~-8
143,"BT f+2, 4, U", ,-23~-22
144,BT f+3, ,-8
145,"BT f+3, b", ,-11
146,BT f+4, ,-9
147,"BT f+4, 3", ,-12~-11
148,BT f+1+2, ,
149,"BT f+1+2, B", ,
150,BT f+3+4, ,-9~-7
151,"BT f+3+4, F", ,-36~-34
152,BT d+3 (Close), ,-26
153,BT d+3, ,-26
154,BT b+2, ,-2~-1
155,"BT b+2, 3", ,-20~-19
156,"BT b+2, 3 (Third hit only)", ,-20~-19
157,"BT b+2, 4", ,-9
158,BT b+3, ,+5~+6
159,"BT f, F+3", ,-9~-8
160,"BT f, F+3+4", ,-18~-11
161,"BT f, f, f", ,
162,qcf, ,
163,qcf+1, ,-9~-8
164,"qcf+1, 3+4", ,-2~-1
165,qcf+2, ,-17~-16
166,"qcf+2, B (Cancel)", ,
167,qcf+2~1, ,-12
168,qcf+3, ,-7~-6
169,"qcf+3, When hit 4", ,
170,qcf+4, ,-14~-13
171,qcf+1+2, ,-9
172,qcf+1+2 (First hit only), ,-25
173,qcf+3+4, ,-14~-11
