Move ID,Move,Command,BlockFrame
1,in rage b+1+2 in rage SAV b+1+2, ,-22
2,in rage d/b+1+2, ,+3~+4
3,in rage d/b+1+2 (Second hit miss), ,-?
4,1, ,+1
5,"1, 2", ,-1
6,"1, 2, 4", ,+3~+4
7,"1, 2, 4, F", ,+3
8,"1, 2, 1+2", ,+4~+5s
9,"1, 3", ,-12
10,2, ,-8
11,"2, 1", ,-4~-3
12,"2, 1, f", ,-4~-3
13,3, ,-7
14,"3, 4", ,-12~-11
15,4, ,-9
16,1+2, ,-7~-6
17,"1+2, d", ,-7~-6
18,"1+2, 1+2", ,-14~-13
19,f+2, ,-3
20,f+3, ,-6~-5
21,"f+3, 4", ,-15
22,f+4, ,-7~-6
23,"f+4, 2", ,-12~-11
24,f+1+2, ,-5~-4
25,f+3+4, ,
26,"f+3+4, F", ,KND
27,f+2+3, ,-7~+2
28,d/f+1, ,-2
29,"d/f+1, F", ,-2
30,"d/f+1, 1", ,-3~-2
31,"d/f+1, 1, F", ,-3~-2
32,"d/f+1, 1, 2", ,-12
33,"d/f+1, 1, 3", ,-12~-11
34,"d/f+1, 1, 3, F", ,-12~-11
35,"d/f+1, 2", ,-12
36,d/f+2, ,-7
37,"d/f+2, 1", ,-15~-14
38,"d/f+2, 2", ,-6~-5
39,"d/f+2, d+2", ,-3~-2
40,d/f+3, ,-6
41,"d/f+3, 2", ,-6
42,d/f+4, ,-7~-6
43,"d/f+4, 1", ,-5
44,"d/f+4, 1, f", ,-5
45,"d/f+4, 1, 1", ,-10~-9
46,d+2, ,-7~-6s
47,d+3, ,-12
48,d+4, ,-11
49,"d+4, 1+2", ,-8s
50,"d+4, 1+2, f", ,-8s
51,d+1+2, ,-12~-9
52,d+3+4, ,-15~-14
53,d/b+1, ,-18~-17
54,d/b+1*, ,-18~-17
55,d/b+2, ,-9~-8
56,d/b+3, ,-13~-12
57,"d/b+3, f", ,-13~-12
58,"d/b+3, 4", ,-19~-18
59,d/b+4, ,-14~-13
60,b+1, ,-9
61,"b+1, F", ,-9
62,b+2, ,-6
63,"b+2, 2", ,-7~-6
64,b+3, ,+7~+9
65,"b+3, f", ,+7~+9
66,b+4, ,-13
67,u/b+1, ,-5~-4s
68,"u/b+1, f", ,-5~-4s
69,"u/b+1, 4", ,-15
70,u/f+1, ,+3~+4
71,"u/f+1, F", ,+3~+4
72,u/b+3, ,-10
73,u+3, ,-10
74,u/f+3, ,-10
75,"u/f+3, 2", ,-12
76,"u/f+3, 2, 2", ,-6s
77,u/b+4, ,-20~-19
78,u+4, ,-13~-12
79,u/f+4, ,-13~-12
80,"f, F+2", ,-14~-13
81,"f, F+2, 1", ,-5~-4
82,"f, F+2, 2", ,-13
83,"f, F+2, 2, d (Cancel)", ,-24~-23
84,"f, F+3", ,-9~-8
85,"b, f+1", ,-8~-7
86,"f, f, f+3 or WR+3", ,+9~+10g
87,WS+1, ,-3~-2
88,"WS+1, F", ,-3~-2
89,WS+2, ,-8~-7
90,"WS+2, 2", ,-12~-11
91,"WS+2, 2, 2", ,-6~-5s
92,"WS+2, 4", ,-12~-11
93,WS+3, ,-12
94,WS+4, ,-6~-5
95,WS+1+2, ,+1
96,FC+d/f+2, ,-12
97,FC+d/f+4, ,-26
98,Opponent Down d+3, ,-13
99,1+4, ,
100,"3+4 or From certain moves, F (to SAV)", ,
101,SAV 1, ,-2~-1
102,"SAV 1, F", ,-2~-1
103,"SAV 1, 1", ,-9~-8
104,"SAV 1, 2", ,-10~-9
105,"SAV 1, 2, F", ,-10~-9
106,"SAV 1, 2, 1", ,-17~-16
107,"SAV 1, 4", ,-10~-9
108,SAV 2, ,-12~-11
109,SAV 3, ,-5
110,"SAV 3, F", ,-5
111,"SAV 3, 3", ,-9~-8
112,"SAV 3, 3, F", ,-9~-8
113,SAV 4, ,-5~-3
114,SAV 1+2, ,-21~-20
115,SAV 1+2*, ,-12~-11
116,SAV f+1+2, ,+5~+6s
117,"SAV f+1+2, F", ,+5~+6s
118,SAV d/f+1, ,-2
119,"SAV d/f+1, F", ,-2
120,SAV d/f+2, ,-17~-16
121,SAV d+4, ,-14
122,"SAV d+4, F", ,-14
123,"SAV d+4, 3", ,-15
124,"SAV d+4, 3, F", ,-15
125,SAV d/b+3, ,-13~-12
126,"SAV d/b+3, F", ,-13~-12
127,SAV d/b+4, ,-29
128,SAV b+1, ,-7~-6
129,"SAV b+1, F", ,-7~-6
130,"SAV b+1, 2", ,-18~-17
131,"SAV b+1, 4", ,-10~-9
132,SAV b+2, ,-9
133,SAV b+3, ,-7~-6
134,"SAV b+3, F", ,-7~-6
135,SAV u/f+3, ,-9~-8
136,"SAV , ,", ,
