Move ID,Move,Command,BlockFrame
1,In rage d+1+2, ,-22
2,In rage b+2+3, ,+8
3,"In rage b+2+3, F", ,6g
4,"In rage b+2+3, B", ,-7
5,1, ,+1
6,"1, 1", ,-3
7,"1, 1, 2", ,-9
8,"1, 2", ,-8
9,"1, 2, 2", ,+4
10,"1, 2, 4", ,-9
11,"1, 4", ,-6
12,"1, 4, 2", ,-5
13,2, ,-8
14,"2, 1", ,-7
15,"2, 1, 4", ,-12
16,"2, 2", ,-14
17,"2, 2, 2", ,-14
18,"2, 2, 2, 2", ,-14s
19,3, ,-9
20,4, ,-6
21,"4, 2", ,-5
22,1+2, ,-14
23,2+3, ,-7
24,f+2, ,-7
25,"f+2, 2", ,-12
26,f+3, ,-7
27,"f+3, 2", ,-19
28,f+1+2, ,-15
29,f+2+3, ,-12
30,d/f+1, ,-3
31,"d/f+1, 1", ,-4
32,"d/f+1, 1, 2", ,-13
33,"d/f+1, 2", ,-11
34,"d/f+1,2*", ,-11
35,d/f+2, ,-14
36,d/f+2*, ,-15
37,d/f+3, ,-7
38,"d/f+3, 1", ,-2
39,"d/f+3, 1, 2", ,-11
40,"d/f+3, 1, 4", ,-14
41,d/f+4, ,-7
42,"d/f+4, 2", ,+1
43,"d/f+4, 2*", ,+5
44,"d/f+4, 3", ,-9
45,d/f+1+2, ,-14s
46,d/b or d+1, ,-5
47,d+2, ,-9
48,d+3, ,-12
49,d+4, ,-13
50,d/b+2, ,-15
51,d/b+3, ,-15
52,d/b+4, ,-13
53,d/b+1+2, ,-8
54,d/b+1+2*, ,+11k
55,b+1, ,-9
56,"b+1, 2", ,-10
57,b+2, ,-9
58,"b+2, 2", ,-11
59,"b+2, 3", ,-6
60,b+3, ,-12
61,b+4, ,-9
62,b+1+2, ,+4
63,u/b or u or u/f+1+2, ,-12
64,u/b+2, ,-20
65,u or u/f+2, ,-9
66,u/b or u or u/f+3, ,-9
67,u/b or u or u/f+4, ,-7
68,"u/f, N, 4", ,-11
69,"f, F+2", ,-11
70,"f, F+3", ,-4
71,"f, F+3, 2", ,-20
72,"f, F+4", ,+4
73,"f, F+1+2", ,-6
74,qcf+1, ,-19
75,"f, f, f+2", ,+9g
76,FC+1, ,-5
77,FC+2, ,-7
78,FC+3, ,-15
79,FC+4, ,-15
80,WS+1, ,-3
81,WS+2, ,-16
82,WS+2*, ,-16
83,WS+3, ,-7
84,"WS+3, 2", ,-19
85,WS+4, ,-6
86,FC+d/f+2, ,-13
87,SS+2, ,-8
88,2+3+4, , 
89,Opponent down d+3+4, ,-20
90,BT 1, ,-8
91,BT 2, ,-10
92,BT 3 or 4, ,-8
93,BT d+1 or d+2, ,-2
94,BT d+3 or d+4, ,-11
95,3+4, , 
96,INT auto low parry, , 
97,INT 1, ,-4
98,"INT 1, 2", ,-13
99,INT 2, ,+7
100,INT 3, ,-7
101,INT 4, ,-7
102,INT 1+2, ,0
103,INT 2+3, ,KND
104,"INT 2+3, B", , 
105,INT d/f+2, ,-20
