Move ID,Move,Command,BlockFrame
1,in rage d+1+2, ,-22
2,in rage f+2+3, ,+9~+10g (wl+15g)
3,"in rage f+2+3, d/f", ,+28~+29?
4,1, ,+1
5,"1, 2", ,-1
6,"1, 2, u or D", ,0
7,"1, 2, 1", ,-3
8,"1, 2, 1, 4", ,-13
9,"1, 2, 3", ,-13
10,"1, 2, 4", ,-6
11,"1, 2, f+1+2", ,-14
12,"1, 2, 1, 2", ,-10
13,"1, 2, 1, 2, f+1+2", ,-14
14,"1, 4", ,-4
15,"1, 4, 1", ,-11~-10
16,2, ,+1
17,"2, 1", ,-3
18,"2, 1, 4", ,-13
19,"2, 3", ,-13
20,"2, 4", ,-6
21,"2, f+1+2", ,-14
22,3, ,-16
23,"3, 3", ,-17
24,"3, 3, 2", ,-13~-11
25,"3, 3, 4", ,-6
26,"3, 3, 4, 3", ,+2~+3s
27,"3, 4", ,-6
28,"3, d", ,-27
29,"3, d, D", ,-23
30,"3, d, 1+2", ,-11
31,4, ,-9
32,"4, 3", ,-17
33,"4, 3, 2", ,-13~-11
34,"4, 3, 4", ,-6
35,"4, 3, 4, 3", ,+2~+3s
36,"4, u", ,-34
37,"4, u, D", ,-30
38,"4, u, 1+2", ,-11
39,1+4, ,-5~-4
40,f+2, ,-3
41,"f+2, 1", ,-13~-12
42,"f+2, 1, 2", ,-12~-10s
43,"f+2, 1, 4", ,-3~-1
44,f+3, ,+6~+7
45,f+3 (Second hit ducked), ,-24s
46,f+3 (Only first hit on counter), ,
47,f+4, ,-12
48,"f+4, 3", ,-14
49,"f+4, 3, 3", ,-14~-11
50,"f+4, 4", ,+1
51,f+1+2 or WS+1+2, ,-14
52,d/f+1, ,-1
53,"d/f+1, 2", ,-3
54,"d/f+1, 2, u or D", ,-1
55,d/f+2, ,-7~-6
56,d/f+3, ,-11
57,"d/f+3, 1", ,-8
58,"d/f+3, 1, d or u (Cancel)", ,-19
59,"d/f+3, 1, 2", ,-10
60,"d/f+3, 1, 2, f+1+2", ,-14
61,"d/f+3, 2", ,+1
62,"d/f+3, 2, f or d/f", ,-1
63,"d/f+3, 2, d or u", ,0
64,"d/f+3, 2, 1", ,-3
65,"d/f+3, 2, 1, 4", ,-13
66,"d/f+3, 2, 3", ,-17~-16
67,"d/f+3, 2, 4", ,-6
68,"d/f+3, 2, d+3", ,-14
69,"d/f+3, 2, d+3, 2", ,-13~-11
70,"d/f+3, 2, d+3, 4", ,-6
71,"d/f+3, 2, d+3, 4 , 3", ,+2~+3s
72,"d/f+3, 3", ,-14
73,"d/f+3, 3, 3", ,-14
74,"d/f+3, 3, 3, 4", ,-6
75,"d/f+3, 4", ,-4~-3
76,"d/f+3, 4, 4", ,-13~-11
77,"d/f+3, 4, 3+4", ,-6~0
78,"d/f+3, f+4", ,-6
79,d/f+4, ,-4
80,d/f+1+2, ,-3~-2
81,d/f+1+2 (First hit only), ,-5~-4
82,d+1 or FC+1, ,-5
83,"d+1, 2 or FC+1, 2", ,-6
84,"d+1, 2, 4 or FC+1, 2, 4", ,-14~-12
85,"d+1, n+4 or FC+1, n+4", ,-11~-10
86,d+2, ,-12
87,"d+2, 3", ,-6~-4
88,d+3 or FC+3, ,-17
89,"d+3, 2", ,-13~-11
90,"d+3, 4", ,-6
91,"d+3, 4, 3", ,+2~+3s
92,d+4, ,-13
93,FC+d/b or d+4 FC+D/F+4, ,-15
94,"d+4, 1", ,0
95,"d+4, 1, d or u (Cancel)", ,-13(-15)
96,d/b+2, ,-5~-4
97,d/b+3, ,-13
98,d/b+4, ,-9~-8
99,"d/b+4, 3", ,-17~-16
100,d/b+1+2, ,CS
101,d/b+3+4, ,-17~-16
102,b+1, ,-16
103,b+2, ,-14
104,"b+2, 2", ,-6~-5
105,"b+2, 2, 2", ,-9~-8
106,"b+2, 2, 2, u or D (Cancel)", ,-10~-9
107,b+3, ,-6
108,"b+3, 4", ,-8~-7
109,b+4, ,-7
110,b+1+2, ,-7
111,b+1+4, ,-15~-14
112,u/f+1, ,-5
113,u/f+2, ,-10
114,"u/f+2, 1", ,-13
115,u/b+3, ,-15
116,u+3, ,-15
117,u/f+3, ,-10
118,u/f+4, ,-9
119,"u/f+4, 3", ,-19
120,"u/f+4, 3, 4", ,-6
121,"u/f+4, 3, 4, d or u (Cancel)", ,-5
122,u/b+4, ,-9~-4
123,u+4, ,-6~-1
124,U/F+4, ,-6~-1
125,"u/f, n, D+3", ,-17
126,"u/f, n, D+3, 2", ,-13~-11
127,"u/f, n, D+3, 4", ,-6
128,"u/f, n, D+3, 4, 3", ,+2~+3s
129,"f, F+2", ,-9
130,"f, F+3", ,-14
131,"f, F+4 (Close)", ,+11
132,"f, F+4", ,-10~-6
133,"f, F+4, Tech (Close)", ,+4
134,"f, F+4, Tech", ,-17~-13
135,"f, F+1+2", ,-5
136,"f, F+1+2* (Very long hold)", ,+8~+9
137,"d, D/F+4", ,-37
138,FC+d/f+4, ,-37
139,qcb, ,
140,QCB+4, ,-15~-14
141,"d/b, qcf, n, d/b+2+3", ,+33~+50 (SH)
142,"u/f+3+4 or f, f, f+3", ,-23
143,"u/f+3+4 or f, f, f+3 (Crouching or far)", ,-22~-16
144,"f, f, f+1+2", ,+4~+5
145,WS+1, ,-6~-5
146,"WS+1, 4", ,-3~-2s
147,"WS+1, 1+2", ,-7~-6
148,WS+2, ,-13~-12
149,WS+3, ,-13
150,WS+4, ,-4~-3
151,"WS+4, 3", ,-6
152,WS+b+1, ,-5~-4
153,FC+2, ,-4
154,"FC+2, 4", ,-10~-8
155,SS+1, ,-10~-9
156,"SS+1, F", ,+10~+11
157,"SS+1, B", ,+10~+11
158,"SS+1, 2", ,-6~-4
159,SS+2, ,-14~-13
160,SS+4, ,-15
161,SS+1+2, ,-11
162,Opponent Down d+3+4, ,-17~-16
163,qcf, ,
164,qcf+1+2, ,
165,qcf+3+4, ,
166,qcf+1, ,+1~+2
167,qcf+2, ,-8~-7
168,qcf+3, ,-20~-11
169,qcf+4, ,-8
170,"qcf+4, 2", ,-9
171,"qcf+4, 2, 3", ,-10
172,"qcf, 1", ,-6~-5
173,"d, d/f, N", ,
