Move ID,Move,Command,BlockFrame
1,in rage d+1+2, ,-32
2,in rage f+2+3, ,+2
3,1, ,+1
4,"1, 2", ,-2
5,"1, 2, 2", ,-11
6,"1, 2, 1+2", ,-9
7,"1, 2, 3 or 4", ,-26
8,2, ,-12
9,"2, 2", ,-9
10,"2, 2, 2", ,-8
11,"2, 2, 2, 2", ,-7
12,"2, 2, 2, 2, 2", ,-14
13,"2, 2, f+2", ,-14
14,"2, 2, b+2", ,-11
15,3, ,-7
16,4, ,-8
17,"4,2", ,-14
18,1+2, ,-14
19,1+2~B, ,-9
20,f+2, ,-9
21,f+3, ,-9
22,"f+3, 2", ,-11
23,f+4, ,-8
24,"f+4, 2", ,-11
25,f+1+2, ,-19
26,f+1+4, ,-13
27,d/f+1, ,-1
28,"d/f+1, 4", ,-5
29,d/f+2, ,-20
30,d/f+3, ,-13
31,"d/f+3, 1", ,-10
32,d/f+4, ,-7
33,"d/f+4, 2", ,-2
34,"d/f+4, 2, 4", ,-5
35,"d/f+4, 2, 2", ,-8
36,d/f+1+2, ,-9
37,d+1, ,-3
38,d+2, ,-18
39,"d+2, 2", ,-9
40,d or d/b+3, ,-13
41,d+4, ,-31
42,"d+4, 1", ,-12
43,"d+4 ,1, 1+2", ,-18s
44,d/b+1, ,-6
45,"d/b+1, 1+2", ,-5
46,d/b+1~F, ,-6
47,d/b+2, ,-19
48,d/b+4, ,-12
49,d/b+1+2, ,-16
50,d/b+1+2*, ,+2
51,b+1, ,-11
52,"b+1, 2", ,-9
53,b+2, ,-9
54,b+2 when hit 1+2, ,~
55,b+3, ,-12
56,"b+3, 1", ,-14
57,b+3~B, ,-8
58,b+4, ,-7
59,"b+4, 1+2", ,-13
60,b+1+4, ,-11
61,b+2+3, ,KND
62,u/b or u or u/f+1, ,-4
63,u/b or u or u/f+2 , ,-8
64,u/b or u or u/f+3, ,-13
65,u/b or u or u/f+4, ,-5
66,"u/b,b", ,
67,u/b or u or u/f, ,
68,During jump 1, ,-23
69,During jump 2, ,-22
70,"(When hit in air) 2, 2", ,
71,"(When hit in air) 2, 2, 2", ,
72,(During jump) 3, ,-22
73,(During jump) 4, ,-21
74,(During jump) 1+2, ,+5
75,"f, f+4", ,-14
76,"f, f+1+2", ,-9
77,"f, f+3+4", ,-8
78,"f, f, f+1+2 or wr+1+2", ,+11
79,FC+1, ,-5
80,FC+2, ,-9
81,FC+3, ,-17
82,FC+4, ,-15
83,WS+1, ,-8
84,"WS+1, 2", ,-13
85,ws+2, ,-9
86,"ws+2, 2", ,-14
87,ws+3, ,-7
88,"ws+3,2", ,-11
89,ws+4, ,-6
90,FC+d/f+2, ,-13
91,1+2+3+4, ,
92,1+3+4, ,
93,SS+2, ,0
94,BT 1, ,-8
95,BT 2, ,-9
96,BT 3 or 4, ,-8
97,BT d+1 or d+2, ,-2
98,BT d+3 or d+4, ,-11
99,f+3+4, ,
100,"f+3+4, 1", ,-13
