Move ID,Move,Command,BlockFrame
1,in rage 1+2, ,-22
2,"in rage 1+2, b", ,-22
3,in rage qcf+1+2, ,+3(wl+9)
4,1, ,+1
5,"1, 2", ,-1
6,"1, 2, 3", ,-25~-24
7,"1, 4", ,-11
8,2, ,0
9,"2, 3", ,-12~-11
10,"2, d+3", ,-12
11,3, ,-7~-6
12,"3, 2", ,-3
13,4, ,-7
14,f+2, ,0
15,"f+2, 3", ,-11~-10
16,"f+2, 3, 1", ,-12
17,f+1+2, ,+3~+4s
18,f+1+4, ,-14~-12
19,d/f+1, ,-2
20,"d/f+1, 1", ,-5~-4
21,"d/f+1, 1, 2", ,-9~-8
22,"d/f+1, b", ,+3
23,d/f+2, ,-8~-7
24,d/f+3, ,-9
25,"d/f+3, 4", ,-10~-9
26,"d/f+3, 4*", ,-6~-5
27,d/f+4, ,-1~0
28,d+1, ,-9~-8
29,"d+1, D", ,-9~-8
30,"d+1, 2", ,-17
31,"d+1, 2 (Hold)", ,+20g
32,"d+1, 4", ,-31
33,"d+1, 4, 2", ,-14
34,d+4 (Close), ,-31
35,d+4, ,-31
36,"d+4, 2", ,-18
37,d+4:2:1+2, ,-17~-16
38,"d+4, 2:1+2", ,-17~-16
39,d+1+2, ,-16~-15
40,d/b+2, ,-11~-10
41,b+1, ,-9~-8
42,"b+1, 2", ,-5~-4
43,b+2, ,-5s
44,"b+2, 1", ,-12
45,"b+2, 1*", ,+8~+9s
46,b+3, ,-6~-5
47,b+4, ,-13~-12
48,b+1+2, ,0
49,u/b+2, ,-9~-8
50,u/f+2, ,+9
51,u/b+3, ,-16~-15
52,u+3, ,-16~-15
53,u/f+3, ,-16~-15
54,"u/b or u or u/f+3, 4", ,-13~-12
55,u/f+4, ,-13~-11
56,"f, F+2", ,-17~-15
57,"f, F+2, 1", ,-12
58,"f, F+2, 1, B (Cancel)", ,-21~-19
59,"f, F+2, 2", ,-19~-17
60,"f, F+2, 2, B (Cancel)", ,-28~-26
61,"f, F+2:1", ,-4
62,"f, F+3", ,-17~-16
63,"f, F+3, 4", ,-16~-15
64,"f, F+3, 4, 4", ,-5~-3
65,"f, F+3, 4, f or d/f+4", ,-14~-12
66,"f, F+3, 4, d or d/b+4", ,-17~-16
67,"f, F+4", ,-5~+6
68,"b, f+1", ,-6~-3
69,"b, B+1+2", ,KND
70,WS+2, ,-14~-13
71,WS+3, ,-8~-7
72,"WS+3, 2", ,-9~-8
73,WS+4, ,-6~-5
74,FC+d/f+2, ,-17~-16
75,FC+d/f+1+2, ,-12~-11
76,D(Hundred and sixty frames), ,
77,"D(Hundred and sixty frames)n, u+3+4 (On the way up)", ,-49~-44
78,"D(Hundred and sixty frames)n, u+3+4 (On the way down)", ,-21~-11
79,SS+1, ,+8
80,SS+3, ,-12
81,"Opponent Down, d+2", ,-12
82,qcf, ,
83,qcf+1, ,-4~-3
84,qcf+2 (Close), ,-17~-16
85,qcf+2, ,-17~-16
86,qcf+3, ,-14~-13
87,qcf+3+4, ,-9~-8
88,"qcf, or d, d/f, n", ,
89,qcb, ,
90,qcb+1, ,0~+1s
91,qcb+2, ,-8
92,qcb+3, ,-21~-20
93,"qcb+3, 2", ,-10~-9
94,"qcb+3, 2, 1", ,-10~-9
95,"qcb+3, 2, 3", ,-13~-12
96,qcb+4, ,+1~+2
97,qcb+1+2, ,-14~-13
