Move ID,Move,Command,hitLevel,BlockFrame,Punishable
1,in rage 1+2,,m,-22,True
2,"in rage d/b+2, 4",,"m, h (TJ)",+6~+7,False
3,"in rage d/b+2, 4, d/f",,"m, h (TJ), (SNK)",+19~+20g,False
4,1,,h,+1,False
5,"1, 2",,"h, h",-1,False
6,"1, 2, 2","+1*, 4, +1-, , 3, +2*, 4, +2-, , 7, +2*, 3, +2-, ","h, h, m",-11~-10,True
7,"1, 2, 3",,"h, h, h",-8,False
8,"1, 2, 3, D/F",,"h, h, h (SNK)",-2,False
9,"1, 2, 4","+1*, 5, +1-, , 3, +2*, 3, +2-, , 7, +4*, 3, +4-, ","h, h, m",-13~-11,True
10,2,,h,0,False
11,"2, 1",,"h, m",-4~-3,False
12,"2, 3",,"h, h",-8,False
13,"2, 3, d/f",,"h, h (SNK)",-1,False
14,3 or 3+4,,h,-8,False
15,"3, D/F",,"h, (SNK)",-1,False
16,4,,h,-10,True
17,"4, 1","+4*, 5, +4-, , 1, +1*, 5, +1-, ","h, h",-5,False
18,"4, 3","+4*, 4, +4-, , 1, +3*, 10, +3-, ","h, h",-1~0,False
19,"4, 4","+4*, 2, +4-, , 6, +4*, 4, +4-, ","h, m",-13~-12,True
20,f+2,,h,-8,False
21,"f+2, 3","F, 4, +2*, 4, +2-, , 1, -F, , 1, +3*, 4, +3-, ","h, h",-12,True
22,"f+2, 4","F, 3, +2*, 4, +2-, , 1, -F, , 5, +4*, 5, +4-, ","h, l",-13~-12,True
23,"f+2, 4, D/F",,"h, l, (SNK)",-4~-3,False
24,"f+2, 4, d/f, d/b (Cancel)",,"h, l, (Special)",-18~-17,True
25,"f+2, 4, 4",,"h, l, h",-3~-2,False
26,f+3,,m (TJ),-5~-4,False
27,f+4,,h,-2,False
28,f+3+4,f+3+4,mm (TJ),-11,True
29,"f+3+4, D/F",,"mm (TJ), (SNK)",+1,False
30,d/f+1,,m,-1~-2,False
31,d/f+2,,m,-7~-6,False
32,d/f+3,,m,-9,False
33,d/f+4,,m,-9,False
34,d+2,,m?,-6~-5,False
35,d+3,d+3,l (TC),-14~-13,True
36,"d+3, D/F",,"l (TC), (SNK)",-11~-10,False
37,d+4,d+4,l,-12,True
38,d/b+2,db+2,m,-10,True
39,"d/b+2, D/F",,"m, (SNK)",-3,False
40,"d/b+2, 1","D, 1, B, 2, +2*, 5, -D, , 1, -B, , 1, +2-, , 4, +1*, 5, +1-, ","m, h",-11,True
41,d/b+3,db+3,l,-17~-16,True
42,"d/b+3, 4","DB, 2, +3*, 3, +3-, , 2, -D, -B, , 3, +4*, 3, +4-,","l, h",-13,True
43,d/b+4,db+4,h,-13,True
44,d/b+1+2,,!,CS,False
45,b+1,,m,-9~-8s,False
46,b+3,,m,0~+1s,False
47,b+4,b+4,m,-15,True
48,u/b+3,,m (TJ),-7~-6,False
49,u+3,,m (TJ),-7~-6,False
50,u/f+3,,m (TJ),-7~-6,False
51,u/b or u or u/f+4,uf+4,m (TJ),-13~-11,True
52,"f, F+3 or f, f, f+3 (Close)",,"m (TJ)(, (throw))",-12,True
53,"f, F+3 or f, f, f+3","F, 5, -F, , 4, F, 2, +3*, 3, +3-, , 1, -F, ",m (TJ),-12,True
54,"f, F+4",,h,-11,True
55,"f, b+2",,h (throw),-4,False
56,"f, f, f+2 or WR+2",,m,+4,False
57,WS+1,,m,-2,False
58,WS+2,WS+2,m,-17,True
59,WS+3,WS+3,m,-11,True
60,"WS+3, 3","WS+3,5, +3","m, m",-15,True
61,WS+4,,m,-6~-5,False
62,"FC+d/f, d, D/F+3","D, 8, F, 2, -F, 2, F, 2, +3*, 6, +3-, , 1, -F, 1, -D, ",l (SNK),-23~-19,True
63,BT 2,,m,-3,False
64,"d/f, d/f or From special move (to SNK)",,(SNK),,False
65,SNK 1,,h(SNK),-1,False
66,SNK 2,,m,-9~-8,False
67,SNK 3 (Close),,"m (TJ)(, (throw))",-12,True
68,SNK 3,"F, 1, D, 3, -F, -D, , 3, D, 1, F, 3, +3*, 5, -D, , 1, -F, +3-, ",m (TJ),-12,True
69,SNK 4,"F, 1, D, 4, -F, -D, , 2, D, 1, F, 4, +4*, 6, -D, , 1, -F, +4-, ",l,-19,True
70,SNK 1+2,,m(Throw),Throw(KND),False
