Move ID,Move,Command,BlockFrame
1,in rage 1+2 or WS+1+2, ,-3
2,in rage d/f+3+4, ,
3,in rage d/f+2+3, ,+7
4,in rage D/f+2+3, ,+15g
5,"in rage d/f+3+4, 1+2", ,+1 (wl+7)
6,1, ,+1
7,"1, 1", ,-3
8,"1, 1, 3 or 4 to Weave ", ,-6
9,"1, 1, 2", ,-7~-6
10,"1, 1, 2, f+3 or f+4", ,-3
11,"1, 1, 2, 3 or 4 to Weave ", ,-3
12,"1, 1, 2, b+3 or b+4 to Sway ", ,-5
13,"1, 1, d+1", ,-6
14,"1, 1, d+1, B", ,0
15,"1, 1, d+1, B, d/b (Cancel)", ,-2
16,"1, 2", ,-2
17,"1, 2, 3 or 4 to Weave ", ,-4
18,"1, 2, 1", ,-3
19,"1, 2, 1, F", ,-2
20,"1, 2, 1, B", ,-1
21,"1, 2, 1, B, d/b (Cancel)", ,-3
22,"1, 2, 1, 3 or 4 to Weave ", ,-6
23,"1, 2, 1, 2", ,-10~-9
24,"1, 2, 1, 2", ,-6~-5
25,"1, 2, 1, d+2", ,-12~-11
26,"1, 2, 1, d+2, d", ,-12~-11
27,"1, d+1", ,-6
28,"1, d+1, B", ,0
29,"1, d+1, B, d/b (Cancel)", ,-2
30,2, ,-1
31,"2, 1", ,-5
32,"2, 1, F", ,+3
33,"2, 1, B", ,+3
34,"2, 1, B, d/b (Cancel)", ,+2
35,"2, 1, 2", ,-11
36,f+2, ,-6~-5
37,"f+2, 1", ,-5
38,"f+2, 1, F", ,0
39,"f+2, 1, B", ,+1
40,"f+2, 1, B, d/b (Cancel)", ,0
41,"f+2, 1~2", ,-9
42,f+1+2, ,-14~-12
43,"f+1+2, 2", ,-13~-12
44,d/f+1, ,-2~-1
45,"d/f+1, 3 or 4 to Weave ", ,-7~-6
46,"d/f+1, 2", ,-6
47,"d/f+1, 2, 3 or 4 to Weave  (Cancel)", ,-16~-15
48,"d/f+1, 2~1", ,-2~-1
49,d/f+12~1 B, ,0~+1
50,"d/f+1, 2~2", ,-9
51,"d/f+1, 2~f+1+2", ,-3
52,"d/f+1, 2~f+1+2 , 3 or 4 to Weave ", ,-4
53,d/f+2, ,-11~-10
54,"d/f+2, 3 or 4 to Weave ", ,-7~-6
55,d/f+1+2, ,-12~-11
56,d/f+1+2 (Second hit miss), ,-23
57,d+1, ,-13
58,d+2, ,-18
59,"d+2, 1", ,-11~-10
60,"d+2, 1, 3 or 4 to Weave ", ,-6~-5
61,"d+2, 1, 2", ,-2~-1
62,d+2~n+1, ,-4~-3
63,"d+2~n+1, 3 or 4 to Weave ", ,-6~-5
64,"d+2~n+1, f+2", ,-2~-1
65,"d+2~n+1 , 2", ,-13~-12
66,d/b+2 or FC+d/b+2, ,-12~-11
67,"d/b+2, d/b or D", ,-12~-11
68,d/b+3, ,-15
69,"d/b+3, 2", ,-7~-6
70,d/b+1+2, ,-18~-17
71,b+1, ,-14~-13
72,"b+1, B", ,-1~0
73,"b+1, B, d/b (Cancel)", ,-3~-2
74,"b+1, 2", ,-5
75,"b+1, 2, F", ,-6~-5
76,"b+1, d+2", ,-12~-10
77,"b+1, d+2, f", ,-10~-8
78,"b+1, d+2, 1", ,-9~-7
79,b+2, ,-13~-12
80,b+1+2, ,
81,When parry successful 1, ,-12~-10
82,u/f+1, ,-6~-4
83,u or u/f+2, ,-14~-11
84,u or u/f+3, ,-12~-11
85,"u or u/f+3, 2", ,-7~-6
86,u or u/f+4, ,-14~-13
87,"f, F+2", ,-13~-10s
88,qcf+1, ,-10
89,"qcf+1, B", ,-3
90,"qcf+1, B, d/b (Cancel)", ,-4
