Move ID,Move,Command,BlockFrame
1,in rage b+1+2 or WS+b+1+2 or AOP b+1+2, ,-27
2,"in rage RDS d+3, 3+4", ,-4~-3
3,1, ,+1
4,"1, 2", ,-1
5,"1, 2, 1", ,-9~-8
6,"1, D+2", ,-4~-1
7,"1, d+2", ,-3~0
8,"1, d+2, 1+2", ,-12~-10
9,2, ,-2
10,"2, 1", ,-4
11,"2, D/F+1", ,-4
12,3, ,-11~-10
13,4, ,-9
14,4~3, ,-1~+1s
15,"4~3, d+1+2", ,0~+2s
16,1+2, ,-7~-6
17,3+4 or u+3+4, ,
18,d+3+4, ,
19,f+2, ,-7~-6
20,"f+2, 1", ,-3
21,"f+2, 1, 4", ,-12~-11
22,f+3, ,-9~-7
23,"f+3, 1", ,-4~-2
24,"f+3, 1, 1+2", ,-12~-11
25,f+4, ,+1~+2
26,f+1+2, ,-16~-15
27,f+3+4, ,
28,"f+3+4, 3+4", ,-10~-7
29,"f+3+4, 3+4 (second and third hit miss)", ,-46
30,"f+3+4, d+1+2", ,
31,d/f+1, ,-4
32,D/F+1, ,-4
33,d/f+2, ,-6
34,d/f+2~1, ,-13~-12
35,d/f+2~1 (Second hit only), ,-12~-11
36,d/f+3, ,-8~-7
37,d/f+4, ,-4
38,d+1, ,-9~-3
39,"d+1 (Third hit miss, Second hit only)", ,-14~-12
40,D+1, ,-13~-7
41,"D+1 (Third hit miss, Second hit only)", ,-18~-16
42,d+3, ,-12
43,"d+3, 4", ,0~+1
44,d/b+1, ,-9
45,d/b+3, ,+2
46,d/b+4, ,-12
47,b+1, ,
48,B+1, ,-12~-7
49,b+2, ,-6~-5
50,"b+2, 2", ,-8~-6
51,b+3, ,-4~-3
52,b+4, ,-11~-9
53,"b+4, 4", ,-9~-8
54,u/b+3+4, ,-17~-15
55,"u/b+3+4, d+1+2", ,-19~-17
56,u+1+2, ,-11~-9
57,"u+1+2, 2", ,-12
58,"u+1+2, 2, 1", ,-12~-11
59,"u+1+2, 2, 1, b (Cancel)", ,-19
60,"u+1+2, 3+4", ,-16~-14
61,u or u/f+1, ,-7~-5
62,u/b+3, ,-13~-12
63,u+3, ,-13~-12
64,u/f+3, ,-13~-12
65,u+4, ,-7~-4
66,u/f+4, ,-3~0
67,"u/f+4, D", ,-7~-4
68,"u/f+4, d+1+2", ,-9~-6
69,u/f+1+2, ,+3~+4s
70,"u/f+1+2, B", ,+3~+4s
71,u/f+3+4, ,-3~-2
72,u/f+3+4 (Third hit miss), ,-21~-20
73,"f, F+1", ,-11
74,"f, F+1, D", ,-5
75,"f, F+1, 3", ,-1~0
76,"f, F+1, 4", ,-12~-11
77,"f, F+2", ,-5
78,"f, F+2, 1", ,-12~-11
79,"f, F+2, 1, b (Cancel)", ,-19
80,"f, F+3", ,-5~-4
81,"f, F+4", ,+1
82,"f, F+4, When guarded4", ,+5
83,"f, F+1+2", ,-9~-7
84,"f, F+1+2, 1+2", ,-8~-7
85,"f, F+3+4", ,-5~+3
86,"f, f, f+3", ,+7~+14g
87,WS+2, ,-4~-2
88,"WS+2, b or f", ,-6~-4
89,WS+2*, ,-3
90,"WS+2*, b or f", ,-5
91,WS+3, ,+3~+4s
92,WS+4, ,-10~-8
93,WS+b+4 or QCB+4, ,-4~-2
94,FC+3, ,-15~-13
95,"FC+3, 2", ,0
96,"FC+3, 2, 1", ,-1
97,"FC+3, 2, 1, 4", ,-18~-16
98,FC+d/f+2, ,-17
99,"FC+d/f+2, D/F", ,-8
100,"FC+d/f+2, 1", ,-11
101,"FC+d/f+2, 1, D/F", ,-8
102,FC+d/f+4, ,-7~-5
103,"FC+d/f+4, 4", ,-6~-4
104,SS+3, ,-23
105,"SS+3, d+1+2", ,
106,"SS+3, b (Cancel)", ,
107,SS+4, ,-13~-12
108,1+3+4, ,
109,2+3+4, ,
110,d/b+1+2 (SSR), ,
111,u/b+1+2 (SSL), ,
112,HYP 1+2, ,
113,HYP 1+4, ,
114,HYP 2 (After on step), ,-4
115,HYP 2 (After two step), ,+5
116,HYP 2 (After three step), ,+24
117,HYP 4, ,-4~-2
118,HYP 3+4, ,+2~+3
119,HYP 2+3 (After on step), ,KND
120,HYP 2+3 (After two step), ,KND
121,HYP 2+3 (After three step), ,KND
122,b+3+4, ,
123,FC+d/b+3+4, ,
124,"RDS u/f, f", ,
125,"RDS u/f, f, D/F", ,
126,RDS 1, ,-5~-3
127,"RDS 1, 4", ,-6~-3
128,RDS 2, ,0
129,"RDS 2, 1", ,-1
130,"RDS 2, 1, 4", ,-18~-16
131,"RDS 2, 2", ,-7~-5
132,"RDS 2, 2, 1", ,-13~-7 (-18)
133,"RDS 2, 2, 1, D", ,-13~-7 (-18)
134,RDS 3, ,-19~-18
