Move ID,Move,Command,BlockFrame
1,in rage b+1+2, ,?
2,in rage u/b+1+4, ,NA
3,1, ,+1
4,"1, 1", ,-8~-7
5,"1, 2", ,-9
6,"1, 2, 1", ,-9
7,2, ,-1
8,"2, 1", ,-9
9,"2, 1, B (Cancel)", ,-13
10,"2, 2", ,-1
11,"2, 2, 1+2", ,?
12,"2, 3", ,-10
13,"2, d+3", ,-12
14,3~4, ,-6~-5
15,"3~4, u/b or u or u/f", ,+5~+6
16,3~4 (Second hit miss), ,-19? (Stance-9?)
17,4~3, ,-12
18,4, ,-11
19,"4, 4", ,-4
20,"4, 4, 4", ,-4
21,1+4 or WS+1+4, ,-15
22,4~1, ,-15
23,1+2+3, ,-8~-5
24,f+2, ,-4
25,"f+2, d/b+2", ,-5~-4
26,"f+2, D/B+2, 2", ,-9~-8
27,"f+2, D/B+2, 2, 2", ,-9~-8
28,"f+2, D/B+2, 2, 2, 2", ,-9~-8
29,"f+2, D/B+2, 2, 2, 2, 2", ,-9~-8
30,"f+2, D/B+2, 2, 2, 2, 2, 2", ,-49~-46
31,f+3, ,-10
32,"f+3, 3", ,-20
33,"f+3, 3, d+3+4", ,-35
34,"f+3, 4", ,-6
35,f+4, ,-9
36,f+1+2, ,-8?~-7
37,f+3+4, ,-14~-10?
38,"f+3+4, b", ,
39,d/f+1, ,-4
40,"d/f+1, 2", ,-4
41,"d/f+1, 4", ,-14?
42,d/f+2, ,-7~-6
43,d/f+3, ,-4~-3
44,"d/f+3, 1", ,-9~-8?
45,"d/f+3, 1* (Cancel)", ,0~+1 OC
46,d/f+1+2, ,-11
47,"d/f+1+2, 2", ,-13
48,d+1, ,-5~-4
49,"d+1, *, n (After on step)", ,0~+1 OC
50,"d+1, *, n (After two step)", ,0~+1 OC
51,"d+1, *, n (After three step)", ,0~+1 OC
52,"d+1, *, n (Four steps)", ,KND
53,"d+1, *, n (Five steps)", ,KND
54,"d+1, *, n (Six steps)", ,KND
55,"d+1, *, B (Cancel)", ,
56,d+2, ,-9~-8
57,"d+2, 1", ,-9?
58,"d+2, 2", ,-12~-11
59,"d+2, 2, 1", ,-9
60,"d+2, 2, d+1", ,-10
61,"d+2, 2, 2+3", ,-12~-11
62,d+1+4, ,CS
63,"d+1+4, b+1 (one spin)", ,CS
64,"d+1+4, B+1, 1 (two spins)", ,CS
65,"d+1+4, B+1, 1, 1 (three spins)", ,CS
66,"d+1+4, B+1, 1, 1, 1 (four spins)", ,CS
67,"d+1+4, B+1, 1, 1, 1, 1 (five spins)", ,CS
68,d/b+1, ,-16
69,"d/b+1, 1", ,-8
70,d/b+2, ,-5
71,"D/B+2, 2", ,-9~-8
72,"D/B+2, 2, 2", ,-9~-8
73,"D/B+2, 2, 2, 2", ,-9~-8
74,"D/B+2, 2, 2, 2, 2", ,-9~-8
75,"D/B+2, 2, 2, 2, 2, 2", ,-49~-46
76,d/b+3 or FC+d/b+3, ,-25~-24
77,"d/b+3, 3", ,-19~-18
78,"d/b+3, 3, 3", ,-19~-18
79,"d/b+3, 3, 3, 3", ,-19~-18
80,"d/b+3, 3, 3, 3, 3", ,-19~-18
81,"d/b+3, 3, 3, 3, 3, 3", ,-27
82,"d/b+3, 3.. (two to five hits), f+4", ,-8
83,"d/b+3, 3.. (two to five hits), d+3+4", ,-25
84,d/b+4, ,-12
85,"d/b*, 1+2 or FC+d/b*, 1+2 (to PDP)", ,
86,PDP 1 or 2, ,CS
87,PDP 3 or 4, ,-15~-4
88,b+1, ,+1
89,"b+1, 1", ,+4
90,"b+1, 1, 1", ,+4
91,"b+1, 1, 1, 1", ,+4
92,"b+1, 1, 1, 1, 1", ,4
93,"b+1, 1, 1, 1, 1, 1", ,-75
94,"b+1, ,, d/b+3", ,-20
95,"b+1, 3 or 4", ,-6
96,"b+1, 1.. (two to five hits), 3 or 4", ,-3
97,b+2, ,-9
98,"b+2, 1+2", ,-9
99,"b+2, 1", ,-17~-16
100,"b+2, 1, 1+2", ,-7
101,"b+2, 2", ,-13
102,b+3 or 4 (one spin), ,
103,"B+3 or 4, ,,", ,
104,u/b+1+2, ,CS
105,"u/b+1+2, 1+2", ,+1~+2
106,"u/b+1+2, n+1", ,CS
107,"u/b+1+2, n+1, b", ,CS
108,u+3+4, ,+4~+7s
109,u+3+4 (First hit only), ,-9~-7
110,u/f+1, ,-6
111,u/f+2, ,-16
112,u/f+3, ,-13
113,u/b+4, ,-19
114,u or u/f+4, ,-9
115,u/f+1+2, ,KND
116,"u/f+1+2, d (First stage)", ,+4~+5
117,"u/f+1+2, d (Second stage)", ,+4~+5
118,"u/f+1+2, 1+2", ,
119,"u/f+1+2, b", ,KND
120,"u/f+1+2, b, n+1+2", ,
121,u/f+3+4, ,-16~-13
122,"u/f+3+4, 1+2", ,
123,"u/f+3+4, 3+4", ,-12
124,"u/f+3+4, d+1+2", ,+18 GB
125,"u/f+3+4, d+3+4", ,-20
126,"u/f+3+4, b+1", ,-1~0
127,"u/f+3+4, b+1, 3+4", ,0~+2 OC
128,"u/f+3+4, b+1, 4", ,-14~+7
129,"u/f+3+4, b+1, 4, d+1", ,-5~-4
130,"u/f+3+4, u or u/f+3+4", ,-4~-3
131,"f, F+2", ,-10
132,"f, F+2 Hit in front1+2", ,
133,"f, F+3", ,-5
134,"f, F+3, 1+2", ,+1
135,"f, F+4", ,-5~-4?
136,"f, F+1+2", ,-8~-6
137,"f, F+3+4", ,-20~-18
138,"f, F+3+4, 1+2", ,-31~-25
139,"f, F+3+4, 1+2, 3+4", ,-13
140,"f, F+1+4", ,CS
141,"f, F+1+4, f, F", ,CS
142,"f, F+1+4, n", ,
143,"b, B+1+4", ,CS
144,"b, B+1+4, B (Cancel)", ,-15
145,"f, n, d, d/f+1", ,-15~-14
146,"f, n, d, d/f+1, 1+2", ,-7~-6
147,"f, n, d, d/f+2", ,-14
148,"in rage f, nf, n, d, d/f+1+2", ,+2?
149,qcf+1, ,0~+1 OC
150,"f, f, f+3 or 2+4+3", ,+9~+10g
151,WS+1, ,-10~-9
152,"WS+1, 1", ,-11
153,"WS+1, 1, b+3 or 4", ,-16
154,"WS+1, 1, 1", ,-11
155,"WS+1, 1, 1, 1", ,0~+1s
156,"WS+1, 2", ,-4
157,"WS+1, 2, d/b+2", ,-5
158,"WS+1, 2, D/B+2, 2", ,-9~-8
159,"WS+1, 2, D/B+2, 2, 2", ,-9~-8
160,"WS+1, 2, D/B+2, 2, 2, 2", ,-9~-8
161,"WS+1, 2, D/B+2, 2, 2, 2, 2", ,-9~-8
162,"WS+1, 2, D/B+2, 2, 2, 2, 2, 2", ,-49~-46
163,WS+2, ,-4
164,"WS+2, 1", ,-9?
165,WS+3 or 3+4, ,-6
166,"WS+3, 2", ,-12s
167,WS+4, ,-6
168,"WS+4, 1+2", ,-6
169,FC+d/f+4, ,-21
170,"FC+D/F+1 FC+d/b, b+1", ,KND
171,SS+1, ,-9
172,SS+2, ,-13
173,SS+4, ,0
174,"SS+4, 1+2", ,+3
175,"SS+4, 3+4", ,-3
176,Grounded face up 3+4, ,
177,Opponent Down u/b or u+1, ,-13
178,1+2 or FC+1+2 (to KIN), ,
179,KIN Returns high or mid attacks, ,+4~+5s
180,KIN F, ,
181,KIN D (Cancel), ,
182,KIN 1, ,-12
183,"KIN 1, 1", ,-12
184,"KIN 1, 1, 2+3", ,-28
185,KIN 2, ,-14
186,"KIN 2, 1+2", ,-18~-17 OC
187,"KIN 2, 1+2*", ,-1~0
188,KIN 3, ,-16~-9
189,KIN 4, ,0
190,"KIN 4, 1+2", ,+3
191,"KIN 4, 3+4", ,-3
192,KIN 1+2, ,-6~-5
193,KIN f+2, ,-13
194,KIN b+1+2, ,CS
195,KIN u+1+2, ,
196,3+4 or BT 3+4 (to MED), ,
197,MED 3+4, ,
198,"MED f or b,", ,
199,MED 3 (Opponent in front), ,-14~-3
200,MED 3 (Opponent behind), ,+3~+12
201,MED 1+2, ,CS
202,MED 1+4, ,CS
203,MED 2+3, ,
204,"MED 2+3, F", ,
205,MED 2+4 or MED 1+3, ,Throw
206,d+1+2 (to FLE), ,+18 GB
207,FLE d/b (Cancel), ,
208,FLE 1, ,
209,FLE 2, ,-13~-9
210,FLE 3 or 4, ,
211,FLE 1+2, ,-8~-7
212,FLE 3+4, ,-12
213,FLE f or b (to WFL), ,
214,WFL 3, ,-17
215,WFL 4, ,-10
216,"FLE f, f", ,+6
217,"FLE f, f (Second hit miss)", ,-3
218,FLE d, ,
219,FLE d/b or d or d/f+3+4, ,
220,FLE u/b or u or u/f+1+2, ,
221,FLE u+3+4, ,+3~+4
222,"FLE u+3+4, Any button", ,-9~-8
223,FLE u/b or u or u/f, ,KND
224,d+3+4 (to IND), ,
225,IND n (to INS), ,
226,INS 1, ,0 OC
227,INS 2, ,-9~-8
228,INS 3, ,-31~-25
229,"INS 3, 3+4", ,-13
230,INS 4, ,-21
231,INS B or F, ,
232,INS 3+4* D or b or f or u, ,
233,INS 1+2, ,
234,INS u+1+2, ,
235,u+1+2 (to DGF), ,
236,DGF b or f, ,
237,DGF d/b or d or d/f (Cancel), ,
238,DGF 1, ,0s
239,DGF 2, ,+4~+5
240,DGF 3, ,-14
241,DGF 4, ,-6~-5?
242,DGF 1+2, ,
243,DGF 3+4, ,Throw
244,DGF f+2, ,-?
245,DGF d+3+4, ,
246,BT 1, ,-6
247,"BT 1, 2", ,-5
248,"BT 1, 3", ,-7
249,BT 2, ,-4
250,"BT 2, d/b+2", ,-5~-4
251,BT 3, ,-3~-2
252,BT d/b or d or d/f+1, ,-13
253,BT u+2+3, ,CS
254,2+3 (to NSS), ,
255,NSS 2+3, ,
256,NSS 1, ,+1
257,"NSS 1, 2", ,-13~-12
258,"NSS 1, 2, 1", ,-12
259,NSS 2, ,-1
260,"NSS 2, 1", ,-12
261,NSS 1+4 or FC+1+2, ,-16~-15
262,NSS 4~1, ,-16~-15
263,NSS 1+2+3, ,-18
264,NSS f+1+2, ,-13~-12
265,NSS f+3+4, ,-14~-10?
266,NSS d/f+3, ,-4~-3
267,"NSS d/f+3, 1", ,-5
268,NSS d+1, ,-7~-6 OC
269,NSS d+1+4, ,
270,"NSS d+2, 1", ,?
271,NSS d/b+1, ,-5
272,NSS b+2, ,-9
273,"NSS b+2, 2", ,-10
274,NSS u/b+1+2, ,CS
275,"NSS u/b+1+2, 1", ,KND
276,"NSS u/b+1+2, 1+2", ,-15~-14
277,NSS u+1+2, ,+4 OC
